nominal_equity_return_hurdle,nominal_equity_return_hurdle_pct,record_count,electrolyzer_capacity_gw,gross_capex_100m_cny,h2_mt_per_year,additional_records_vs_6p5
0.01,1.0,1892,8.806096154918484,634.0389231541309,0.3292285072553551,793
0.0125,1.25,1845,8.612374934896318,620.0909953125349,0.3236263992393435,746
0.01447315,1.4473150000000001,1809,8.435457194134798,607.3529179777055,0.31842110355394293,710
0.015000000000000001,1.5000000000000002,1786,8.37492798481109,602.9948149063985,0.3166328683452487,687
0.0175,1.7500000000000002,1744,8.11717550603419,584.4366364344615,0.3090356195121974,645
0.020000000000000004,2.0000000000000004,1688,7.845121816972525,564.8487708220218,0.3009440597370721,589
0.022500000000000003,2.2500000000000004,1659,7.600144152267237,547.2103789632412,0.29349597667304217,560
0.025,2.5,1608,7.395618271303157,532.4845155338273,0.28726296607435353,509
0.027500000000000004,2.7500000000000004,1554,7.127465668534927,513.1775281345148,0.2790397471420992,455
0.030000000000000006,3.0000000000000004,1512,6.910600209155678,497.56321505920886,0.2723423274657704,413
0.03250000000000001,3.250000000000001,1458,6.6950931725327765,482.04670842235987,0.2655876386890095,359
0.035,3.5000000000000004,1432,6.435473913189114,463.3541217496162,0.2574660209587108,333
0.037500000000000006,3.7500000000000004,1394,6.250039361450204,450.00283402441465,0.25151729498634245,295
0.04000000000000001,4.000000000000001,1364,6.096872436841158,438.9748154525634,0.24656827283807897,265
0.04250000000000001,4.250000000000001,1330,5.885115083192914,423.72828598988974,0.23962182609733432,231
0.045000000000000005,4.500000000000001,1307,5.715869388311399,411.5425959584206,0.23400393890710985,208
0.04750000000000001,4.750000000000001,1269,5.539555925806553,398.84802665807183,0.22811840640422035,170
0.05000000000000001,5.000000000000001,1231,5.408727693570159,389.4283939370514,0.22370562892868434,132
0.05250000000000001,5.250000000000001,1204,5.2797107259537395,380.13917226866926,0.2193082391758712,105
0.055000000000000014,5.500000000000002,1180,5.131949068985104,369.50033296692754,0.21421643807898166,81
0.05750000000000001,5.750000000000001,1153,5.006073780645345,360.43731220646487,0.20985249673668635,54
0.06000000000000001,6.000000000000001,1139,4.852283187367844,349.36438949048477,0.20445018358042158,40
0.06250000000000001,6.250000000000002,1117,4.736288010708588,341.01273677101835,0.20034079925874868,18
0.065,6.5,1099,4.59033394088411,330.5040437436559,0.19512644255606032,0
0.0675,6.75,1083,4.4762102643768955,322.2871390351365,0.19101345636259576,-16
0.07,7.000000000000001,1075,4.36824058199992,314.51332190399427,0.1870900141838962,-24
0.07250000000000001,7.250000000000001,1064,4.240750201301044,305.3340144936751,0.18242198448117658,-35
0.07500000000000001,7.500000000000001,1057,4.1208265888318865,296.69951439589585,0.17799148474980928,-42
0.07750000000000001,7.750000000000002,1048,4.016951898223946,289.2205366721241,0.17412880669110267,-51
0.08,8.0,1036,3.90011214629071,280.80807453293113,0.16974762659060608,-63
0.0825,8.25,1027,3.7868396999194505,272.6524583942005,0.16546734490309872,-72
0.085,8.5,1006,3.6516428156122434,262.9182827240815,0.16032117441534638,-93
0.08750000000000001,8.75,987,3.5332034163985657,254.39064598069675,0.15577909329188752,-112
0.09000000000000001,9.000000000000002,966,3.4174861302284,246.05900137644477,0.1513089792375928,-133
0.09250000000000001,9.250000000000002,944,3.3023798350264184,237.7713481219021,0.14682609454568976,-155
0.09500000000000001,9.500000000000002,904,3.1738041439764864,228.51389836630702,0.1417898439663455,-195
0.09750000000000002,9.750000000000002,892,3.061261521515332,220.41082954910394,0.13734062228608307,-207
0.1,10.0,874,2.92992618304094,210.95468517894767,0.1321211840980391,-225
0.10000000000000002,10.000000000000002,874,2.92992618304094,210.95468517894767,0.1321211840980391,-225
