learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
base,0.675,0.25,0.16875,0.0,0.51,28.0,710,710,5,0.19440768824852395,-18.87068355342354
base,0.675,0.25,0.16875,0.0,0.52,28.0,710,710,6,0.19821960370437733,-18.87004312746436
base,0.675,0.25,0.16875,0.0,0.53,28.0,710,710,6,0.20203151916023077,-18.869402701505184
base,0.675,0.25,0.16875,0.0,0.54,28.0,710,710,6,0.2058434346160842,-18.86876227554601
base,0.675,0.25,0.16875,0.0,0.55,28.0,710,710,6,0.20965535007193764,-18.86812184958683
base,0.675,0.25,0.16875,0.0,0.56,28.0,710,710,6,0.21346726552779105,-18.867481423627655
base,0.675,0.25,0.16875,0.0,0.57,28.0,710,710,6,0.21727918098364438,-18.866840997668476
base,0.675,0.25,0.16875,0.0,0.58,28.0,710,710,6,0.22109109643949781,-18.866200571709303
base,0.675,0.25,0.16875,0.0,0.59,28.0,710,710,6,0.22490301189535122,-18.865560145750123
base,0.675,0.25,0.16875,0.0,0.6,28.0,710,710,6,0.22871492735120463,-18.864919719790944
base,0.675,0.25,0.16875,0.0,0.61,28.0,710,710,6,0.23252684280705807,-18.86427929383177
base,0.675,0.25,0.16875,0.0,0.62,28.0,710,710,6,0.23633875826291145,-18.863638867872595
base,0.675,0.25,0.16875,0.0,0.63,28.0,710,710,7,0.2401506737187649,-18.86299844191342
base,0.675,0.25,0.16875,0.0,0.64,28.0,710,710,7,0.24396258917461827,-18.86235801595424
base,0.675,0.25,0.16875,0.0,0.65,28.0,710,710,7,0.24777450463047168,-18.861717589995063
base,0.675,0.25,0.16875,0.0,0.66,28.0,710,710,7,0.2515864200863251,-18.861077164035887
base,0.675,0.25,0.16875,0.0,0.67,28.0,710,710,7,0.2553983355421785,-18.860436738076707
base,0.675,0.25,0.16875,0.0,0.68,28.0,710,710,7,0.25921025099803197,-18.859796312117535
base,0.675,0.25,0.16875,0.0,0.69,28.0,710,710,7,0.2630221664538854,-18.859155886158355
base,0.675,0.25,0.16875,0.0,0.7,28.0,710,710,7,0.26683408190973873,-18.858515460199175
base,0.675,0.25,0.16875,0.0,0.71,28.0,710,710,7,0.27064599736559214,-18.857875034240003
base,0.675,0.25,0.16875,0.0,0.72,28.0,710,710,7,0.2744579128214456,-18.857234608280827
base,0.675,0.25,0.16875,0.0,0.73,28.0,710,710,7,0.278269828277299,-18.856594182321647
base,0.675,0.25,0.16875,0.0,0.74,28.0,710,710,7,0.28208174373315237,-18.85595375636247
base,0.675,0.25,0.16875,0.0,0.75,28.0,710,710,7,0.2858936591890058,-18.855313330403295
base,0.675,0.25,0.16875,0.0,0.76,28.0,710,710,7,0.28970557464485924,-18.85467290444412
base,0.675,0.25,0.16875,0.0,0.77,28.0,710,710,7,0.29351749010071265,-18.85403247848494
base,0.675,0.25,0.16875,0.0,0.78,28.0,710,710,7,0.29732940555656606,-18.853392052525763
base,0.675,0.25,0.16875,0.0,0.79,28.0,710,710,7,0.3011413210124194,-18.852751626566587
base,0.675,0.25,0.16875,0.0,0.8,28.0,710,710,7,0.3049532364682729,-18.85211120060741
base,0.675,0.25,0.16875,0.0,0.81,28.0,710,710,7,0.3087651519241263,-18.85147077464823
base,0.675,0.25,0.16875,0.0,0.82,28.0,710,710,7,0.3125770673799797,-18.850830348689055
base,0.675,0.25,0.16875,0.0,0.83,28.0,710,710,7,0.3163889828358331,-18.85018992272988
base,0.675,0.25,0.16875,0.0,0.84,28.0,710,710,7,0.32020089829168646,-18.8495494967707
base,0.675,0.25,0.16875,0.0,0.85,28.0,710,710,7,0.32401281374754,-18.848909070811523
base,0.675,0.25,0.16875,0.0,0.86,28.0,710,710,7,0.3278247292033933,-18.848268644852347
base,0.675,0.25,0.16875,0.0,0.87,28.0,710,710,7,0.33163664465924675,-18.84762821889317
base,0.675,0.25,0.16875,0.0,0.88,28.0,710,710,7,0.33544856011510016,-18.846987792933994
base,0.675,0.25,0.16875,0.0,0.89,28.0,710,710,7,0.33926047557095357,-18.846347366974815
base,0.675,0.25,0.16875,0.0,0.9,28.0,710,710,7,0.343072391026807,-18.84570694101564
base,0.675,0.25,0.16875,0.0,0.91,28.0,710,710,7,0.3468843064826604,-18.845066515056462
base,0.675,0.25,0.16875,0.0,0.92,28.0,710,710,7,0.3506962219385138,-18.844426089097286
base,0.675,0.25,0.16875,0.0,0.93,28.0,710,710,7,0.35450813739436715,-18.84378566313811
base,0.675,0.25,0.16875,0.0,0.94,28.0,710,710,7,0.35832005285022056,-18.84314523717893
base,0.675,0.25,0.16875,0.0,0.95,28.0,710,710,7,0.36213196830607397,-18.842504811219754
base,0.675,0.25,0.16875,0.0,0.96,28.0,710,710,7,0.36594388376192744,-18.84186438526058
base,0.675,0.25,0.16875,0.0,0.97,28.0,710,710,7,0.36975579921778085,-18.8412239593014
base,0.675,0.25,0.16875,0.0,0.98,28.0,710,710,7,0.37356771467363425,-18.840583533342222
base,0.675,0.25,0.16875,0.0,0.99,28.0,710,710,8,0.37737963012948766,-18.839943107383046
base,0.675,0.25,0.16875,0.0,1.0,28.0,710,710,8,0.3811915455853411,-18.83930268142387
base,0.675,0.25,0.16875,0.25,0.0,24.46143967310532,710,4,0,0.0,-40.619130194116224
base,0.675,0.25,0.16875,0.25,0.01,24.46143967310532,710,4,0,0.0038119154558534105,-40.61848976815704
base,0.675,0.25,0.16875,0.25,0.02,24.46143967310532,710,4,0,0.007623830911706821,-40.617849342197864
