lower_hurdle_pct,higher_hurdle_pct,lower_qualified_count,higher_qualified_count,marginal_cohort_count,central_operating_learning_upgrade_count,upgrade_share_pct,median_initial_gap_share_of_capex_pct,median_learning_gain_share_of_capex_pct,operating_years,expectation_case,realization_case
6.0,8.0,1139,1036,103,7,6.796116504854369,5.508583930519513,1.2499869959607401,30,static_28_no_learning,flat_28_central_operating_learning
6.0,9.0,1139,966,173,23,13.294797687861271,6.211070105018549,1.0809992916971556,30,static_28_no_learning,flat_28_central_operating_learning
6.0,10.0,1139,874,265,5,1.8867924528301887,5.958830405932004,0.9661646942841908,30,static_28_no_learning,flat_28_central_operating_learning
6.5,7.000000000000001,1099,1075,24,9,37.5,1.6936380468521564,1.638536146738629,30,static_28_no_learning,flat_28_central_operating_learning
6.5,8.0,1099,1036,63,8,12.698412698412698,3.282322954965053,1.3568059314359937,30,static_28_no_learning,flat_28_central_operating_learning
6.5,9.0,1099,966,133,24,18.045112781954888,4.554668239753063,1.1061480870959963,30,static_28_no_learning,flat_28_central_operating_learning
6.5,10.0,1099,874,225,8,3.5555555555555554,4.590626683439636,1.0099885946972476,30,static_28_no_learning,flat_28_central_operating_learning
7.000000000000001,8.0,1075,1036,39,14,35.8974358974359,1.9437214045850766,1.4187704972077937,30,static_28_no_learning,flat_28_central_operating_learning
7.000000000000001,9.0,1075,966,109,31,28.440366972477065,3.316705433357386,1.172589664509326,30,static_28_no_learning,flat_28_central_operating_learning
7.000000000000001,10.0,1075,874,201,11,5.472636815920398,4.089287678086492,1.0218435601760663,30,static_28_no_learning,flat_28_central_operating_learning
8.0,9.0,1036,966,70,34,48.57142857142857,1.5540043700134603,1.2959114407431296,30,static_28_no_learning,flat_28_central_operating_learning
8.0,10.0,1036,874,162,13,8.024691358024691,3.1919080553881125,1.0687899405144918,30,static_28_no_learning,flat_28_central_operating_learning
9.0,10.0,966,874,92,21,22.82608695652174,1.929037884590467,1.0878112051134663,30,static_28_no_learning,flat_28_central_operating_learning
