cadence_case,fixed_replacement_cadence_hours,unfloored_stack_cost_learning_rate,terminal_stack_cost_factor,strict_record_count,retain_low_count,reach_6p5_count,npv_6p5_100m_cny
central_life_path,,0.0,1.0,912,912,1,-31.070563135664152
central_life_path,,0.01,0.9125694381247441,912,912,1,-30.91346014933015
central_life_path,,0.02,0.8320098001361613,912,912,1,-30.768550109332143
central_life_path,,0.03,0.7578430808270069,912,912,1,-30.634996780922613
central_life_path,,0.04,0.6896201328909773,912,912,1,-30.512013581962847
central_life_path,,0.05,0.6269191955021612,912,912,1,-30.398861101052645
central_life_path,,0.06,0.5693444838326089,912,912,2,-30.294844715935152
central_life_path,,0.07,0.5165248375797177,912,912,2,-30.199312309105764
central_life_path,,0.08,0.46811242661691876,912,912,2,-30.111652077617464
central_life_path,,0.09,0.42378151192245306,912,912,2,-30.031290434137784
central_life_path,,0.1,0.3832272599818555,912,912,2,-29.957689996374494
central_life_path,,0.11,0.3461646089001082,912,912,2,-29.890347662048693
central_life_path,,0.12,0.3123271844992963,912,912,2,-29.82879276665473
central_life_path,,0.13,0.28146626471699043,912,912,2,-29.77258532130639
central_life_path,,0.14,0.25334979065949276,912,912,2,-29.721314328028253
central_life_path,,0.15,0.22776142270252042,912,912,2,-29.674596169909965
central_life_path,,0.16,0.20449964006986346,912,912,2,-29.632073073599177
central_life_path,,0.17,0.18337688235803642,912,912,2,-29.593411641666403
central_life_path,,0.18,0.16421873151195435,912,912,3,-29.558301452431785
central_life_path,,0.19,0.1468631327932007,912,912,3,-29.526453724899937
central_life_path,,0.2,0.13115965331851426,912,912,3,-29.497600046504356
central_life_path,,0.21,0.1169687767817116,912,912,3,-29.471491161417962
central_life_path,,0.22,0.1041612330073774,912,912,3,-29.44789581724001
central_life_path,,0.23,0.092617361019298,912,912,3,-29.426599667923536
central_life_path,,0.24,0.08222650434078532,912,912,3,-29.407404230859985
central_life_path,,0.25,0.07288643727773907,912,912,3,-29.390125896090012
central_life_path,,0.26,0.06450282096852697,912,912,3,-29.374594985660668
central_life_path,,0.27,0.05698868801752136,912,912,3,-29.360654861200356
central_life_path,,0.28,0.05026395456142427,912,912,3,-29.348161077832774
central_life_path,,0.29,0.04425495864933532,912,912,3,-29.336980582600603
central_life_path,,0.3,0.03889402384887243,912,912,3,-29.32699095561873
central_life_path,,0.31,0.03411904702154427,912,912,3,-29.318079692224742
central_life_path,,0.32,0.029873109240994143,912,912,3,-29.310143524441944
central_life_path,,0.33,0.02610410885769187,912,912,3,-29.303087780117092
central_life_path,,0.34,0.02276441574314079,912,912,3,-29.296825778141212
central_life_path,,0.35,0.019810545775693602,912,912,3,-29.291278258207168
central_life_path,,0.36,0.017202854658632846,912,912,3,-29.286372843602848
central_life_path,,0.37,0.014905250189272318,912,912,3,-29.28204353558268
central_life_path,,0.38,0.012884922125471897,912,912,3,-29.278230237903966
central_life_path,,0.39,0.011112088823134709,912,912,3,-29.27487831015723
central_life_path,,0.4,0.009559759844969887,912,912,3,-29.27193814856208
central_life_path,,0.41,0.00820351376705861,912,912,3,-29.2693647929415
central_life_path,,0.42,0.0070212904355565625,912,912,3,-29.26711755862864
central_life_path,,0.43,0.005993196951202387,912,912,3,-29.26515969209994
central_life_path,,0.44,0.005101326684180131,912,912,3,-29.26345804916843
central_life_path,,0.45,0.0043295906463057055,912,912,3,-29.26198279460969
central_life_path,,0.46,0.0036635605714723765,912,912,3,-29.26070712213125
central_life_path,,0.47,0.0030903230788003216,912,912,3,-29.259606993633756
central_life_path,,0.48,0.002598344315990531,912,912,3,-29.25866089674922
central_life_path,,0.49,0.002177344502984767,912,912,3,-29.25784961967779
central_life_path,,0.5,0.0018181818181818182,912,912,3,-29.25715604238025
central_life_path,,0.51,0.0015127450911566571,912,912,3,-29.25656494321813
central_life_path,,0.52,0.0012538547870745043,912,912,3,-29.256062820167866
central_life_path,,0.53,0.0010351717887865611,912,912,3,-29.255637725768782
central_life_path,,0.54,0.0008511135029398515,912,912,3,-29.255279114997865
central_life_path,,0.55,0.0006967768363306452,912,912,3,-29.254977705296334
central_life_path,,0.56,0.0005678676081805377,912,912,3,-29.25472534800489
central_life_path,,0.57,0.0004606359830172598,912,912,3,-29.254514910495196
central_life_path,,0.58,0.000371817527399752,912,912,3,-29.254340168315835
central_life_path,,0.59,0.0002985795118399169,912,912,3,-29.254195706700177
central_life_path,,0.6,0.00023847209694275343,912,912,3,-29.25407683081296
central_life_path,,0.61,0.00018938406001341352,912,912,3,-29.253979484140476
central_life_path,,0.62,0.00014950273516506428,912,912,3,-29.253900174457073
central_life_path,,0.63,0.00011727785630641267,912,912,3,-29.253835906827486
central_life_path,,0.64,9.138900829349868e-05,912,912,3,-29.253784123131084
central_life_path,,0.65,7.071640699794977e-05,912,912,3,-29.25374264761968
central_life_path,,0.66,5.431474407453477e-05,912,912,3,-29.25370963804554
central_life_path,,0.67,4.138984680571044e-05,912,912,3,-29.25368354192065
central_life_path,,0.68,3.1277917561150567e-05,912,912,3,-29.253663057492084
central_life_path,,0.69,2.3427131137221665e-05,912,912,3,-29.25364709904111
central_life_path,,0.7,1.7381381536308896e-05,912,912,3,-29.253634766136418
central_life_path,,0.71,1.2765982610102851e-05,912,912,3,-29.25362531649321
central_life_path,,0.72,9.27513942578207e-06,912,912,3,-29.253618142111225
central_life_path,,0.73,6.661019220858871e-06,912,912,3,-29.253612748385095
central_life_path,,0.74,4.7242623927100565e-06,912,912,3,-29.253608735900105
central_life_path,,0.75,3.305785123966942e-06,912,912,3,-29.253605784645675
central_life_path,,0.76,2.2797359764990955e-06,912,912,3,-29.253603640397174
central_life_path,,0.77,1.5474790962542776e-06,912,912,3,-29.253602103034492
central_life_path,,0.78,1.032486560328249e-06,912,912,3,-29.253601016583048
central_life_path,,0.79,6.760318679995482e-07,912,912,3,-29.25360026077901
central_life_path,,0.8,4.33585630805005e-07,912,912,3,-29.253599743976817
central_life_path,,0.81,2.7182315484557066e-07,912,912,3,-29.25359939723177
central_life_path,,0.82,1.661618332609069e-07,912,912,3,-29.253599169405174
central_life_path,,0.83,9.875408013551818e-08,912,912,3,-29.253599023153328
central_life_path,,0.84,5.6868941020273994e-08,912,912,3,-29.253598931674762
central_life_path,,0.85,3.1602511884197995e-08,912,912,3,-29.253598876102675
central_life_path,,0.86,1.6863889865058284e-08,912,912,3,-29.253598843441353
central_life_path,,0.87,8.589567986745545e-09,912,912,3,-29.253598824956576
central_life_path,,0.88,4.144974502725628e-09,912,912,3,-29.253598814940514
central_life_path,,0.89,1.8772482915059075e-09,912,912,3,-29.25359880978155
central_life_path,,0.9,7.883375105545546e-10,912,912,3,-29.25359880727857
fixed_20000h,20000.0,0.0,1.0,912,912,1,-30.54167846296628
fixed_20000h,20000.0,0.01,0.9125694381247441,912,912,1,-29.409521810907897
fixed_20000h,20000.0,0.02,0.8320098001361613,912,912,2,-28.352563107167835
fixed_20000h,20000.0,0.03,0.7578430808270069,912,912,3,-27.367171565225195
fixed_20000h,20000.0,0.04,0.6896201328909773,912,912,3,-26.448573039307966
fixed_20000h,20000.0,0.05,0.6269191955021612,912,912,5,-25.59284966750318
fixed_20000h,20000.0,0.06,0.5693444838326089,912,912,12,-24.79584938089206
fixed_20000h,20000.0,0.07,0.5165248375797177,912,912,13,-24.05401650863367
fixed_20000h,20000.0,0.08,0.46811242661691876,912,912,16,-23.36399726187976
fixed_20000h,20000.0,0.09,0.42378151192245306,912,912,25,-22.722591473669468
fixed_20000h,20000.0,0.1,0.3832272599818555,912,912,26,-22.12690317986735
fixed_20000h,20000.0,0.11,0.3461646089001082,912,912,33,-21.574163807562503
