ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,status,start_year,project_name,latitude,longitude,wind_utilization_2025,solar_utilization_2025,potential_mwh_2020_weather_replay,curtailed_mwh_2025_calibrated,delivered_mwh_2025_calibrated,curtailment_rate_2025_calibrated,curtailed_positive_hours_2025_calibrated,curtailed_h2_potential_t_55kwh
10050,光伏,河南,河南,5.5,operating,2017.0,Luoning Huaxin New Energy Technology Luoyang Apache solar project,34.3913,111.6451,0.953,0.984,6719.445689473987,107.51094856753946,6611.934740906448,0.015999972845372554,812,1.954744519409808
10051,光伏,河南,河南,2.0,operating,2016.0,Luoning Zhongsilidaode Photovoltaic solar project,34.3913,111.6451,0.953,0.984,2443.434792908825,39.09489029828459,2404.3399026105403,0.01599997282994545,812,0.7108161872415381
10052,光伏,宁夏,宁夏,9.0,operating,2022.0,Luoshitan F solar project,39.3414,106.7224,0.956,0.939,15174.68177042985,925.6554277426601,14249.02634268719,0.060999989439412095,1286,16.830098686230183
10053,光伏,山东,山东,7.4,operating,2017.0,Luotengcun solar project,34.7116,117.5562,0.957,0.969,9194.704602841497,285.03600924308597,8909.66859359841,0.031000018114230612,1029,5.182472895328836
10054,光伏,湖北,湖北,5.9,operating,2017.0,Luotian Green Energy Development Idaini solar project,30.9608,115.4683,0.981,0.97,6749.004625038862,202.46994559893758,6546.534679439925,0.02999997138063477,1052,3.681271738162501
1006,光伏,广西,广西,20.0,operating,2017.0,Guangxi Beihai Hepu Nongken Zhuguang State Farm solar power plant,21.718,109.329,0.962,0.965,25265.810088530183,884.3040142086148,24381.50607432157,0.03500002616619281,1050,16.078254803792998
10062,光伏,河南,河南,1.6,operating,2018.0,Luoyang Sumida New Energy solar project,34.6197,112.4477,0.953,0.984,1903.7198876567186,30.459466484345494,1873.260421172373,0.015999972833103056,822,0.5538084815335544
10065,光伏,河南,河南,3.0,operating,2017.0,Lushan Zhongmin Photovoltaic Power Beizi poverty alleviation solar project,33.7417,112.7269,0.953,0.984,3607.7703489660025,57.724227503865954,3550.0461214621364,0.015999972814347757,829,1.0495314091611991
10066,光伏,河南,河南,15.3,operating,2018.0,Lushi County Gaozhuang solar project,33.9748,110.9859,0.953,0.984,19378.890511609672,310.06172148239614,19068.828790127278,0.01599997282076813,792,5.637485845134475
10068,光伏,江苏,江苏,5.0,operating,2018.0,Lusigang solar project,31.7991,121.4408,0.983,0.994,5878.603740021661,35.27151868188381,5843.332221339777,0.005999982349848579,580,0.6413003396706148
10069,光伏,江西,江西,1.2,operating,2017.0,Jiujiang Wenzheng New Energy III solar project,29.6654,115.9475,0.996,0.989,1313.7083602883517,14.450762519501149,1299.2575977688507,0.010999977587361388,710,0.2627411367182027
1007,光伏,广西,广西,20.0,operating,2017.0,Guangxi Beihai Hepu Xingdaohu Agricultural solar power plant,21.7204,109.1337,0.962,0.965,25278.25999611002,884.7397632744312,24393.52023283559,0.03500002624431352,1051,16.086177514080568
10070,光伏,河南,河南,16.5,operating,2017.0,Luyi A solar project,33.899,115.511,0.953,0.984,20559.093572373866,328.9449379971027,20230.148634376765,0.01599997280226012,809,5.9808170544927775
10071,光伏,河南,河南,1.5,operating,2017.0,Luyi County Zhongxin Animal Husbandry solar project,33.8908,115.3806,0.953,0.984,1864.8833013535739,29.838082078561186,1835.0452192750126,0.015999972790203036,808,0.5425105832465671
10075,光伏,安徽,安徽,10.0,operating,2016.0,M'anshan solar project,33.5305,117.8779,0.99,0.985,12100.381304887891,181.50554682056605,11918.875758067325,0.014999985723362929,779,3.300100851283019
10076,光伏,宁夏,宁夏,10.0,operating,2014.0,Machanghu solar project,37.527,105.075,0.956,0.939,14504.2851998052,884.7612446420193,13619.52395516318,0.060999989482687644,1272,16.08656808440035
10077,光伏,西藏,西藏,12.0,operating,2018.0,Maizhokunggar A solar project,29.769,91.889,0.686,0.649,23223.610189316274,8151.487410143853,15072.122779172421,0.3510000100627697,2422,148.2088620026155
10078,光伏,宁夏,宁夏,8.0,operating,2018.0,Majiatan C solar project,37.835,106.879,0.956,0.939,11856.574399983048,723.2509141185284,11133.32348586452,0.06099998951801478,1296,13.15001662033688
10079,光伏,宁夏,宁夏,6.0,operating,2020.0,Majiatan D solar project,37.8201,106.712,0.956,0.939,9176.40418491435,559.7605588709712,8616.64362604338,0.06099998949383634,1291,10.177464706744932
10080,光伏,宁夏,宁夏,5.0,operating,2021.0,Majiatan E solar project,37.766,106.726,0.956,0.939,7602.742439983114,463.76720881704983,7138.975231166065,0.060999989474598046,1291,8.432131069400906
10081,光伏,冀北,河北,15.0,operating,2019.0,Mantouyingxiang solar project,41.265,114.621,0.92,0.943,22245.81835214758,1268.0112323982717,20977.80711974931,0.056999981404408956,1212,23.054749679968573
10082,光伏,甘肃,甘肃,9.0,operating,2016.0,Minqin solar project,38.7536,103.1689,0.937,0.896,13317.59399330616,1385.0294065407516,11932.56458676541,0.10399997231008173,1600,25.18235284619548
10083,光伏,山东,山东,15.0,operating,2016.0,Mountain Cover Shenlian solar project,37.3538,120.4282,0.957,0.969,19823.015769040347,614.5138477549552,19208.50192128539,0.031000018105958687,1052,11.172979050090095
10084,光伏,黑龙江,黑龙江,10.0,operating,2012.0,Muling solar project,44.677,130.509,0.938,0.951,11123.06151011312,545.0302887573689,10578.031221355752,0.04900002470199646,1139,9.909641613770344
10085,光伏,蒙东,内蒙古,1.1,operating,2018.0,Naiman Banner solar project,42.9594,120.8395,0.923,0.9165000000000001,1291.0201043527202,107.80021426999942,1183.2198900827207,0.08350002754143578,1579,1.9600038958181714
1010,光伏,广西,广西,40.0,operating,2017.0,Guangxi Beihai Tieshangang District Yingpanzhen Shicun Agricultural solar power plant,21.5195,109.3999,0.962,0.965,52576.67707454682,1840.1850757782458,50736.49199876857,0.03500002621255629,1051,33.45791046869538
10103,光伏,山东,山东,5.0,operating,2017.0,Qihe Tianshuo Solar Technology Qiqifa Real Estate I solar project,36.7994,116.7439,0.957,0.969,6636.286849276095,205.72501266784593,6430.56183660825,0.03100001813367772,1061,3.7404547757790167
10105,光伏,浙江,浙江,3.0,operating,2018.0,Jinhua Kaiqing Solar Technology solar project,29.108,119.6486,0.995,1.0,3214.667172901049,0.0,3214.667172901049,0.0,0,0.0
10106,光伏,山东,山东,13.0,operating,2017.0,Laiwu Jingao solar project,36.0598,117.8054,0.957,0.969,16553.8721976189,513.1703385868072,16040.701859032095,0.03100001815047366,1060,9.330369792487405
1011,光伏,广西,广西,20.0,operating,2017.0,Guangxi Beihai Tieshangang Huangliwo agricultural solar power plant,21.659,109.433,0.962,0.965,25493.891098304153,892.2868563653826,24601.60424193877,0.03500002619940341,1062,16.223397388461503
10110,光伏,江西,江西,1.9,operating,2016.0,Nanchang Highly Electric solar project,28.6472,116.0348,0.996,0.989,2094.054758585751,23.034555387008936,2071.020203198742,0.01099997757583266,733,0.418810097945617
10111,光伏,浙江,浙江,1.1,operating,2018.0,Ningbo Venus Stone New Energy solar project,29.8622,121.6204,0.995,1.0,1193.3949022406675,0.0,1193.3949022406675,0.0,0,0.0
10112,光伏,山东,山东,2.0,operating,2017.0,Laiwu Jingyuntong New Energy Xingye Environmental Protection Factory solar project,36.215,117.6698,0.957,0.969,2559.4948105452063,79.34438559217752,2480.1504249530285,0.031000018154081006,1042,1.4426251925850457
10113,光伏,江苏,江苏,5.8,operating,2017.0,Nantong Yuntai New Energy Technology solar project,31.9828,120.8905,0.983,0.994,6764.121998853862,40.5846127550602,6723.537386098802,0.005999982371982203,563,0.7379020500920036
10119,光伏,辽宁,辽宁,1.9,operating,2019.0,Liaoning Zhongli Optoelectronic New solar project,41.2374,122.9955,0.93,0.965,2428.8442828932853,85.00961357709765,2343.8346693161875,0.03500002621651504,1140,1.545629337765412
10120,光伏,江苏,江苏,1.2,operating,2017.0,Nanwang Water Purification Plant solar project,34.2665,117.181,0.983,0.994,1494.3225387255475,8.965908868789672,1485.3566298567578,0.0059999823575145736,561,0.16301652488708496
10125,光伏,河南,河南,4.2,operating,2015.0,Pingdingshan Yaomeng Second Luoyang Branch I solar project,33.7375,113.2981,0.953,0.984,5023.578643985718,80.37712176545709,4943.201522220262,0.015999972820508232,828,1.4614022139174017
10128,光伏,河南,河南,5.0,operating,2017.0,Nanyang Dahan New Energy Technology solar project,33.001,112.5293,0.953,0.984,5684.71072632128,90.95521698775887,5593.755509333521,0.015999972798372855,791,1.6537312179592523
10129,光伏,江西,江西,1.0,operating,2015.0,Jiujiang Xunxin Energy Technology solar project,29.6654,115.9475,0.996,0.989,1094.7569695146083,12.042302124302834,1082.7146673903055,0.010999977583739093,710,0.218950947714597
10132,光伏,山东,山东,3.5,operating,2017.0,Laixi Zhongkongdian New Energy solar project,36.8618,120.5158,0.957,0.969,4347.990853396356,134.78779519898444,4213.203058197371,0.031000018110364087,1045,2.4506871854360806
10133,光伏,浙江,浙江,2.1,operating,2015.0,Ningbo Xiangshan Economic Development Zone I solar project,29.4798,121.8649,0.995,1.0,2266.0473876818082,0.0,2266.0473876818082,0.0,0,0.0
10135,光伏,辽宁,辽宁,1.5,operating,2015.0,Liaoning second solar project,41.2374,122.9955,0.93,0.965,1917.5086460992322,67.11285279141366,1850.3957933078184,0.035000026168299496,1140,1.2202336871166122
10137,光伏,江西,江西,3.0,operating,2019.0,Jiujiang Xunxin New Energy Technology solar project,29.6654,115.9475,0.996,0.989,3284.270910812974,36.12690648031607,3248.144004332658,0.010999977608842682,710,0.6568528450966559
1014,光伏,广西,广西,100.0,operating,2020.0,Guangxi Binyang Gula Fishery solar farm,23.173,108.9398,0.962,0.965,109501.92717986036,3832.5703219969273,105669.35685786343,0.03500002621599353,1056,69.6830967635805
10140,光伏,山东,山东,5.0,operating,2017.0,Pingdu Tongwei New Energy I solar project,36.7843,119.9494,0.957,0.969,6415.181380318821,198.87073926585913,6216.310641052962,0.031000018156302805,1043,3.6158316230156204
10142,光伏,山东,山东,5.9,operating,2017.0,Laiyang Hongding New Energy solar project,36.9787,120.7069,0.957,0.969,7355.789194750786,228.02959790712595,7127.75959684366,0.03100001806330335,1042,4.145992689220472
10143,光伏,浙江,浙江,1.2,operating,2016.0,Ningbo Xiangshan Economic Development Zone II solar project,29.4798,121.8649,0.995,1.0,1294.8842331082112,0.0,1294.8842331082112,0.0,0,0.0
10144,光伏,河南,河南,1.4,operating,2019.0,Nanyang Lingyu Hanergy Thin Film solar project,33.001,112.5293,0.953,0.984,1591.7189984451384,25.467460681535304,1566.251537763603,0.01599997280073496,791,0.4630447396642783
10145,光伏,陕西,陕西,9.8,operating,2017.0,Jiujiu Optoelectronics poverty alleviation solar project,36.5794,110.0062,0.953,0.91,14764.744694425226,1328.826635789156,13435.918058636069,0.0899999738086149,1556,24.160484287075565
10148,光伏,山东,山东,5.0,operating,2019.0,Pingdu Tongwei New Energy II solar project,36.7843,119.9494,0.957,0.969,6415.181380318821,198.87073926585913,6216.310641052962,0.031000018156302805,1043,3.6158316230156204
10152,光伏,山东,山东,2.1,operating,2016.0,Libo Heavy Industry solar project,36.2003,117.0809,0.957,0.969,2757.964481397323,85.49694896028691,2672.4675324370364,0.031000018142717294,1032,1.554489981096126
10153,光伏,江西,江西,2.5,operating,2017.0,Lichuan County Solar I solar project,27.2846,116.9024,0.996,0.989,2772.2366385157256,30.49454092186317,2741.7420975938626,0.010999977598662052,673,0.5544461985793304
10159,光伏,冀南,河北,5.9,operating,2017.0,Lincheng County Jinshuorun New Energy Technology solar project,37.4658,114.3404,0.92,0.943,8309.392956396461,473.63524349626897,7835.757712900191,0.05699998134420528,1250,8.611549881750346
1016,光伏,广西,广西,60.0,operating,2022.0,Guangxi Binyang Hejizhen (Jingchuang) Fishery solar farm,23.2628,109.1664,0.962,0.965,67389.05442756366,2358.6186684234144,65030.43575914025,0.03500002616832512,1058,42.883975789516626
10160,光伏,冀南,河北,12.3,operating,2018.0,Lincheng Shanxia I solar project,37.4658,114.3404,0.92,0.943,17322.97177870035,987.4090676740408,16335.56271102631,0.056999981313143995,1250,17.952892139528014
10163,光伏,安徽,安徽,10.0,operating,2016.0,Lingbi New Energy Lingbi Yangtuan Complementary solar project,33.5429,117.553,0.99,0.985,12033.687931948572,180.50514702692627,11853.182784921646,0.014999985710756064,767,3.2819117641259323
10164,光伏,辽宁,辽宁,2.5,operating,2017.0,Lingheiderick Automotive Technology solar project,41.2374,122.9955,0.93,0.965,3195.8477422637193,111.8547550381124,3083.992987225607,0.035000026302530345,1140,2.0337228188747707
10165,光伏,冀南,河北,10.0,operating,2020.0,Lingshou County Shenghui solar project,38.5207,114.2042,0.92,0.943,13481.268709961563,768.4320658291579,12712.836644132405,0.05699998140837805,1291,13.971492105984687
