ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,gen_mwh,curt_mwh,potential_mwh,curtailment_rate,gen_utilization_hours,curtailed_equivalent_hours,potential_resource_hours,curt_positive_hours,available_low_cost_electricity_mwh,h2_alkaline_55kwh_t,h2_pem_56kwh_t,status,start_year,project_name,latitude,longitude
1,光伏,安徽,安徽,20.0,21316.816523420992,1604.4915662790015,22921.3080897,0.07,1065.8408261710497,80.22457831395009,1146.0654044849998,1450,1604.4915662790015,29.17257393234549,28.65163511212503,operating,2016.0,Anhui Qiaocheng Gujing Photovoltaic solar farm,32.0001,117.0001
10,光伏,安徽,安徽,100.0,105884.38229578802,7969.792215812002,113854.17451160002,0.07,1058.84382295788,79.69792215812001,1138.541745116,1449,7969.792215812002,144.90531301476366,142.31771813950004,operating,2016.0,Anhui Shouxian Anfengzhen solar farm,32.1447,116.785
1000,光伏,广东,广东,80.0,97062.37055064904,5649.1326775510015,102711.50322820005,0.0549999999999999,1213.2796318831129,70.61415846938752,1283.8937903525004,1206,5649.1326775510015,102.71150322820003,100.87736924198217,operating,2022.0,Guangdong Luoding Chuanbuzhen (Xinlong) Agriculture solar farm,22.6099,111.6157
10001,光伏,山东,山东,5.7,7259.103790992004,631.2264166079988,7890.330207600003,0.0799999999999998,1273.52698087579,110.74147659789452,1384.2684574736847,1471,631.2264166079988,11.47684393832725,11.271900296571406,operating,2017.0,Longkou Bofeng Photovoltaic Technology II solar project,37.6443,120.4709
10005,光伏,山东,山东,1.2,1528.232373676001,132.88977162399908,1661.1221453000005,0.0799999999999994,1273.5269780633344,110.74147635333256,1384.2684544166668,1471,132.88977162399908,2.416177665890893,2.3730316361428407,operating,2018.0,Longkou Huafu Shopping Plaza solar project,37.6443,120.4709
1001,光伏,广东,广东,40.0,49360.31059654799,2872.822309852001,52233.1329064,0.055,1234.0077649136997,71.82055774630003,1305.82832266,1190,2872.822309852001,52.233132906400016,51.30039839021431,operating,2020.0,Guangdong Zijin Haoyi (Guangzhou Development) Agriculture solar farm,23.386,114.733
10013,光伏,山东,山东,1.0,1273.526971239994,110.74147576000614,1384.2684470000002,0.0800000000000044,1273.526971239994,110.74147576000614,1384.2684470000002,1471,110.74147576000614,2.0134813774546565,1.9775263528572524,operating,2016.0,Longkou Yuntong New Energy Technology solar project,37.6443,120.4709
10015,光伏,辽宁,辽宁,1.5,1746.3111614899958,308.17255791000446,2054.4837194,0.1500000000000021,1164.2074409933307,205.44837194000297,1369.6558129333334,1836,308.17255791000446,5.603137416545536,5.50308139125008,operating,2017.0,Longxing Huludao Shenjiatun solar project,40.8738,120.624
1002,光伏,广西,广西,150.0,153425.78690498404,20921.69821431601,174347.48511930005,0.12,1022.8385793665602,139.47798809544005,1162.3165674620002,1709,20921.69821431601,380.3945129875638,373.6017538270716,operating,2022.0,Guangxi Baiji Xinping solar farm,22.4674,108.5769
10020,光伏,冀南,河北,6.0,6423.295434320006,1605.823858579998,8029.119292900004,0.1999999999999996,1070.5492390533343,267.637309763333,1338.1865488166677,2166,1605.823858579998,29.196797428727233,28.6754260460714,operating,2019.0,Longyao County Shuosheng New Energy Technology solar project,37.3528,114.7739
