learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.5,0.35,0.175,0.25,0.25,26.062802598661445,710,211,0,0.05169882190183851,-29.8113475626165
conservative,0.5,0.35,0.175,0.25,0.5,26.062802598661445,710,211,0,0.10339764380367703,-29.802662741053066
conservative,0.5,0.35,0.175,0.25,0.75,26.062802598661445,710,212,0,0.15509646570551552,-29.793977919489627
conservative,0.5,0.35,0.175,0.25,1.0,26.062802598661445,710,212,0,0.20679528760735405,-29.78529309792619
conservative,0.5,0.35,0.175,0.5,0.0,24.25963140345692,710,4,0,0.0,-40.16518185434939
conservative,0.5,0.35,0.175,0.5,0.25,24.25963140345692,710,5,0,0.05169882190183851,-40.15649703278596
conservative,0.5,0.35,0.175,0.5,0.5,24.25963140345692,710,7,0,0.10339764380367703,-40.147812211222515
conservative,0.5,0.35,0.175,0.5,0.75,24.25963140345692,710,8,0,0.15509646570551552,-40.13912738965908
conservative,0.5,0.35,0.175,0.5,1.0,24.25963140345692,710,8,0,0.20679528760735405,-40.13044256809564
conservative,0.5,0.35,0.175,0.75,0.0,22.58121372802092,710,0,0,0.0,-49.885008561596706
conservative,0.5,0.35,0.175,0.75,0.25,22.58121372802092,710,0,0,0.05169882190183851,-49.87632374003327
conservative,0.5,0.35,0.175,0.75,0.5,22.58121372802092,710,0,0,0.10339764380367703,-49.86763891846983
conservative,0.5,0.35,0.175,0.75,0.75,22.58121372802092,710,0,0,0.15509646570551552,-49.858954096906395
conservative,0.5,0.35,0.175,0.75,1.0,22.58121372802092,710,4,0,0.20679528760735405,-49.85026927534296
conservative,0.5,0.35,0.175,1.0,0.0,21.018918422556897,710,0,0,0.0,-59.017191355743236
conservative,0.5,0.35,0.175,1.0,0.25,21.018918422556897,710,0,0,0.05169882190183851,-59.0085065341798
conservative,0.5,0.35,0.175,1.0,0.5,21.018918422556897,710,0,0,0.10339764380367703,-58.99982171261636
conservative,0.5,0.35,0.175,1.0,0.75,21.018918422556897,710,0,0,0.15509646570551552,-58.991136891052925
conservative,0.5,0.35,0.175,1.0,1.0,21.018918422556897,710,0,0,0.20679528760735405,-58.98245206948949
conservative,0.5,0.5,0.25,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
