ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,low_return_entry,conventional_6p5,strict_marginal,low_selected_capacity_mw,low_selected_h2_t_per_year,low_selected_npv_100m_cny,high_selected_capacity_mw,high_selected_h2_t_per_year
1,安徽,光伏,20.0,32.0001,117.0001,False,False,False,1.0,5.022842417951118,-0.1598597675092575,1.0,5.022842417951118
10,安徽,光伏,100.0,32.1447,116.785,False,False,False,1.0,10.601411698978527,-0.11995992132605894,1.0,10.601411698978527
1000,广东,光伏,80.0,22.6099,111.6157,False,False,False,1.0,5.465604289210401,-0.15669973850429614,1.0,5.465604289210401
10001,山东,光伏,5.7,37.6443,120.4709,False,False,False,1.0,2.8421874846175585,-0.17553795743944742,1.0,2.8421874846175585
10005,山东,光伏,1.2,37.6443,120.4709,False,False,False,0.0005115609573456645,0.009164292894462021,-3.5535370224914485e-05,0.0005115609573456645,0.009164292894462021
1001,广东,光伏,40.0,23.386,114.733,False,False,False,1.0,3.337491090705523,-0.17194760281796484,1.0,3.337491090705523
10013,山东,光伏,1.0,37.6443,120.4709,False,False,False,0.0004263008049717546,0.007636910007842401,-2.9612814310888563e-05,0.0004263008049717546,0.007636910007842401
10015,辽宁,光伏,1.5,40.8738,120.624,False,False,False,0.0006923508674873607,0.012796478031002121,-4.560581987750772e-05,0.0006923508674873607,0.012796478031002121
1002,广西,光伏,150.0,22.4674,108.5769,False,False,False,1.0,16.729006058656488,-0.07656249541856705,1.0,16.729006058656488
10020,河北,光伏,6.0,37.3528,114.7739,False,False,False,1.0,6.709103379612159,-0.1479434099173447,1.0,6.709103379612159
10021,河北,光伏,5.9,37.3528,114.7739,False,False,False,1.0,6.56757114888868,-0.14895331008277624,1.0,6.56757114888868
10022,浙江,光伏,3.0,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
10023,浙江,光伏,2.2,27.7833,120.625,False,False,False,0.0,0.0,0.0,0.0,0.0
10025,浙江,光伏,1.8,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
10027,浙江,光伏,1.7,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
1003,广西,光伏,150.0,22.4674,108.5769,False,False,False,1.0,16.729006058656488,-0.07656249541856705,1.0,16.729006058656488
10030,西藏,光伏,10.0,30.4749,91.0998,True,True,False,1.19827662674974,43.439577433667566,0.040094220380767306,1.0,37.2287964959587
10031,西藏,光伏,10.0,28.9057,88.0203,True,True,False,1.9416578263835973,72.86001729111752,0.08010027878193823,1.243102256579194,49.82888897298875
