merge_province_cn,record_count,electrolyzer_capacity_mw,h2_t_per_year,cohort,gross_capex_100m_cny
云南,8,10.62488418954745,326.40637008066045,low_return,0.7649916616474164
内蒙古,483,3600.6483619631613,143631.90243850244,low_return,259.2466820613476
北京,3,3.0,89.31948954486603,low_return,0.216
吉林,122,626.9788306328012,23505.404310861028,low_return,45.14247580556169
山东,13,17.042372354676605,549.4435609500987,low_return,1.2270508095367156
山西,62,69.90437369306736,2147.850117630204,low_return,5.033114905900851
广西,7,7.556266441454305,236.37167778153088,low_return,0.54405118378471
新疆,301,908.3083356491686,29824.093742073936,low_return,65.39820016674014
河北,251,1304.4641811158926,51601.8334611742,low_return,93.92142104034427
河南,1,5.422171717506778,207.28219373293817,low_return,0.39039636366048797
海南,2,2.757353406028626,89.7145516981413,low_return,0.19852944523406107
湖南,19,20.702370400219287,631.0884153961716,low_return,1.4905706688157887
甘肃,36,196.43194027769377,6390.560483612861,low_return,14.143099699993952
西藏,81,349.2854909550574,13226.587263025227,low_return,25.148555348764134
辽宁,170,642.3019873349741,24924.742513930785,low_return,46.24574308811813
青海,160,471.9221264915128,14614.219831363705,low_return,33.97839310738892
黑龙江,90,198.10614751203678,6424.283132584096,low_return,14.26364262086665
内蒙古,430,2473.8981607992437,106789.69427965395,conventional_6p5,178.12066757754556
吉林,120,372.0140307859048,15093.04871877748,conventional_6p5,26.78501021658515
山西,1,1.0,38.01324066515865,conventional_6p5,0.072
新疆,68,169.35556159178248,6962.148818152856,conventional_6p5,12.193600434608339
河北,205,891.9850302425214,38063.475539437415,conventional_6p5,64.22292217746154
河南,1,3.687978897722582,148.5818693993999,conventional_6p5,0.2655344806360259
甘肃,15,28.506310451448936,1060.2082653737905,conventional_6p5,2.0524543525043235
西藏,78,209.21038914201284,8595.942513542635,conventional_6p5,15.063148018224924
辽宁,163,418.9004995832195,17567.357765298828,conventional_6p5,30.16083596999181
黑龙江,18,21.77597939025374,807.971545758803,conventional_6p5,1.5678705160982696
云南,8,10.62488418954745,326.40637008066045,strict_marginal,0.7649916616474164
内蒙古,53,101.32215420330559,3244.8188914420807,strict_marginal,7.295195102638003
北京,3,3.0,89.31948954486603,strict_marginal,0.216
吉林,2,2.2869082458403076,73.90073721234222,strict_marginal,0.16465739370050217
山东,13,17.042372354676605,549.4435609500987,strict_marginal,1.2270508095367156
山西,61,68.01380681602917,2080.771520025571,strict_marginal,4.8969940907541005
广西,7,7.556266441454305,236.37167778153088,strict_marginal,0.54405118378471
新疆,233,568.8396168726457,17436.819186989367,strict_marginal,40.95645241483049
河北,46,52.28980399655968,1616.4631471359146,strict_marginal,3.764865887752297
海南,2,2.757353406028626,89.7145516981413,strict_marginal,0.19852944523406107
湖南,19,20.702370400219287,631.0884153961716,strict_marginal,1.4905706688157887
甘肃,21,69.7703322201751,2224.8745301262657,strict_marginal,5.023463919852607
西藏,3,3.0,103.12022650788194,strict_marginal,0.216
辽宁,7,7.399027503233648,243.70634332661237,strict_marginal,0.5327299802328226
青海,160,471.9221264915128,14614.219831363705,strict_marginal,33.97839310738892
黑龙江,72,125.847312726497,4056.1791722711346,strict_marginal,9.061006516307783
