capacity_candidate_count,low_record_count,conventional_6p5_record_count,strict_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,search_specification
16.0,1889,1148,741,9.62351524830129,692.893097877693,0.3520031783745592,16
32.0,2001,1170,831,9.75145033522955,702.1044241365274,0.3561605599999048,32
64.0,2041,1177,864,9.778581648660824,704.0578787035793,0.3570997368554608,64
128.0,2073,1177,896,9.805457576343052,705.9929454966996,0.3578914533913635,128
256.0,2085,1181,904,9.822340478035352,707.2085144185452,0.3583991471799174,256
129.0,1809,1099,710,8.435457194134798,607.3529179777055,0.31842110355394293,128+1 MW
,1809,1099,710,,,,adaptive
