capacity_candidate_count,low_record_count,conventional_6p5_record_count,strict_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,low_jaccard_vs_reference,strict_jaccard_vs_reference,selected_capacity_median_absolute_relative_error_vs_reference,selected_capacity_p95_absolute_relative_error_vs_reference,low_capacity_gw_relative_error_vs_reference,low_capex_100m_cny_relative_error_vs_reference,low_h2_mt_per_year_relative_error_vs_reference
16,1889,1148,741,9.62351524830129,692.893097877693,0.3520031783745592,0.9059952038369304,0.7556029882604055,0.07195699113945977,0.40633248123312293,0.020242143934907756,0.020242143934907357,0.017845937569007268
32,2001,1170,831,9.75145033522955,702.1044241365274,0.3561605599999048,0.9597122302158273,0.8961748633879781,0.0254902106372993,0.1613948265348794,0.007217235338596448,0.00721723533859635,0.006246072842603201
64,2041,1177,864,9.778581648660824,704.0578787035793,0.3570997368554608,0.9788968824940047,0.947136563876652,0.012323440783642562,0.08590798812784226,0.004455030801709812,0.004455030801709612,0.0036255954699700253
128,2073,1177,896,9.805457576343052,705.9929454966996,0.3578914533913635,0.9942446043165467,0.9823788546255506,0.0,0.03412468502070268,0.0017188267633415526,0.001718826763341533,0.0014165597004031272
256,2085,1181,904,9.822340478035352,707.2085144185452,0.35839914717991744,1.0,1.0,0.0,0.0,0.0,0.0,0.0
