ObjectId,method,curtailed_mwh,positive_hours,top_10pct_hour_energy_share
1,daily_peak,343.8192932087183,804,1.0
10,daily_peak,1707.8109936590195,807,1.0
1000,daily_peak,410.84684592556954,483,1.0
10001,daily_peak,244.6003787267208,1014,0.9898302103937597
10005,daily_peak,51.4948166731298,1014,0.9898302068467716
1001,daily_peak,208.9329552130699,457,1.0
10013,daily_peak,42.91234689942002,1014,0.9898301947673458
10015,daily_peak,71.90698415700346,1041,0.982191319698034
1002,daily_peak,6102.1665621248485,1045,0.9879806345055631
10020,daily_peak,457.6596498482525,1334,0.9294293961167697
10021,daily_peak,450.03198976942895,1334,0.9294293638273773
10022,daily_peak,0.0,0,0.0
10023,daily_peak,0.0,0,0.0
10025,daily_peak,0.0,0,0.0
10027,daily_peak,0.0,0,0.0
1003,daily_peak,6102.1665621248485,1045,0.9879806345055631
10030,daily_peak,5997.3060993914605,2377,0.615503006171392
10031,daily_peak,7502.453577154279,2535,0.5422649102830042
10033,daily_peak,1592.0433362932206,1552,0.8091918570789101
10034,daily_peak,50.66208836364746,913,0.9990451325548786
10036,daily_peak,30.328634525702217,771,1.0
10040,daily_peak,121.7009352349639,646,1.0
10041,daily_peak,66.02062432627753,832,1.0
10045,daily_peak,235.464745705124,805,1.0
10048,daily_peak,39.24412412764318,805,1.0
10049,daily_peak,302.0908659455478,831,1.0
1005,daily_peak,11275.485953183173,1061,0.9845097064279275
10050,daily_peak,107.51094856753946,812,1.0
10051,daily_peak,39.09489029828459,812,1.0
10052,daily_peak,925.6554277426601,1286,0.9114324445108473
10053,daily_peak,285.03600924308597,1029,0.9885425723373019
10054,daily_peak,202.46994559893758,1052,0.9881558546062382
1006,daily_peak,884.3040142086148,1050,0.984616644982202
10062,daily_peak,30.459466484345494,822,1.0
10065,daily_peak,57.724227503865954,829,1.0
10066,daily_peak,310.06172148239614,792,1.0
10068,daily_peak,35.27151868188381,580,1.0
10069,daily_peak,14.450762519501149,710,1.0
1007,daily_peak,884.7397632744312,1051,0.9854668115708297
10070,daily_peak,328.9449379971027,809,1.0
10071,daily_peak,29.838082078561186,808,1.0
10075,daily_peak,181.50554682056605,779,1.0
10076,daily_peak,884.7612446420193,1272,0.9169856020644095
10077,daily_peak,8151.487410143853,2422,0.5789982369345151
10078,daily_peak,723.2509141185284,1296,0.91849566536597
10079,daily_peak,559.7605588709712,1291,0.9198939632087346
10080,daily_peak,463.76720881704983,1291,0.9177167388269054
10081,daily_peak,1268.0112323982717,1212,0.9451847602350241
10082,daily_peak,1385.0294065407516,1600,0.7901408444047869
10083,daily_peak,614.5138477549552,1052,0.9862283138886843
10084,daily_peak,545.0302887573689,1139,0.959426646164832
10085,daily_peak,107.80021426999942,1579,0.8562994453418565
1010,daily_peak,1840.1850757782458,1051,0.9864137079126792
10103,daily_peak,205.72501266784593,1061,0.9837974172665773
10105,daily_peak,0.0,0,0.0
10106,daily_peak,513.1703385868072,1060,0.9813885167923012
1011,daily_peak,892.2868563653826,1062,0.9851615186796044
10110,daily_peak,23.034555387008936,733,1.0
10111,daily_peak,0.0,0,0.0
10112,daily_peak,79.34438559217752,1042,0.984793476405988
10113,daily_peak,40.5846127550602,563,1.0
10119,daily_peak,85.00961357709765,1140,0.9599187065563645
10120,daily_peak,8.965908868789672,561,1.0
10125,daily_peak,80.37712176545709,828,1.0
10128,daily_peak,90.95521698775887,791,1.0
10129,daily_peak,12.042302124302834,710,1.0
10132,daily_peak,134.78779519898444,1045,0.9823427474809342
10133,daily_peak,0.0,0,0.0
10135,daily_peak,67.11285279141366,1140,0.9599187231548993
10137,daily_peak,36.12690648031607,710,1.0
1014,daily_peak,3832.5703219969273,1056,0.9875692308054611
10140,daily_peak,198.87073926585913,1043,0.9834311345567749
10142,daily_peak,228.02959790712595,1042,0.984249144215603
10143,daily_peak,0.0,0,0.0
10144,daily_peak,25.467460681535304,791,1.0
10145,daily_peak,1328.826635789156,1556,0.8679667527908406
10148,daily_peak,198.87073926585913,1043,0.9834311345567749
10152,daily_peak,85.49694896028691,1032,0.9864778075322408
10153,daily_peak,30.49454092186317,673,1.0
10159,daily_peak,473.63524349626897,1250,0.9440242506494897
1016,daily_peak,2358.6186684234144,1058,0.9868606828071624
10160,daily_peak,987.4090676740408,1250,0.9440242533678576
10163,daily_peak,180.50514702692627,767,1.0
10164,daily_peak,111.8547550381124,1140,0.9599187010530863
10165,daily_peak,768.4320658291579,1291,0.9332673907568745
10166,daily_peak,199.51920559991152,717,1.0
10167,daily_peak,0.0,0,0.0
1017,daily_peak,2358.6186684234144,1058,0.9868606828071624
10171,daily_peak,448.8334830764532,1034,0.9844095314249568
10173,daily_peak,2784.3439251132013,1493,0.8804138253174792
10174,daily_peak,120.90857747250796,1018,0.9895485832997404
10175,daily_peak,2631.8636696903704,1599,0.8595688714441405
10176,daily_peak,184.83830782256555,1015,0.9915460574792919
10180,daily_peak,292.7885948619843,1056,0.9836791218242504
10186,daily_peak,41.49431414139876,1015,0.9915460521851488
10188,daily_peak,75.44420747685665,1015,0.9915460640567872
10189,daily_peak,38.65402063959837,1039,0.9842125906501553
10190,daily_peak,226.33262238254213,1015,0.9915460691760333
102,daily_peak,15520.230895154953,1559,0.8202689638976025
1020,daily_peak,6214.7121654782295,1055,0.9864581113107598
10203,daily_peak,230.04818101972342,1056,0.9836791301447468
10207,daily_peak,923.9193853077888,1613,0.7954693504334849
10209,daily_peak,304.1567947424948,1338,0.9290683268179288
1021,daily_peak,2775.351217792511,1056,0.9854616181939415
10210,daily_peak,199.71910871058702,810,1.0
10211,daily_peak,1956.9626402521133,1460,0.8866261610946206
10213,daily_peak,107.12553024311363,1121,0.9716511564823149
10216,daily_peak,0.0,0,0.0
1022,daily_peak,3929.657459858239,1063,0.9867406270768386
10221,daily_peak,0.0,0,0.0
10226,daily_peak,0.0,0,0.0
10227,daily_peak,11421.068077690721,2485,0.5608023014672935
10228,daily_peak,122.45061510528625,559,1.0
10229,daily_peak,20.867022765095346,914,0.9995145987208388
1023,daily_peak,1103.3645479609966,1073,0.9842045364654772
10233,daily_peak,39.22365273085586,581,1.0
10238,daily_peak,732.7833436928987,1225,0.9397443202360386
1024,daily_peak,5665.088824857235,1060,0.9861480774877283
10241,daily_peak,625.3901007444263,1261,0.9261366901996372
10242,daily_peak,485.5002091318071,1261,0.9261366908939396
10245,daily_peak,541.5829367613792,981,0.9890817370334085
10247,daily_peak,0.0,0,0.0
1025,daily_peak,3563.2234279070794,1066,0.9852320297020228
10252,daily_peak,1853.799256953001,1793,0.7643610358751186
10253,daily_peak,165.76550840586424,1651,0.791096452724177
10256,daily_peak,0.0,0,0.0
10259,daily_peak,819.0082772310972,1664,0.7568627221860045
10264,daily_peak,252.3526018410027,794,1.0
10266,daily_peak,648.2077608681619,1252,0.9280347897994206
10269,daily_peak,2431.6954856452944,1652,0.7619669589369327
1027,daily_peak,1933.4555917042046,1083,0.9823070653581969
