cadence_case,fixed_replacement_cadence_hours,unfloored_stack_cost_learning_rate,terminal_stack_cost_factor,strict_record_count,retain_low_count,reach_6p5_count,npv_6p5_100m_cny
fixed_20000h,20000.0,0.56,0.0005678676081805377,710,710,39,-9.386518209003487
fixed_20000h,20000.0,0.57,0.0004606359830172598,710,710,39,-9.382832366957645
fixed_20000h,20000.0,0.58,0.000371817527399752,710,710,39,-9.379643616061745
fixed_20000h,20000.0,0.59,0.0002985795118399169,710,710,39,-9.37689399540128
fixed_20000h,20000.0,0.6,0.00023847209694275343,710,710,39,-9.374531211970803
fixed_20000h,20000.0,0.61,0.00018938406001341352,710,710,39,-9.372508195486068
fixed_20000h,20000.0,0.62,0.00014950273516506428,710,710,39,-9.370782679512761
fixed_20000h,20000.0,0.63,0.00011727785630641267,710,710,39,-9.369316807859443
fixed_20000h,20000.0,0.64,9.138900829349868e-05,710,710,39,-9.368076765205732
fixed_20000h,20000.0,0.65,7.071640699794977e-05,710,710,39,-9.367032430959767
fixed_20000h,20000.0,0.66,5.431474407453477e-05,710,710,39,-9.366157055361992
fixed_20000h,20000.0,0.67,4.138984680571044e-05,710,710,39,-9.365426956875162
fixed_20000h,20000.0,0.68,3.1277917561150567e-05,710,710,39,-9.364821239923009
fixed_20000h,20000.0,0.69,2.3427131137221665e-05,710,710,39,-9.364321532062608
fixed_20000h,20000.0,0.7,1.7381381536308896e-05,710,710,39,-9.36391174127066
fixed_20000h,20000.0,0.71,1.2765982610102851e-05,710,710,39,-9.363577827201915
fixed_20000h,20000.0,0.72,9.27513942578207e-06,710,710,39,-9.36330758754746
fixed_20000h,20000.0,0.73,6.661019220858871e-06,710,710,39,-9.36309047214059
fixed_20000h,20000.0,0.74,4.7242623927100565e-06,710,710,39,-9.362917400823418
fixed_20000h,20000.0,0.75,3.305785123966942e-06,710,710,39,-9.362780599244427
fixed_20000h,20000.0,0.76,2.2797359764990955e-06,710,710,39,-9.362673448298928
fixed_20000h,20000.0,0.77,1.5474790962542776e-06,710,710,39,-9.362590346470862
fixed_20000h,20000.0,0.78,1.032486560328249e-06,710,710,39,-9.362526584354958
fixed_20000h,20000.0,0.79,6.760318679995482e-07,710,710,39,-9.362478230658995
fixed_20000h,20000.0,0.8,4.33585630805005e-07,710,710,39,-9.36244202900617
fixed_20000h,20000.0,0.81,2.7182315484557066e-07,710,710,39,-9.362415304877686
fixed_20000h,20000.0,0.82,1.661618332609069e-07,710,710,39,-9.362395882055639
fixed_20000h,20000.0,0.83,9.875408013551818e-08,710,710,39,-9.362382007945754
fixed_20000h,20000.0,0.84,5.6868941020273994e-08,710,710,39,-9.362372287179078
fixed_20000h,20000.0,0.85,3.1602511884197995e-08,710,710,39,-9.362365622910616
fixed_20000h,20000.0,0.86,1.6863889865058284e-08,710,710,39,-9.362361165251963
fixed_20000h,20000.0,0.87,8.589567986745545e-09,710,710,39,-9.362358266293226
fixed_20000h,20000.0,0.88,4.144974502725628e-09,710,710,39,-9.362356441187984
fixed_20000h,20000.0,0.89,1.8772482915059075e-09,710,710,39,-9.362355334792728
fixed_20000h,20000.0,0.9,7.883375105545546e-10,710,710,39,-9.362354693369856
fixed_40000h,40000.0,0.0,1.0,710,702,4,-18.962830382969805
fixed_40000h,40000.0,0.01,0.9125694381247441,710,709,4,-18.655001263987874
