perfect_lossless_electrical_buffer_hours,buffer_capex_included,learning_case,strict_record_count,absorbed_electricity_twh_per_year,ending_stored_energy_gwh,mean_h2_mt_per_year,retain_low_count,reach_6p5_count,zero_buffer_max_absorbed_kwh_error
0.0,False,none,912,3.5488246086873017,0.0,0.06205854108936207,912,0,2.3543834686279297e-06
0.0,False,combined,912,3.5488246086873017,0.0,0.062283256676989515,912,2,2.3543834686279297e-06
1.0,False,none,912,4.354343256429662,0.15207608252041638,0.07649537316985598,912,793,2.3543834686279297e-06
1.0,False,combined,912,4.354343256429662,0.15207608252041638,0.07801229812577316,912,892,2.3543834686279297e-06
2.0,False,none,912,5.087692835297344,0.3015439821149002,0.08943955275068644,912,912,2.3543834686279297e-06
2.0,False,combined,912,5.087692835297344,0.3015439821149002,0.09206457735995688,912,912,2.3543834686279297e-06
4.0,False,none,912,6.436039419153831,0.6351777946995049,0.11269530394989896,912,912,2.3543834686279297e-06
4.0,False,combined,912,6.436039419153831,0.6351777946995049,0.11716579580940795,912,912,2.3543834686279297e-06
