nominal_equity_return_hurdle,nominal_equity_return_hurdle_pct,record_count,electrolyzer_capacity_gw,gross_capex_100m_cny,h2_mt_per_year,additional_records_vs_6p5
0.01,1.0,2061,10.194994148225314,734.0395786722225,0.36757727648913013,913
0.0125,1.25,1976,9.874852890528825,710.9894081180753,0.3588450201655968,828
0.01447315,1.4473150000000001,1889,9.62351524830129,692.893097877693,0.3520031783745592,741
0.015000000000000001,1.5000000000000002,1869,9.539358755056197,686.8338303640461,0.34963653882545115,721
0.0175,1.7500000000000002,1778,9.247447671771893,665.8162323675762,0.3415432577948629,630
0.020000000000000004,2.0000000000000004,1709,8.818784460831397,634.9524811798606,0.329365018170423,561
0.022500000000000003,2.2500000000000004,1658,8.49610074737638,611.7192538110995,0.32011002417651807,510
0.025,2.5,1585,8.22162469636775,591.9569781384779,0.31213993714706534,437
0.027500000000000004,2.7500000000000004,1551,7.992527930910596,575.4620110255629,0.30537524798223564,403
0.030000000000000006,3.0000000000000004,1512,7.7681643357966985,559.3078321773623,0.2986423416335818,364
0.03250000000000001,3.250000000000001,1478,7.490869289185105,539.3425888213275,0.29025104824789727,330
0.035,3.5000000000000004,1433,7.201038859923967,518.4747979145257,0.28138562023865893,285
0.037500000000000006,3.7500000000000004,1379,6.975820062752324,502.2590445181673,0.2744298128697915,231
0.04000000000000001,4.000000000000001,1352,6.783774348827207,488.4317531155589,0.26842957701787845,204
0.04250000000000001,4.250000000000001,1315,6.593192189378755,474.7098376352704,0.2624244695306533,167
0.045000000000000005,4.500000000000001,1300,6.426749836513389,462.72598822896407,0.25711930282181333,152
0.04750000000000001,4.750000000000001,1280,6.273995476491402,451.727674307381,0.25220870216720315,132
0.05000000000000001,5.000000000000001,1254,6.132583644658923,441.5460224154425,0.24761787276479025,106
0.05250000000000001,5.250000000000001,1238,5.982467841931313,430.73768461905456,0.24269107657096756,90
0.055000000000000014,5.500000000000002,1221,5.794471081284267,417.2019178524672,0.2364622541357085,73
0.05750000000000001,5.750000000000001,1194,5.622154871700457,404.795150762433,0.2307041714391342,46
0.06000000000000001,6.000000000000001,1177,5.435526627979368,391.3579172145146,0.22440024102231346,29
0.06250000000000001,6.250000000000002,1161,5.279350479715957,380.11323453954896,0.21907540996919858,13
0.065,6.5,1148,5.171395267668102,372.3404592721034,0.2153579767249241,0
0.0675,6.75,1118,5.0583403644532146,364.2005062406314,0.21141799312237156,-30
0.07,7.000000000000001,1096,4.934526523307647,355.2859096781506,0.20707229204290634,-52
0.07250000000000001,7.250000000000001,1081,4.819163967950182,346.97980569241315,0.20297933398010662,-67
0.07500000000000001,7.500000000000001,1065,4.616936048947,332.419395524184,0.1957466109480298,-83
0.07750000000000001,7.750000000000002,1055,4.423808502879221,318.5142122073039,0.18876973460822227,-93
0.08,8.0,1050,4.2984043214543926,309.48511114471626,0.18419984158946717,-98
