method,low_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,conventional_6p5_record_count,conventional_6p5_capacity_gw,conventional_6p5_capex_100m_cny,conventional_6p5_h2_mt_per_year,strict_record_count,strict_capacity_gw,strict_capex_100m_cny,strict_h2_mt_per_year,r1_capacity_at_90pct_gw,r1_h2_at_90pct_mt_per_year,r1_physical_h2_mt_per_year,median_positive_hours,median_top10_energy_share,strict_retain_low_P22,strict_reach_6p5_P22,strict_retain_low_P18,strict_reach_6p5_P18,r4_locked_durable_6p5_P18,r4_locked_at_risk_capex_100m_cny_P18,strict_retain_low_P15,strict_reach_6p5_P15,strict_retain_low_P12,strict_reach_6p5_P12,strict_critical_2060_price_median,strict_critical_2060_price_p05,strict_critical_2060_price_p95,r4_forward_P18_record_count,r4_forward_P18_capacity_gw,r4_forward_P18_capex_100m_cny,r4_forward_P18_h2_mt_per_year,r4_forward_strict_marginal_count_P18,jaccard_vs_daily_low_return_entry,jaccard_vs_daily_strict_marginal
daily_peak,1889,9.62351524830129,692.893097877693,0.3520031783745592,1148,5.171395267668102,372.3404592721034,0.2153579767249241,741,1.996362631393401,143.7381094603249,0.05942821624515723,64.27422011811267,1.0788800001502674,1.286942888787635,1298.5,0.9120973281961076,79,0,0,0,270,516.0351098962848,0,0,0,0,37.462449073791504,30.10189175605774,42.90809154510498,774,2.788731881141898,200.78869544221664,0.13023075067565326,0,1.0,1.0
annual_peak,622,4.398414376369157,316.68583509857933,0.14075601973829824,201,0.9173561747783692,66.04964458404258,0.034136984391811724,421,2.1143616782309964,152.23404083263173,0.06312969477828663,118.14014459295778,1.1068426512241343,1.2869428502516256,460.0,1.0,30,0,0,0,2,315.1382186884231,0,0,0,0,39.949893951416016,32.38939046859741,42.67413854598999,25,0.09018235020516116,6.493129214771601,0.003879512653444848,0,0.3292747485442033,0.0025884383088869713
proportional,5459,15.384683086780253,1107.697182248178,0.8346904956607271,4908,12.66823553086238,912.1129582220914,0.7551464822614478,551,0.642914450504897,46.28984043635258,0.02033761897681032,22.927153839938455,1.0150420462100826,1.2869428496143627,5182.0,0.4348220458833727,337,0,32,0,4486,80.93736633813465,0,0,0,0,32.36052989959717,26.70918881893158,39.24151360988617,4486,10.774193937705677,775.7419635148086,0.715655054277542,0,0.3428362573099415,0.0
