ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,audited_boundary,low_npv_to_capex_128,high_npv_to_capex_128,low_128,high_128,strict_128,low_256,high_256,strict_256,low_adaptive,high_adaptive,strict_adaptive,low_capacity_mw_128,high_capacity_mw_128,low_capacity_mw_256,high_capacity_mw_256,low_capacity_mw_adaptive,low_npv_adaptive,high_capacity_mw_adaptive,high_npv_adaptive,low_final_bracket_relative_width,high_final_bracket_relative_width
1,安徽,光伏,20.0,32.0001,117.0001,False,-2.2410552552353575,-1.4299483886955895,False,False,False,False,False,False,False,False,False,1.0462434458303942,1.0462434458303942,1.018667458420801,1.018667458420801,,,,,,
10,安徽,光伏,100.0,32.1447,116.785,False,-1.6723305189245337,-1.1418521273824442,False,False,False,False,False,False,False,False,False,1.0183497604210563,1.0183497604210563,1.0067377860251645,1.0067377860251645,,,,,,
1000,广东,光伏,80.0,22.6099,111.6157,False,-2.1799326340199783,-1.399092353067955,False,False,False,False,False,False,False,False,False,1.0138810319202753,1.0138810319202753,1.0138810319202753,1.0138810319202753,,,,,,
10001,山东,光伏,5.7,37.6443,120.4709,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0024299146628260614,0.0024299146628260614,0.0024299146628260614,0.0024299146628260614,,,,,,
10005,山东,光伏,1.2,37.6443,120.4709,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0005115609573456645,0.0005115609573456645,0.0005115609573456645,0.0005115609573456645,,,,,,
1001,广东,光伏,40.0,23.386,114.733,False,-2.4333784581897993,-1.5271702889534087,False,False,False,False,False,False,False,False,False,1.1282569580078126,1.1282569580078126,1.0046527579815818,1.0046527579815818,,,,,,
10013,山东,光伏,1.0,37.6443,120.4709,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0004263008049717546,0.0004263008049717546,0.0004263008049717546,0.0004263008049717546,,,,,,
10015,辽宁,光伏,1.5,40.8738,120.624,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0006923508674873607,0.0006923508674873607,0.0006923508674873607,0.0006923508674873607,,,,,,
1002,广西,光伏,150.0,22.4674,108.5769,False,-1.0648611030245674,-0.8323244448478808,False,False,False,False,False,False,False,False,False,1.0088002692751894,1.0088002692751894,1.0088002692751894,1.0088002692751894,,,,,,
10020,河北,光伏,6.0,37.3528,114.7739,False,-2.2006623971584838,-1.4092359836023107,False,False,False,False,False,False,False,False,False,1.2080496826171876,1.2080496826171876,1.2080496826171876,1.2080496826171876,,,,,,
10021,河北,光伏,5.9,37.3528,114.7739,False,-2.200662420484317,-1.4092359953955966,False,False,False,False,False,False,False,False,False,1.18791552734375,1.18791552734375,1.18791552734375,1.18791552734375,,,,,,
10022,浙江,光伏,3.0,29.031,119.1674,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
10023,浙江,光伏,2.2,27.7833,120.625,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
10025,浙江,光伏,1.8,29.031,119.1674,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
10027,浙江,光伏,1.7,29.031,119.1674,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
1003,广西,光伏,150.0,22.4674,108.5769,False,-1.0648611030245674,-0.8323244448478808,False,False,False,False,False,False,False,False,False,1.0088002692751894,1.0088002692751894,1.0088002692751894,1.0088002692751894,,,,,,
10030,西藏,光伏,10.0,30.4749,91.0998,True,0.46472088291129,0.05683842216358451,True,True,False,True,True,False,True,True,False,1.19827662674974,1.0144891649677386,1.19827662674974,1.0045645560262486,1.1990789794921874,4009885.107393117,1.0,428515.11223472556,1.0659405650718167e-06,0.0
10031,西藏,光伏,10.0,28.9057,88.0203,False,0.5729659762160257,0.17528708569899207,True,True,False,True,True,False,True,True,False,1.9416578263835973,1.243102256579194,1.9416578263835973,1.3228397178084432,,,,,,
10033,甘肃,光伏,10.0,39.0002,100.52,False,-0.7720055707077812,-0.6745836975472037,False,False,False,False,False,False,False,False,False,1.0189450246723393,1.0189450246723393,1.0064144407119593,1.0064144407119593,,,,,,
10034,湖南,光伏,2.6,27.6995,111.9891,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0005567178305533386,0.0005567178305533386,0.0005567178305533386,0.0005567178305533386,,,,,,
10036,安徽,光伏,1.8,31.7383,116.5142,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.00039522183754300675,0.00039522183754300675,0.00039522183754300675,0.00039522183754300675,,,,,,
10040,四川,光伏,5.6,31.45,100.7,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.00188908015470946,0.00188908015470946,0.00188908015470946,0.00188908015470946,,,,,,
10041,安徽,光伏,3.9,31.2592,117.2828,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0007997925718544771,0.0007997925718544771,0.0007997925718544771,0.0007997925718544771,,,,,,
10045,河南,光伏,12.0,33.6881,113.9131,False,-2.452403340405139,-1.536746759731324,False,False,False,False,False,False,False,False,False,1.13547021484375,1.13547021484375,1.13547021484375,1.13547021484375,,,,,,
10048,河南,光伏,2.0,33.6881,113.9131,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.000490723499245497,0.000490723499245497,0.000490723499245497,0.000490723499245497,,,,,,
10049,河南,光伏,15.0,34.374,111.495,False,-2.291397036648267,-1.4553726514167311,False,False,False,False,False,False,False,False,False,1.0133314753616502,1.0133314753616502,1.0133314753616502,1.0133314753616502,,,,,,
1005,广西,光伏,290.0,23.9001,106.6061,False,-0.9569002439997218,-0.7745297807154171,False,False,False,False,False,False,False,False,False,1.0419113939933446,1.0419113939933446,1.0054550066026986,1.0054550066026986,,,,,,
