terminal_price,price_shape,rule,selected_record_count,durable_record_count,strict_selected_count,selected_capacity_gw,selected_capex_100m_cny,selected_h2_mt_per_year,durable_capacity_gw,durable_capex_100m_cny,durable_h2_mt_per_year,total_selected_capacity_gw,total_selected_capex_100m_cny,total_selected_h2_mt_per_year,at_risk_record_count,at_risk_capex_100m_cny
12.0,front_loaded,conditional_forward_screen,20,20,0,0.05965467946894625,4.295136921764128,0.0035685564567594693,0.05965467946894625,4.295136921764128,0.0035685564567594693,0.05965467946894625,4.295136921764128,0.0035685564567594693,0,0.0
12.0,front_loaded,low_hurdle_locked,1791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.422973421453497,606.4540863446518,0.322599964043221,1791,606.4540863446518
12.0,front_loaded,static_6p5_locked,1098,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.591393079003398,330.5803016882446,0.19921149571592425,1098,330.5803016882446
12.0,linear,conditional_forward_screen,406,406,0,1.1890792325426827,85.61370474307314,0.059846662952964876,1.1890792325426827,85.61370474307314,0.059846662952964876,1.1890792325426827,85.61370474307314,0.059846662952964876,0,0.0
12.0,linear,low_hurdle_locked,1791,29,0,0.3023852434908062,21.771737531338044,0.014756891570146686,0.3023852434908062,21.771737531338044,0.014756891570146686,8.422973421453497,606.4540863446518,0.322599964043221,1762,584.6823488133138
12.0,linear,static_6p5_locked,1098,98,0,0.6467797717083701,46.56814356300264,0.03141883124059417,0.6467797717083701,46.56814356300264,0.03141883124059417,4.591393079003398,330.5803016882446,0.19921149571592425,1000,284.012158125242
12.0,back_loaded,conditional_forward_screen,872,872,0,3.0030343930689467,216.2184763009641,0.138205307579749,3.0030343930689467,216.2184763009641,0.138205307579749,3.0030343930689467,216.2184763009641,0.138205307579749,0,0.0
12.0,back_loaded,low_hurdle_locked,1791,326,0,2.817960106343021,202.89312765669746,0.12361920570283494,2.817960106343021,202.89312765669746,0.12361920570283494,8.422973421453497,606.4540863446518,0.322599964043221,1465,403.56095868795427
12.0,back_loaded,static_6p5_locked,1098,712,0,3.898438076476779,280.68754150632816,0.17211247887631206,3.898438076476779,280.68754150632816,0.17211247887631206,4.591393079003398,330.5803016882446,0.19921149571592425,386,49.89276018191649
12.0,all_timings,robust_forward_screen,20,20,0,0.05965467946894625,4.295136921764128,0.0035685564567594693,0.05965467946894625,4.295136921764128,0.0035685564567594693,0.05965467946894625,4.295136921764128,0.0035685564567594693,0,0.0
13.0,front_loaded,conditional_forward_screen,71,71,0,0.13904989747535826,10.011592618225794,0.007919204838512888,0.13904989747535826,10.011592618225794,0.007919204838512888,0.13904989747535826,10.011592618225794,0.007919204838512888,0,0.0
13.0,front_loaded,low_hurdle_locked,1791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.422973421453497,606.4540863446518,0.322599964043221,1791,606.4540863446518
13.0,front_loaded,static_6p5_locked,1098,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.591393079003398,330.5803016882446,0.19921149571592425,1098,330.5803016882446
13.0,linear,conditional_forward_screen,463,463,0,1.4050292439606442,101.16210556516636,0.06976661257912956,1.4050292439606442,101.16210556516636,0.06976661257912956,1.4050292439606442,101.16210556516636,0.06976661257912956,0,0.0
13.0,linear,low_hurdle_locked,1791,56,0,0.5370590522509131,38.66825176206574,0.02556155131703008,0.5370590522509131,38.66825176206574,0.02556155131703008,8.422973421453497,606.4540863446518,0.322599964043221,1735,567.785834582586
13.0,linear,static_6p5_locked,1098,135,0,0.9628997262052361,69.32878028677698,0.04593522415688706,0.9628997262052361,69.32878028677698,0.04593522415688706,4.591393079003398,330.5803016882446,0.19921149571592425,963,261.25152140146764
13.0,back_loaded,conditional_forward_screen,892,892,0,3.139094732646616,226.0148207505563,0.14369023690783825,3.139094732646616,226.0148207505563,0.14369023690783825,3.139094732646616,226.0148207505563,0.14369023690783825,0,0.0
13.0,back_loaded,low_hurdle_locked,1791,336,0,2.8825615959472906,207.5444349082049,0.1262187915132726,2.8825615959472906,207.5444349082049,0.1262187915132726,8.422973421453497,606.4540863446518,0.322599964043221,1455,398.90965143644684
13.0,back_loaded,static_6p5_locked,1098,782,0,4.044932161725652,291.23511564424695,0.17800369148430856,4.044932161725652,291.23511564424695,0.17800369148430856,4.591393079003398,330.5803016882446,0.19921149571592425,316,39.345186043997714
13.0,all_timings,robust_forward_screen,71,71,0,0.13904989747535826,10.011592618225794,0.007919204838512888,0.13904989747535826,10.011592618225794,0.007919204838512888,0.13904989747535826,10.011592618225794,0.007919204838512888,0,0.0
14.0,front_loaded,conditional_forward_screen,128,128,0,0.2476605938339589,17.83156275604504,0.013697282765014243,0.2476605938339589,17.83156275604504,0.013697282765014243,0.2476605938339589,17.83156275604504,0.013697282765014243,0,0.0
14.0,front_loaded,low_hurdle_locked,1791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.422973421453497,606.4540863446518,0.322599964043221,1791,606.4540863446518
14.0,front_loaded,static_6p5_locked,1098,9,0,0.06390529238469737,4.601181051698211,0.0034079089091872345,0.06390529238469737,4.601181051698211,0.0034079089091872345,4.591393079003398,330.5803016882446,0.19921149571592425,1089,325.97912063654644
14.0,linear,conditional_forward_screen,528,528,0,1.626445266327702,117.10405917559456,0.07974159767905296,1.626445266327702,117.10405917559456,0.07974159767905296,1.626445266327702,117.10405917559456,0.07974159767905296,0,0.0
14.0,linear,low_hurdle_locked,1791,105,0,0.7553041998406221,54.38190238852479,0.03543045191884062,0.7553041998406221,54.38190238852479,0.03543045191884062,8.422973421453497,606.4540863446518,0.322599964043221,1686,552.072183956127
14.0,linear,static_6p5_locked,1098,180,0,1.3017136510942129,93.7233828787833,0.06121765507424004,1.3017136510942129,93.7233828787833,0.06121765507424004,4.591393079003398,330.5803016882446,0.19921149571592425,918,236.8569188094613
14.0,back_loaded,conditional_forward_screen,919,919,0,3.2616682688515355,234.84011535731057,0.14857932303645652,3.2616682688515355,234.84011535731057,0.14857932303645652,3.2616682688515355,234.84011535731057,0.14857932303645652,0,0.0
14.0,back_loaded,low_hurdle_locked,1791,353,0,3.033142589922554,218.3862664744239,0.1322371443928152,3.033142589922554,218.3862664744239,0.1322371443928152,8.422973421453497,606.4540863446518,0.322599964043221,1438,388.0678198702278
14.0,back_loaded,static_6p5_locked,1098,845,0,4.182354475993277,301.1295222715159,0.18347684208490234,4.182354475993277,301.1295222715159,0.18347684208490234,4.591393079003398,330.5803016882446,0.19921149571592425,253,29.450779416728725
14.0,all_timings,robust_forward_screen,128,128,0,0.2476605938339589,17.83156275604504,0.013697282765014243,0.2476605938339589,17.83156275604504,0.013697282765014243,0.2476605938339589,17.83156275604504,0.013697282765014243,0,0.0
15.0,front_loaded,conditional_forward_screen,211,211,0,0.42887161740180957,30.878756452930293,0.023043927970500942,0.42887161740180957,30.878756452930293,0.023043927970500942,0.42887161740180957,30.878756452930293,0.023043927970500942,0,0.0
15.0,front_loaded,low_hurdle_locked,1791,6,0,0.056425739477798505,4.062653242401492,0.0029299737626952214,0.056425739477798505,4.062653242401492,0.0029299737626952214,8.422973421453497,606.4540863446518,0.322599964043221,1785,602.3914331022502
15.0,front_loaded,static_6p5_locked,1098,14,0,0.10929726119912835,7.8694028063372405,0.0057615492915390155,0.10929726119912835,7.8694028063372405,0.0057615492915390155,4.591393079003398,330.5803016882446,0.19921149571592425,1084,322.7108988819074
15.0,linear,conditional_forward_screen,576,576,0,1.8503670899480942,133.2264304762628,0.08966884455059948,1.8503670899480942,133.2264304762628,0.08966884455059948,1.8503670899480942,133.2264304762628,0.08966884455059948,0,0.0
