learning_multiple,records_reaching_6p5,share_reaching_6p5
0.0,0,0.0
0.1,0,0.0
0.2,0,0.0
0.3,0,0.0
0.4,0,0.0
0.5,0,0.0
0.6,0,0.0
0.7,0,0.0
0.8,0,0.0
0.9,0,0.0
1.0,1,0.001443001443001443
1.1,2,0.002886002886002886
1.2,3,0.004329004329004329
1.3,4,0.005772005772005772
1.4,4,0.005772005772005772
1.5,4,0.005772005772005772
1.6,4,0.005772005772005772
1.7,4,0.005772005772005772
1.8,4,0.005772005772005772
1.9,4,0.005772005772005772
2.0,4,0.005772005772005772
2.1,4,0.005772005772005772
2.2,4,0.005772005772005772
2.3,4,0.005772005772005772
2.4,4,0.005772005772005772
2.5,4,0.005772005772005772
2.6,4,0.005772005772005772
2.7,4,0.005772005772005772
2.8,4,0.005772005772005772
2.9,4,0.005772005772005772
3.0,4,0.005772005772005772
3.1,4,0.005772005772005772
3.2,4,0.005772005772005772
3.3,4,0.005772005772005772
3.4,4,0.005772005772005772
3.5,4,0.005772005772005772
3.6,4,0.005772005772005772
3.7,5,0.007215007215007215
3.8,5,0.007215007215007215
3.9,5,0.007215007215007215
4.0,5,0.007215007215007215
4.1,5,0.007215007215007215
4.2,5,0.007215007215007215
4.3,5,0.007215007215007215
4.4,5,0.007215007215007215
4.5,6,0.008658008658008658
4.6,6,0.008658008658008658
4.7,6,0.008658008658008658
4.8,6,0.008658008658008658
4.9,6,0.008658008658008658
5.0,6,0.008658008658008658
5.1,6,0.008658008658008658
5.2,6,0.008658008658008658
5.3,6,0.008658008658008658
5.4,6,0.008658008658008658
5.5,6,0.008658008658008658
5.6,6,0.008658008658008658
5.7,6,0.008658008658008658
5.8,6,0.008658008658008658
5.9,6,0.008658008658008658
6.0,6,0.008658008658008658
6.1,6,0.008658008658008658
6.2,6,0.008658008658008658
6.3,6,0.008658008658008658
6.4,6,0.008658008658008658
6.5,6,0.008658008658008658
6.6,6,0.008658008658008658
6.7,6,0.008658008658008658
6.8,6,0.008658008658008658
6.9,6,0.008658008658008658
7.0,6,0.008658008658008658
7.1,6,0.008658008658008658
7.2,6,0.008658008658008658
7.3,6,0.008658008658008658
7.4,6,0.008658008658008658
7.5,6,0.008658008658008658
7.6,6,0.008658008658008658
7.7,6,0.008658008658008658
7.8,6,0.008658008658008658
7.9,6,0.008658008658008658
8.0,6,0.008658008658008658
8.1,6,0.008658008658008658
8.2,6,0.008658008658008658
