ObjectId,merge_province_cn,power_type_cn,terminal_price,retain_low,durable_6p5,npv_low_100m_cny,npv_6p5_100m_cny
10956,西藏,光伏,22.0,True,False,0.01089504378263161,-0.009283962515491035
11041,西藏,光伏,22.0,True,False,0.002982951756063201,-0.0133635615076352
11990,西藏,光伏,22.0,True,False,0.004336585836367207,-0.012749863333880137
1798,青海,光伏,22.0,False,False,-0.016917833315832197,-0.05868586084281511
1800,青海,光伏,22.0,False,False,-0.07355580449161664,-0.25515592065411746
4006,青海,光伏,22.0,False,False,-0.02874861497592421,-0.05916138715848025
4040,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4117,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4126,青海,光伏,22.0,False,False,-0.011984029330953015,-0.022388165859545166
4127,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4128,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4129,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4130,青海,光伏,22.0,False,False,-0.017276425389567786,-0.02568021008929354
4132,青海,光伏,22.0,False,False,-0.017276425389567786,-0.02568021008929354
4133,青海,光伏,22.0,False,False,-0.017276425389567786,-0.02568021008929354
4134,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4135,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4136,青海,光伏,22.0,False,False,-0.011984029330953015,-0.022388165859545166
4137,青海,光伏,22.0,False,False,-0.009990988016508853,-0.02221729963803683
4138,青海,光伏,22.0,False,False,-0.01610056784542589,-0.035760218876277984
4139,青海,光伏,22.0,False,False,-0.016648648126676123,-0.02499269186673636
4140,青海,光伏,22.0,False,False,-0.031111760847453162,-0.06083879992606513
4141,青海,光伏,22.0,False,False,-0.01784786486382866,-0.02563696420140581
4143,青海,光伏,22.0,False,False,-0.015555880898452603,-0.030419400232288403
4144,青海,光伏,22.0,False,False,-0.01918837325745753,-0.02644838967826992
4145,青海,光伏,22.0,False,False,-0.01918837325745753,-0.02644838967826992
4146,青海,光伏,22.0,False,False,-0.012175432304647793,-0.02260603869232056
4147,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4148,青海,光伏,22.0,False,False,-0.01842591820647526,-0.0262109795195204
4149,青海,光伏,22.0,False,False,-0.012488732464765015,-0.027771623112853226
4151,青海,光伏,22.0,False,False,-0.018191958095979812,-0.02610564055409463
4153,青海,光伏,22.0,False,False,-0.014711161673801168,-0.05103118439222903
4154,青海,光伏,22.0,False,False,-0.017055669489040023,-0.02540340781281051
4155,青海,光伏,22.0,False,False,-0.02942232022389422,-0.10206236683682648
4156,青海,光伏,22.0,False,False,-0.022066739391426365,-0.07654677501922377
4157,青海,光伏,22.0,False,False,-0.02942232022389422,-0.10206236683682648
4159,青海,光伏,22.0,False,False,-0.07796915913720168,-0.2704652805216114
4160,青海,光伏,22.0,False,False,-0.010330041506050162,-0.028779478215319634
4161,青海,光伏,22.0,False,False,-0.008840426998940372,-0.020936396466231997
4163,青海,光伏,22.0,False,False,-0.008756856076363485,-0.020574480392165542
4165,青海,光伏,22.0,False,False,-0.00992630052536363,-0.028982711008695775
4167,青海,光伏,22.0,False,False,-0.008840426998940372,-0.020936396466231997
4176,青海,光伏,22.0,False,False,-0.017781292644400367,-0.025758008107785148
4179,青海,光伏,22.0,False,False,-0.017055669489040023,-0.02540340781281051
4180,青海,光伏,22.0,False,False,-0.009515159093681235,-0.021403766500665167
4182,青海,光伏,22.0,False,False,-0.010330041506050162,-0.028779478215319634
4189,青海,光伏,22.0,False,False,-0.010330041506050162,-0.028779478215319634
4190,青海,光伏,22.0,False,False,-0.020660082756649864,-0.05755895625540381
4192,青海,光伏,22.0,False,False,-0.015699948925695126,-0.024824340607230762
4197,青海,光伏,22.0,False,False,-0.009070096370944152,-0.023589787089828115
4204,青海,光伏,22.0,False,False,-0.0291214861176241,-0.059556806171613325
4205,青海,光伏,22.0,False,False,-0.1177295718198297,-0.21686573983070187
4208,青海,光伏,22.0,False,False,-0.03871064751019762,-0.11015935504040375
4225,青海,光伏,22.0,False,False,-0.28052108605418896,-0.5340466479597861
4228,青海,光伏,22.0,False,False,-0.020660082756649864,-0.05755895625540381
4233,青海,光伏,22.0,False,False,-0.028052105594849632,-0.053404662806968366
4242,青海,光伏,22.0,False,False,-0.01952954030717346,-0.02657680266516781
4250,青海,光伏,22.0,False,False,-0.01952954030717346,-0.02657680266516781
4256,青海,光伏,22.0,False,False,-0.012667455350310728,-0.022768028563770828
4263,青海,光伏,22.0,False,False,-0.019355323461733655,-0.05507967737064859
4268,青海,光伏,22.0,False,False,-0.017249167257780418,-0.03549683140312921
4274,青海,光伏,22.0,False,False,-0.01627081923099342,-0.03427080363548188
4283,青海,光伏,22.0,False,False,-0.014374307531412542,-0.029580693646783483
4288,青海,光伏,22.0,False,False,-0.014711161673801168,-0.05103118439222903
4291,青海,光伏,22.0,False,False,-0.01147443409285017,-0.026204228037119946
4298,青海,光伏,22.0,False,False,-0.019193798698478343,-0.026641948180920662
4301,青海,光伏,22.0,False,False,-0.019346932965847077,-0.05417821058204148
4309,青海,光伏,22.0,False,False,-0.017781292644400367,-0.025758008107785148
4317,青海,光伏,22.0,False,False,-0.01870829484240024,-0.057571877156058576
4320,青海,光伏,22.0,False,False,-0.014374307531412542,-0.029580693646783483
4326,青海,光伏,22.0,False,False,-0.011619464447303442,-0.022128117583966395
4420,青海,光伏,22.0,False,False,-0.01952954030717346,-0.02657680266516781
4434,青海,光伏,22.0,False,False,-0.05805137865956325,-0.10728202991263809
4440,青海,光伏,22.0,False,False,-0.025628354729819683,-0.05323655084995825
4446,青海,光伏,22.0,False,False,-0.05805137865956325,-0.10728202991263809
4452,青海,光伏,22.0,False,False,-0.10953391526084748,-0.3287942639024821
4456,青海,光伏,22.0,False,False,-0.019656736795679173,-0.026737738614417743
4463,青海,光伏,22.0,False,False,-0.10953391526084748,-0.3287942639024821
4479,青海,光伏,22.0,False,False,-0.016847669386844212,-0.02516069142602098
4490,青海,光伏,22.0,False,False,-0.012011581711526617,-0.03453179847888548
4510,青海,光伏,22.0,False,False,-0.013507550235194857,-0.03338701924308374
4516,青海,光伏,22.0,False,False,-0.01456074274970533,-0.029778402892191264
4522,青海,光伏,22.0,False,False,-0.01456074274970533,-0.029778402892191264
4535,青海,光伏,22.0,False,False,-0.017170385706761833,-0.02537686982591825
4541,青海,光伏,22.0,False,False,-0.017781292644400367,-0.025758008107785148
4543,青海,光伏,22.0,False,False,-0.0291214861176241,-0.059556806171613325
4603,青海,光伏,22.0,False,False,-0.017055669489040023,-0.02540340781281051
4609,青海,光伏,22.0,False,False,-0.01663502538940263,-0.02518269131239831
4615,青海,光伏,22.0,False,False,-0.011619464447303442,-0.022128117583966395
4622,青海,光伏,22.0,False,False,-0.019355323461733655,-0.05507967737064859
4631,青海,光伏,22.0,False,False,-0.014711161673801168,-0.05103118439222903
4641,青海,光伏,22.0,False,False,-0.015264323779374499,-0.029195775071566687
4642,青海,光伏,22.0,False,False,-0.013578994198837247,-0.023232603953646937
4647,青海,光伏,22.0,False,False,-0.019852601591877652,-0.057965422396571376
4648,青海,光伏,22.0,False,False,-0.0291214861176241,-0.059556806171613325
4654,青海,光伏,22.0,False,False,-0.0291214861176241,-0.059556806171613325
4682,青海,光伏,22.0,False,False,-0.045794012425730314,-0.10501378180431659
4690,青海,光伏,22.0,False,False,-0.013578994198837247,-0.023232603953646937
4693,青海,光伏,22.0,False,False,-0.019606048979935422,-0.026878823936455683
4705,青海,光伏,22.0,False,False,-0.09450213516769412,-0.26646555252612536
4710,青海,光伏,22.0,False,False,-0.01015059891429572,-0.021519117307197452
4712,青海,光伏,22.0,False,False,-0.011357979609284545,-0.02200438113613953
4716,青海,光伏,22.0,False,False,-0.010127126087414527,-0.023020557290275627
4718,青海,光伏,22.0,False,False,-0.010155073376436737,-0.021537968582406045
4722,青海,光伏,22.0,False,False,-0.036540243760845297,-0.09625161278654731
4724,青海,光伏,22.0,False,False,-0.010155073376436737,-0.021537968582406045
4726,青海,光伏,22.0,False,False,-0.016885558386987565,-0.025111386023780574
4744,青海,光伏,22.0,False,False,-0.0213958446987695,-0.06781943151797883
4746,青海,光伏,22.0,False,False,-0.012386233219777502,-0.022543944049322927
4752,青海,光伏,22.0,False,False,-0.012386233219777502,-0.022543944049322927
4756,青海,光伏,22.0,False,False,-0.0082223453724938,-0.0212379323175248
4757,青海,光伏,22.0,False,False,-0.004578418113568789,-0.01866809878031214
