entry_h2_price_real_cny_per_kg,low_return_entry_count,conventional_6p5_count,strict_marginal_count
18.0,95,2,93
20.0,474,20,454
22.0,948,293,655
24.0,1175,630,545
26.0,1423,1016,407
28.0,2073,1177,896
30.0,2846,1403,1443
32.0,3476,1798,1678
