merge_province_cn,record_count,electrolyzer_capacity_mw,h2_t_per_year,cohort,gross_capex_100m_cny
云南,10,20.669340288888478,603.4785886393221,low_return,1.4881925007999703
内蒙古,488,3851.899447450157,151226.67358497606,low_return,277.3367602164113
北京,3,3.047739577586186,90.39750094669148,low_return,0.21943724958620542
吉林,122,743.9109645844173,27005.23930473367,low_return,53.561589450078046
山东,15,19.089049677680503,609.5914827737535,low_return,1.3744115767929963
山西,78,95.99782815604753,2858.113539937438,low_return,6.911843627235422
广西,12,13.952973968325402,412.1801177465685,low_return,1.004614125719429
新疆,426,1371.657284448949,42704.924451628445,low_return,98.75932448032432
河北,255,1434.969092082022,55470.06164611963,low_return,103.31777462990559
河南,1,5.7540252389510425,217.506920948762,low_return,0.41428981720447505
海南,2,2.4102313912508224,80.52064004480019,low_return,0.1735366601700592
湖南,28,29.929551642393676,894.1950845605795,low_return,2.1549277182523445
甘肃,89,276.1513774576581,8650.747621393431,low_return,19.882899176951383
西藏,82,413.5246045341623,15130.185927867888,low_return,29.773771526459683
辽宁,171,711.3604970280481,26985.317099334075,low_return,51.217955786019466
陕西,4,4.176780697667407,115.18823653687069,low_return,0.3007282102320533
青海,181,597.7187200260363,18064.364783938036,low_return,43.03574784187461
黑龙江,106,209.23806809280825,6772.766859237512,low_return,15.065140902682195
内蒙古,446,3785.346862435259,149153.29681593642,conventional_6p5,272.5449740953386
吉林,120,741.8876562042549,26937.97567639949,conventional_6p5,53.41591124670635
山东,5,7.541710824985123,250.01497753160808,conventional_6p5,0.5430031793989288
山西,1,2.490346882117273,84.98594577585837,conventional_6p5,0.17930497551244368
新疆,78,379.5620482602063,13727.706093786759,conventional_6p5,27.328467474734854
河北,205,1373.0966371303655,53589.46995317964,conventional_6p5,98.8629578733863
河南,1,5.7540252389510425,217.506920948762,conventional_6p5,0.41428981720447505
湖南,1,2.465792072003168,80.01143934340298,conventional_6p5,0.17753702918422812
甘肃,22,167.72514168160876,5535.002979019606,conventional_6p5,12.076210201075833
西藏,79,410.50827255132083,15031.914543876792,conventional_6p5,29.556595623695102
辽宁,166,706.0021037438413,26817.659280132877,conventional_6p5,50.83215146955657
黑龙江,53,136.37996358484122,4530.237849551286,conventional_6p5,9.819357378108569
云南,10,20.669340288888478,603.4785886393221,strict_marginal,1.4881925007999703
内蒙古,42,66.55258501489786,2073.376769039631,strict_marginal,4.791786121072646
北京,3,3.047739577586186,90.39750094669148,strict_marginal,0.21943724958620542
吉林,2,2.0233083801624256,67.26362833418221,strict_marginal,0.14567820337169465
山东,10,11.54733885269538,359.57650524214534,strict_marginal,0.8314083973940674
山西,77,93.50748127393025,2773.12759416158,strict_marginal,6.732538651722979
广西,12,13.952973968325402,412.1801177465685,strict_marginal,1.004614125719429
新疆,348,992.0952361887427,28977.218357841684,strict_marginal,71.43085700558947
河北,50,61.87245495165645,1880.5916929399891,strict_marginal,4.454816756519264
海南,2,2.4102313912508224,80.52064004480019,strict_marginal,0.1735366601700592
湖南,27,27.463759570390508,814.1836452171765,strict_marginal,1.9773906890681165
甘肃,67,108.42623577604932,3115.7446423738256,strict_marginal,7.80668897587555
西藏,3,3.0163319828414332,98.27138399109633,strict_marginal,0.2171759027645832
辽宁,5,5.358393284206928,167.65781920119912,strict_marginal,0.38580431646289887
陕西,4,4.176780697667407,115.18823653687069,strict_marginal,0.3007282102320533
青海,181,597.7187200260363,18064.364783938036,strict_marginal,43.03574784187461
黑龙江,53,72.85810450796703,2242.5290096862273,strict_marginal,5.245783524573626
