operating_years,project_end_year,low_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,conventional_6p5_record_count,conventional_6p5_capacity_gw,conventional_6p5_capex_100m_cny,conventional_6p5_h2_mt_per_year,strict_record_count,strict_capacity_gw,strict_capex_100m_cny,strict_h2_mt_per_year,strict_retain_low_P22,strict_reach_6p5_P22,all_low_reach_6p5_P22,strict_retain_low_P18,strict_reach_6p5_P18,all_low_reach_6p5_P18,forward_P18_record_count,forward_P18_capacity_gw,forward_P18_capex_100m_cny,forward_P18_h2_mt_per_year,forward_strict_count_P18
15,2040,736,2.6009532657229895,187.2686351320552,0.11937901096776452,519,1.7101829011135246,123.13316888017376,0.0816464386670235,217,0.27273702048165555,19.637065474679204,0.01156351935554051,34,0,269,0,0,97,317,0.8182022764467844,58.91056390416847,0.0412260293561874,0
20,2045,1125,5.043187402471464,363.1094929779454,0.2107168454831776,856,3.1257686841687553,225.0553452601504,0.13935789562308765,269,0.42600191772358287,30.67213807609797,0.015854518980281174,94,0,303,0,0,174,487,1.617962980816933,116.49333461881918,0.07693676260021207,0
25,2050,1361,6.822321448723486,491.20714430809096,0.2682097461448416,1026,4.057626833812907,292.1491320345293,0.1745847982872969,335,0.6105659630677623,43.960749340878884,0.020428618042196933,84,0,348,0,0,235,604,2.0428200144201756,147.08304103825265,0.0964124825930078,0
30,2055,1677,8.28324552639813,596.3936779006652,0.3131378482817589,1066,4.588583635191546,330.3780217337913,0.19469280401175637,611,1.5771579801565547,113.55537457127194,0.048938305889262075,45,0,456,0,0,266,711,2.508245140306853,180.59365010209342,0.1175820876716881,0
35,2060,1889,9.62351524830129,692.893097877693,0.3520031783745592,1148,5.171395267668102,372.3404592721034,0.2153579767249241,741,1.996362631393401,143.7381094603249,0.05942821624515723,79,0,470,0,0,270,774,2.788731881141898,200.78869544221664,0.13023075067565326,0
