ObjectId,hurdle,selected_index,passes
1,0.01447315,13,False
10,0.01447315,7,False
1000,0.01447315,11,False
10001,0.01447315,0,False
10005,0.01447315,0,False
1001,0.01447315,15,False
10013,0.01447315,0,False
10015,0.01447315,0,False
1002,0.01447315,5,False
10020,0.01447315,15,False
10021,0.01447315,15,False
10022,0.01447315,0,False
10023,0.01447315,0,False
10025,0.01447315,0,False
10027,0.01447315,0,False
1003,0.01447315,5,False
10030,0.01447315,8,True
10031,0.01447315,9,True
10033,0.01447315,11,False
10034,0.01447315,0,False
10036,0.01447315,0,False
10040,0.01447315,0,False
10041,0.01447315,0,False
10045,0.01447315,15,False
10048,0.01447315,0,False
10049,0.01447315,14,False
1005,0.01447315,4,False
10050,0.01447315,0,False
10051,0.01447315,0,False
10052,0.01447315,12,False
10053,0.01447315,15,False
10054,0.01447315,0,False
1006,0.01447315,11,False
10062,0.01447315,0,False
10065,0.01447315,0,False
10066,0.01447315,14,False
10068,0.01447315,0,False
10069,0.01447315,0,False
1007,0.01447315,11,False
10070,0.01447315,14,False
10071,0.01447315,0,False
10075,0.01447315,0,False
10076,0.01447315,12,False
10077,0.01447315,8,True
10078,0.01447315,14,False
10079,0.01447315,15,False
10080,0.01447315,15,False
10081,0.01447315,10,False
10082,0.01447315,12,False
10083,0.01447315,13,False
10084,0.01447315,13,False
10085,0.01447315,0,False
1010,0.01447315,8,False
10103,0.01447315,0,False
10105,0.01447315,0,False
10106,0.01447315,14,False
1011,0.01447315,11,False
10110,0.01447315,0,False
10111,0.01447315,0,False
10112,0.01447315,0,False
10113,0.01447315,0,False
10119,0.01447315,0,False
10120,0.01447315,0,False
10125,0.01447315,0,False
10128,0.01447315,0,False
10129,0.01447315,0,False
10132,0.01447315,0,False
10133,0.01447315,0,False
10135,0.01447315,0,False
10137,0.01447315,0,False
1014,0.01447315,6,False
10140,0.01447315,0,False
10142,0.01447315,0,False
10143,0.01447315,0,False
10144,0.01447315,0,False
10145,0.01447315,11,False
10148,0.01447315,0,False
10152,0.01447315,0,False
10153,0.01447315,0,False
10159,0.01447315,15,False
1016,0.01447315,7,False
10160,0.01447315,11,False
10163,0.01447315,0,False
10164,0.01447315,0,False
10165,0.01447315,13,False
10166,0.01447315,15,False
10167,0.01447315,0,False
1017,0.01447315,7,False
10171,0.01447315,13,False
10173,0.01447315,8,False
10174,0.01447315,0,False
10175,0.01447315,8,False
10176,0.01447315,0,False
10180,0.01447315,15,False
10186,0.01447315,0,False
10188,0.01447315,0,False
10189,0.01447315,0,False
10190,0.01447315,0,False
102,0.01447315,4,False
1020,0.01447315,5,False
10203,0.01447315,0,False
10207,0.01447315,14,False
10209,0.01447315,0,False
1021,0.01447315,7,False
10210,0.01447315,0,False
10211,0.01447315,9,False
10213,0.01447315,0,False
10216,0.01447315,0,False
1022,0.01447315,6,False
10221,0.01447315,0,False
10226,0.01447315,0,False
10227,0.01447315,9,True
10228,0.01447315,0,False
10229,0.01447315,0,False
1023,0.01447315,9,False
10233,0.01447315,0,False
10238,0.01447315,13,False
1024,0.01447315,5,False
10241,0.01447315,14,False
10242,0.01447315,15,False
10245,0.01447315,13,False
10247,0.01447315,0,False
1025,0.01447315,6,False
10252,0.01447315,11,False
10253,0.01447315,0,False
10256,0.01447315,0,False
10259,0.01447315,15,False
10264,0.01447315,15,False
10266,0.01447315,14,False
10269,0.01447315,9,False
1027,0.01447315,8,False
10271,0.01447315,11,False
10276,0.01447315,0,False
10277,0.01447315,8,False
1028,0.01447315,6,False
10281,0.01447315,0,False
10285,0.01447315,0,False
10286,0.01447315,0,False
1029,0.01447315,5,False
10295,0.01447315,0,False
10297,0.01447315,0,False
10299,0.01447315,0,False
103,0.01447315,5,False
10300,0.01447315,15,False
10301,0.01447315,0,False
10302,0.01447315,0,False
10307,0.01447315,0,False
10310,0.01447315,0,False
10311,0.01447315,0,False
10312,0.01447315,0,False
10313,0.01447315,0,False
10314,0.01447315,0,False
10316,0.01447315,15,False
10317,0.01447315,12,False
10318,0.01447315,12,False
10319,0.01447315,12,False
10321,0.01447315,12,False
10322,0.01447315,12,False
10323,0.01447315,12,False
10324,0.01447315,0,False
10325,0.01447315,0,False
10326,0.01447315,12,False
10327,0.01447315,12,False
10329,0.01447315,12,False
10330,0.01447315,12,False
10331,0.01447315,12,False
10332,0.01447315,12,False
10333,0.01447315,12,False
10341,0.01447315,15,False
10342,0.01447315,0,False
10343,0.01447315,0,False
10345,0.01447315,0,False
10346,0.01447315,0,False
10347,0.01447315,15,False
10351,0.01447315,0,False
10352,0.01447315,15,False
10353,0.01447315,0,False
10354,0.01447315,0,False
10357,0.01447315,0,False
10358,0.01447315,0,False
10359,0.01447315,0,False
10361,0.01447315,0,False
10362,0.01447315,14,False
10364,0.01447315,15,False
10365,0.01447315,0,False
10366,0.01447315,0,False
10367,0.01447315,0,False
10369,0.01447315,0,False
1037,0.01447315,8,False
10374,0.01447315,0,False
10377,0.01447315,0,False
1038,0.01447315,5,False
10380,0.01447315,12,False
10382,0.01447315,11,False
10384,0.01447315,11,False
10385,0.01447315,0,False
10386,0.01447315,15,False
10388,0.01447315,0,False
1039,0.01447315,6,False
10390,0.01447315,0,False
10391,0.01447315,12,False
10394,0.01447315,0,False
10398,0.01447315,0,False
10399,0.01447315,15,False
104,0.01447315,5,False
10403,0.01447315,0,False
10404,0.01447315,0,False
10408,0.01447315,15,False
1041,0.01447315,11,False
10414,0.01447315,0,False
10417,0.01447315,0,False
10419,0.01447315,0,False
1042,0.01447315,11,False
10420,0.01447315,0,False
10427,0.01447315,0,False
1043,0.01447315,6,False
10436,0.01447315,0,False
10437,0.01447315,0,False
10441,0.01447315,0,False
10444,0.01447315,12,False
10446,0.01447315,0,False
10448,0.01447315,0,False
1045,0.01447315,6,False
10451,0.01447315,0,False
10452,0.01447315,0,False
10454,0.01447315,0,False
10459,0.01447315,0,False
1046,0.01447315,8,False
10466,0.01447315,0,False
10470,0.01447315,0,False
10472,0.01447315,0,False
10476,0.01447315,0,False
1048,0.01447315,7,False
105,0.01447315,7,False
1050,0.01447315,6,False
10501,0.01447315,0,False
10506,0.01447315,0,False
10509,0.01447315,0,False
10514,0.01447315,0,False
1053,0.01447315,4,False
10533,0.01447315,0,False
10539,0.01447315,0,False
1054,0.01447315,9,False
10546,0.01447315,0,False
10547,0.01447315,0,False
10553,0.01447315,0,False
10559,0.01447315,0,False
1056,0.01447315,5,False
10562,0.01447315,14,False
10566,0.01447315,15,False
10575,0.01447315,0,False
10578,0.01447315,0,False
1058,0.01447315,8,False
10580,0.01447315,0,False
10581,0.01447315,12,False
10582,0.01447315,0,False
10587,0.01447315,0,False
10588,0.01447315,0,False
10589,0.01447315,0,False
1059,0.01447315,7,False
10593,0.01447315,12,False
10597,0.01447315,0,False
10599,0.01447315,0,False
106,0.01447315,5,False
1060,0.01447315,11,False
10602,0.01447315,0,False
10604,0.01447315,0,False
10606,0.01447315,12,False
10607,0.01447315,0,False
1061,0.01447315,5,False
10616,0.01447315,0,False
1062,0.01447315,7,False
10623,0.01447315,0,False
10625,0.01447315,0,False
10626,0.01447315,0,False
1063,0.01447315,7,False
10633,0.01447315,0,False
1064,0.01447315,7,False
10641,0.01447315,0,False
10643,0.01447315,0,False
10648,0.01447315,0,False
10649,0.01447315,0,False
1065,0.01447315,11,False
10650,0.01447315,0,False
10651,0.01447315,14,False
10655,0.01447315,0,False
10658,0.01447315,15,False
1066,0.01447315,4,False
10664,0.01447315,15,False
10665,0.01447315,15,False
10666,0.01447315,0,False
10667,0.01447315,0,False
10668,0.01447315,0,False
10671,0.01447315,0,False
10676,0.01447315,0,False
10679,0.01447315,9,True
10683,0.01447315,10,False
10685,0.01447315,0,False
10686,0.01447315,0,False
10687,0.01447315,12,False
10688,0.01447315,15,False
10691,0.01447315,0,False
10693,0.01447315,0,False
10694,0.01447315,0,False
10695,0.01447315,0,False
10697,0.01447315,0,False
107,0.01447315,6,False
10702,0.01447315,14,False
10703,0.01447315,0,False
10704,0.01447315,0,False
10706,0.01447315,9,False
10708,0.01447315,0,False
10709,0.01447315,0,False
10710,0.01447315,13,False
10711,0.01447315,0,False
10714,0.01447315,9,False
10718,0.01447315,0,False
1072,0.01447315,5,False
10720,0.01447315,0,False
10722,0.01447315,0,False
10725,0.01447315,0,False
10726,0.01447315,0,False
10728,0.01447315,0,False
10729,0.01447315,0,False
10732,0.01447315,0,False
10733,0.01447315,0,False
10734,0.01447315,12,False
1074,0.01447315,8,False
10740,0.01447315,0,False
1075,0.01447315,5,False
10755,0.01447315,0,False
10757,0.01447315,0,False
10761,0.01447315,14,False
10762,0.01447315,0,False
10767,0.01447315,0,False
10768,0.01447315,0,False
10772,0.01447315,12,False
10778,0.01447315,0,False
10779,0.01447315,0,False
1078,0.01447315,8,False
10781,0.01447315,0,False
10782,0.01447315,0,False
10783,0.01447315,0,False
10796,0.01447315,0,False
10799,0.01447315,12,False
108,0.01447315,6,False
10802,0.01447315,0,False
10805,0.01447315,0,False
10806,0.01447315,15,False
10807,0.01447315,0,False
10808,0.01447315,0,False
10811,0.01447315,0,False
10813,0.01447315,0,False
10818,0.01447315,0,False
1082,0.01447315,8,False
10821,0.01447315,11,False
10826,0.01447315,0,False
10829,0.01447315,0,False
10835,0.01447315,13,False
10841,0.01447315,0,False
10844,0.01447315,0,False
10846,0.01447315,13,False
10849,0.01447315,0,False
10852,0.01447315,12,False
10854,0.01447315,9,True
10859,0.01447315,13,False
1086,0.01447315,9,False
10862,0.01447315,12,False
10866,0.01447315,0,False
10867,0.01447315,0,False
10868,0.01447315,0,False
10871,0.01447315,0,False
10873,0.01447315,0,False
10880,0.01447315,0,False
10882,0.01447315,11,False
10885,0.01447315,0,False
10892,0.01447315,12,False
10894,0.01447315,0,False
10895,0.01447315,12,False
10896,0.01447315,14,False
10897,0.01447315,0,False
10898,0.01447315,0,False
109,0.01447315,7,False
10900,0.01447315,12,False
10907,0.01447315,0,False
10911,0.01447315,14,False
10914,0.01447315,0,False
10916,0.01447315,14,False
10917,0.01447315,14,False
10919,0.01447315,0,False
10921,0.01447315,0,False
10923,0.01447315,0,False
10924,0.01447315,0,False
10925,0.01447315,14,False
10930,0.01447315,0,False
10931,0.01447315,0,False
10934,0.01447315,0,False
10939,0.01447315,0,False
10940,0.01447315,0,False
10941,0.01447315,0,False
10944,0.01447315,0,False
10945,0.01447315,0,False
1095,0.01447315,8,False
10956,0.01447315,9,True
1096,0.01447315,7,False
10966,0.01447315,0,False
1097,0.01447315,7,False
10974,0.01447315,0,False
10975,0.01447315,0,False
10980,0.01447315,0,False
10987,0.01447315,0,False
1099,0.01447315,9,False
10990,0.01447315,0,False
10992,0.01447315,0,False
10994,0.01447315,0,False
10995,0.01447315,0,False
110,0.01447315,5,False
1100,0.01447315,4,False
11000,0.01447315,14,False
11001,0.01447315,15,False
11003,0.01447315,0,False
11008,0.01447315,9,True
11009,0.01447315,0,False
1101,0.01447315,6,False
11011,0.01447315,0,False
11013,0.01447315,0,False
11014,0.01447315,0,False
11016,0.01447315,10,False
11019,0.01447315,11,False
11021,0.01447315,0,False
11022,0.01447315,10,False
11024,0.01447315,0,False
11027,0.01447315,15,False
11028,0.01447315,9,False
11029,0.01447315,0,False
11034,0.01447315,0,False
11038,0.01447315,8,True
11039,0.01447315,0,False
1104,0.01447315,14,False
11041,0.01447315,10,True
11042,0.01447315,0,False
11043,0.01447315,0,False
11044,0.01447315,13,False
11045,0.01447315,8,True
11048,0.01447315,0,False
11051,0.01447315,8,True
11052,0.01447315,0,False
11055,0.01447315,0,False
11056,0.01447315,0,False
11061,0.01447315,0,False
11062,0.01447315,0,False
11064,0.01447315,0,False
11077,0.01447315,0,False
11081,0.01447315,12,False
11086,0.01447315,0,False
11088,0.01447315,14,False
11093,0.01447315,12,False
11094,0.01447315,0,False
11098,0.01447315,15,False
111,0.01447315,5,False
1110,0.01447315,7,False
11101,0.01447315,12,False
11112,0.01447315,0,False
11113,0.01447315,0,False
11116,0.01447315,0,False
11131,0.01447315,0,False
11132,0.01447315,14,False
11133,0.01447315,0,False
11137,0.01447315,0,False
11145,0.01447315,12,False
1115,0.01447315,9,False
11154,0.01447315,15,False
1116,0.01447315,6,False
11161,0.01447315,0,False
11163,0.01447315,15,False
11169,0.01447315,14,False
11171,0.01447315,0,False
11172,0.01447315,0,False
11174,0.01447315,0,False
11175,0.01447315,0,False
11178,0.01447315,10,False
11181,0.01447315,0,False
