ObjectId,merge_province_cn,power_type_cn,instrument,required_support,public_cost_pv_100m_cny,annual_h2_t,right_censored
10956,西藏,光伏,15y_price_premium,4.510518461465836,0.01722001838875248,35.77591109901294,False
11041,西藏,光伏,15y_price_premium,5.823240950703621,0.02130070520958453,34.163021554844754,False
11990,西藏,光伏,15y_price_premium,5.608283579349518,0.02072404059274854,34.55004286582674,False
1798,青海,光伏,15y_price_premium,7.6607391983270645,0.08259933773950569,99.70342745717228,False
1800,青海,光伏,15y_price_premium,7.660739421844482,0.3591275644580161,433.493161156016,False
4006,青海,光伏,15y_price_premium,8.724581971764565,0.07993686005011208,84.77793977802926,False
4040,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4117,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4126,青海,光伏,15y_price_premium,9.052515774965286,0.029936875038865794,30.603627491966584,False
4127,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4128,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4129,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4130,青海,光伏,15y_price_premium,10.148887261748314,0.03334347844420915,30.408992578147995,False
4132,青海,光伏,15y_price_premium,10.148887261748314,0.03334347844420915,30.408992578147995,False
4133,青海,光伏,15y_price_premium,10.148887261748314,0.03334347844420915,30.408992578147995,False
4134,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4135,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4136,青海,光伏,15y_price_premium,9.052515774965286,0.029936875038865794,30.603627491966584,False
4137,青海,光伏,15y_price_premium,8.50390411913395,0.03024656810186503,32.90938100393676,False
4138,青海,光伏,15y_price_premium,8.504206538200378,0.048681518017094194,52.960906796747885,False
4139,青海,光伏,15y_price_premium,10.08972018957138,0.03249676844034179,29.811226335465715,False
4140,青海,光伏,15y_price_premium,8.894702196121216,0.08175632197667754,85.0663810897123,False
4141,青海,光伏,15y_price_premium,10.375774428248405,0.03311548933600776,29.545372614480815,False
4143,青海,光伏,15y_price_premium,8.894702196121216,0.04087816092128968,42.53319047509246,False
4144,青海,光伏,15y_price_premium,10.673936381936073,0.03394360266472002,29.441705353922394,False
4145,青海,光伏,15y_price_premium,10.673936381936073,0.03394360266472002,29.441705353922394,False
4146,青海,光伏,15y_price_premium,9.075309187173843,0.03020719707862775,30.802412453652884,False
4147,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4148,青海,光伏,15y_price_premium,10.443851798772812,0.033806005501324746,29.96611562085609,False
4149,青海,光伏,15y_price_premium,8.503903895616531,0.03780820950764193,41.13672666191771,False
4151,青海,光伏,15y_price_premium,10.381002053618431,0.03371653490909421,30.065513015131078,False
4153,青海,光伏,15y_price_premium,7.660739421844482,0.07182551248915836,86.69863174542289,False
4154,青海,光伏,15y_price_premium,10.123203992843628,0.03300031884445438,30.162777422323753,False
4155,青海,光伏,15y_price_premium,7.6607391983270645,0.1436510208650907,173.3972635850945,False
4156,青海,光伏,15y_price_premium,7.6607391983270645,0.10773826631627455,130.0479484944896,False
4157,青海,光伏,15y_price_premium,7.6607391983270645,0.1436510208650907,173.3972635850945,False
4159,青海,光伏,15y_price_premium,7.660739421844482,0.38067521929191994,459.50275199191964,False
4160,青海,光伏,15y_price_premium,8.001651987433434,0.039925869614224826,46.15138216621063,False
4161,青海,光伏,15y_price_premium,8.335571587085724,0.028672008697442693,31.815058110999363,False
4163,青海,光伏,15y_price_premium,8.355766385793686,0.02815596053450653,31.168252560292377,False
4165,青海,光伏,15y_price_premium,7.914625704288483,0.04034827007181111,47.14348955161445,False
4167,青海,光伏,15y_price_premium,8.335571587085724,0.028672008697442693,31.815058110999363,False
4176,青海,光伏,15y_price_premium,10.30291199684143,0.03332217202512518,29.928253569184005,False
