ObjectId,merge_province_cn,power_type_cn,viable_at_zero_hurdle,critical_nominal_equity_return,critical_nominal_equity_return_pct,right_censored_at_15pct
10362,辽宁,光伏,False,,,False
10364,吉林,光伏,False,,,False
10365,四川,光伏,False,,,False
10366,江苏,光伏,False,,,False
10367,江苏,光伏,False,,,False
10369,江苏,光伏,False,,,False
1037,广西,光伏,False,,,False
10374,山东,光伏,False,,,False
10377,河北,光伏,False,,,False
1038,广西,光伏,False,,,False
10380,甘肃,光伏,False,,,False
10382,甘肃,光伏,False,,,False
10384,甘肃,光伏,False,,,False
10385,河北,光伏,False,,,False
10386,山东,光伏,False,,,False
10388,浙江,光伏,False,,,False
1039,广西,光伏,False,,,False
10390,河南,光伏,False,,,False
10391,云南,光伏,False,,,False
10394,浙江,光伏,False,,,False
10398,浙江,光伏,False,,,False
10399,山西,光伏,False,,,False
104,甘肃,光伏,True,0.004285705368965863,0.4285705368965863,False
10403,浙江,光伏,False,,,False
10404,山东,光伏,False,,,False
10408,河北,光伏,False,,,False
1041,广西,光伏,False,,,False
10414,安徽,光伏,False,,,False
10417,浙江,光伏,False,,,False
10419,河南,光伏,False,,,False
1042,广西,光伏,False,,,False
10420,四川,光伏,False,,,False
10427,河南,光伏,False,,,False
1043,广西,光伏,False,,,False
10436,福建,光伏,False,,,False
10437,山东,光伏,False,,,False
10441,河南,光伏,False,,,False
10444,山东,光伏,False,,,False
10446,山东,光伏,False,,,False
10448,山东,光伏,False,,,False
1045,广西,光伏,False,,,False
10451,山东,光伏,False,,,False
10452,河南,光伏,False,,,False
10454,山东,光伏,False,,,False
10459,河南,光伏,False,,,False
1046,广西,光伏,False,,,False
10466,河南,光伏,False,,,False
10470,陕西,光伏,False,,,False
10472,浙江,光伏,False,,,False
10476,山东,光伏,False,,,False
1048,广西,光伏,False,,,False
105,甘肃,光伏,False,,,False
1050,广西,光伏,False,,,False
10501,江苏,光伏,False,,,False
10506,浙江,光伏,False,,,False
10509,浙江,光伏,False,,,False
10514,江苏,光伏,False,,,False
1053,广西,光伏,False,,,False
10533,山东,光伏,False,,,False
10539,福建,光伏,False,,,False
1054,贵州,光伏,False,,,False
10546,福建,光伏,False,,,False
10547,黑龙江,光伏,False,,,False
10553,黑龙江,光伏,False,,,False
10559,辽宁,光伏,False,,,False
1056,广西,光伏,False,,,False
10562,山东,光伏,False,,,False
10566,山西,光伏,False,,,False
10575,甘肃,光伏,False,,,False
10578,山东,光伏,False,,,False
1058,广西,光伏,False,,,False
10580,江西,光伏,False,,,False
10581,宁夏,光伏,False,,,False
10582,浙江,光伏,False,,,False
10587,安徽,光伏,False,,,False
10588,河南,光伏,False,,,False
10589,河北,光伏,False,,,False
1059,广西,光伏,False,,,False
10593,湖南,光伏,False,,,False
10597,江苏,光伏,False,,,False
10599,江苏,光伏,False,,,False
106,甘肃,光伏,True,0.010378096438944344,1.0378096438944344,False
1060,广西,光伏,False,,,False
10602,浙江,光伏,False,,,False
10604,江苏,光伏,False,,,False
10606,河北,光伏,False,,,False
10607,山东,光伏,False,,,False
1061,广西,光伏,False,,,False
10616,江西,光伏,False,,,False
1062,江苏,光伏,False,,,False
10623,山东,光伏,False,,,False
10625,江西,光伏,False,,,False
10626,浙江,光伏,False,,,False
1063,广西,光伏,False,,,False
10633,江西,光伏,False,,,False
1064,广西,光伏,False,,,False
10641,江西,光伏,False,,,False
10643,江西,光伏,False,,,False
10648,江西,光伏,False,,,False
10649,江西,光伏,False,,,False
1065,广西,光伏,False,,,False
10650,山东,光伏,False,,,False
10651,山东,光伏,False,,,False
10655,江西,光伏,False,,,False
10658,山东,光伏,False,,,False
1066,广西,光伏,False,,,False
10664,山东,光伏,False,,,False
10665,河北,光伏,False,,,False
10666,山东,光伏,False,,,False
10667,河南,光伏,False,,,False
10668,江苏,光伏,False,,,False
10671,山西,光伏,False,,,False
