ObjectId,merge_province_cn,power_type_cn,method,low_return_entry,conventional_6p5,strict_marginal,selected_capacity_mw,selected_h2_t_per_year
10159,河北,光伏,daily_peak,False,False,False,1.2249395751953125,6.730564737259015
1016,广西,光伏,daily_peak,False,False,False,1.0081243191798916,14.029666430157155
10160,河北,光伏,daily_peak,False,False,False,1.0057364651517655,13.164578612220811
10163,安徽,光伏,daily_peak,False,False,False,0.002363100643941548,0.03229712630868797
10164,辽宁,光伏,daily_peak,False,False,False,0.0009827118080081181,0.019867334707686066
10165,河北,光伏,daily_peak,False,False,False,1.0012633375787579,11.340981615735327
10166,江西,光伏,daily_peak,False,False,False,1.2289130859375,2.4687427945941947
10167,浙江,光伏,daily_peak,False,False,False,0.0,0.0
1017,广西,光伏,daily_peak,False,False,False,1.0081243191798916,14.029666430157155
10171,吉林,光伏,daily_peak,False,False,False,1.0147803327751297,6.338802973543054
10173,陕西,光伏,daily_peak,False,False,False,1.0207660607031617,20.94433110292832
10174,山东,光伏,daily_peak,False,False,False,0.001191826168858769,0.02152372860031004
10175,甘肃,光伏,daily_peak,False,False,False,1.008529129384711,21.441445164597138
10176,山东,光伏,daily_peak,False,False,False,0.0018373525931709188,0.032893249355961454
10180,山东,光伏,daily_peak,False,False,False,1.0704974365234374,3.6902051193342573
10186,山东,光伏,daily_peak,False,False,False,0.00041246682758203936,0.007384199766273734
10188,山东,光伏,daily_peak,False,False,False,0.0007499401045419151,0.01342581626640306
10189,山东,光伏,daily_peak,False,False,False,0.00037293455593743216,0.006879605674302992
10190,山东,光伏,daily_peak,False,False,False,0.002249820418856624,0.04027745149512244
102,甘肃,光伏,daily_peak,False,False,False,1.0282506765520005,27.275886782809614
1020,广西,光伏,daily_peak,False,False,False,1.010727345803317,17.166044519393566
10203,山东,光伏,daily_peak,False,False,False,0.002186540247188851,0.04091130401690971
10207,甘肃,光伏,daily_peak,False,False,False,1.005863119859817,14.776593846781864
10209,河北,光伏,daily_peak,False,False,False,0.0022796556580176814,0.05380275859631513
1021,广西,光伏,daily_peak,False,False,False,1.020574970329276,15.123161951659952
10210,河南,光伏,daily_peak,False,False,False,0.0024732208593032374,0.03570109024832539
10211,陕西,光伏,daily_peak,False,False,False,1.007889676772058,18.853628109194684
10213,吉林,光伏,daily_peak,False,False,False,0.0009585733799697951,0.019030927286143043
10216,浙江,光伏,daily_peak,False,False,False,0.0,0.0
1022,广西,光伏,daily_peak,False,False,False,1.0082748360320033,15.911495800026929
10221,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10226,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10227,西藏,光伏,daily_peak,True,True,False,2.7793991320611378,102.35033224850332
10228,江苏,光伏,daily_peak,False,False,False,0.002198695501619782,0.022003762102288858
10229,湖南,光伏,daily_peak,False,False,False,0.0002305357164414589,0.003719539580206896
1023,广西,光伏,daily_peak,False,False,False,1.0005941981131425,10.857679442994808
10233,江苏,光伏,daily_peak,False,False,False,0.0006781997359033874,0.007046424733553725
10238,河北,光伏,daily_peak,False,False,False,1.0197757302643533,10.781128748304601
1024,广西,光伏,daily_peak,False,False,False,1.0416032723654913,17.480122307992488
10241,河北,光伏,daily_peak,False,False,False,1.0523067843927914,9.467737208035738
10242,河北,光伏,daily_peak,False,False,False,1.426685791015625,6.057433131789604
10245,吉林,光伏,daily_peak,False,False,False,1.0155734493291304,7.891590004184976
10247,重庆,光伏,daily_peak,False,False,False,0.0,0.0
1025,广西,光伏,daily_peak,False,False,False,1.0157418889860135,16.024892906647874
10252,新疆,光伏,daily_peak,False,False,False,1.0064327854169013,22.64080536606997
10253,甘肃,光伏,daily_peak,False,False,False,0.001005792451011801,0.029144277948328603
10256,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10259,甘肃,光伏,daily_peak,False,False,False,1.389382568359375,11.913574223364892
10264,河南,光伏,daily_peak,False,False,False,1.316490966796875,3.1551696678417787
10266,河北,光伏,daily_peak,False,False,False,1.008425592419935,9.946480426679361
10269,甘肃,光伏,daily_peak,False,False,False,1.0215981662429696,24.745668029056354
1027,广西,光伏,daily_peak,False,False,False,1.007347946661743,13.721331374509539
10271,甘肃,光伏,daily_peak,False,False,False,1.019338490551308,20.082115829912112
10276,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10277,甘肃,光伏,daily_peak,False,False,False,1.0131340888814988,25.617826690515027
1028,广西,光伏,daily_peak,False,False,False,1.0283654549443066,16.51475339255436
10281,山东,光伏,daily_peak,False,False,False,0.0005118776051773363,0.00923334156461277
10285,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10286,浙江,光伏,daily_peak,False,False,False,0.0,0.0
1029,广西,光伏,daily_peak,False,False,False,1.0281932276231065,17.147848369897524
10295,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10297,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10299,福建,光伏,daily_peak,False,False,False,0.0,0.0
103,甘肃,光伏,daily_peak,False,False,False,1.0333975235336523,26.326744767509027
10300,宁夏,光伏,daily_peak,False,False,False,1.457335205078125,7.3810745154930775
10301,江苏,光伏,daily_peak,False,False,False,0.001310895768968349,0.013334672408620607
10302,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10307,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10310,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10311,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10312,山东,光伏,daily_peak,False,False,False,0.0009948578137691936,0.01875114144742732
10313,河北,光伏,daily_peak,False,False,False,0.0007567905297703957,0.017733248497342022
10314,山东,光伏,daily_peak,False,False,False,0.0007958862346512738,0.015000913201394833
10316,宁夏,光伏,daily_peak,False,False,False,1.21444580078125,6.15089555281306
10317,宁夏,光伏,daily_peak,False,False,False,1.0045830491241523,14.982520823151908
10318,宁夏,光伏,daily_peak,False,False,False,1.0138659564222747,13.715969948975152
10319,宁夏,光伏,daily_peak,False,False,False,1.0092292048690885,12.773696853976753
10321,宁夏,光伏,daily_peak,False,False,False,1.010977354882086,11.975252434972422
10322,宁夏,光伏,daily_peak,False,False,False,1.028590637436194,14.607921005091496
10323,宁夏,光伏,daily_peak,False,False,False,1.0020656582368652,14.089372729555127
10324,宁夏,光伏,daily_peak,False,False,False,0.0014446241731166326,0.03273641983574444
10325,宁夏,光伏,daily_peak,False,False,False,0.0007072744924822548,0.015898482419697983
10326,宁夏,光伏,daily_peak,False,False,False,1.0045830491241523,14.982520823151908
10327,宁夏,光伏,daily_peak,False,False,False,1.0092292048690885,12.773696853976753
10329,宁夏,光伏,daily_peak,False,False,False,1.0045830491241523,14.982520823151908
10330,宁夏,光伏,daily_peak,False,False,False,1.0073644319990764,12.978895759880947
10331,宁夏,光伏,daily_peak,False,False,False,1.0199612086194234,13.781771094015761
10332,宁夏,光伏,daily_peak,False,False,False,1.0199612086194234,13.781771094015761
10333,宁夏,光伏,daily_peak,False,False,False,1.0138659564222747,13.715969948975152
10341,吉林,光伏,daily_peak,False,False,False,1.5200255126953126,2.4748633845565546
10342,湖北,光伏,daily_peak,False,False,False,0.000513440160342414,0.009624060169078814
10343,湖北,光伏,daily_peak,False,False,False,0.0006418001008616718,0.012030075204585482
10345,天津,光伏,daily_peak,False,False,False,0.0008098606740259777,0.014953777424698163
10346,山东,光伏,daily_peak,False,False,False,0.0008699891559614651,0.015666578369479545
10347,河北,光伏,daily_peak,False,False,False,1.0598704833984376,5.9138571958590935
10351,江苏,光伏,daily_peak,False,False,False,0.00024065066788093203,0.002379082271284025
10352,山东,光伏,daily_peak,False,False,False,1.05247900390625,3.5898508660582835
10353,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10354,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10357,江苏,光伏,daily_peak,False,False,False,0.0013074582541631823,0.012924436267178235
10358,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10359,辽宁,光伏,daily_peak,False,False,False,0.0020070703335547595,0.04030753351155635
10361,辽宁,光伏,daily_peak,False,False,False,0.002393156101212751,0.048049527469092516
10362,辽宁,光伏,daily_peak,False,False,False,1.0881101183442552,6.329126084980014
10364,吉林,光伏,daily_peak,False,False,False,1.315496826171875,3.0223323559962245
10365,四川,光伏,daily_peak,False,False,False,0.0008462967997457022,0.011056798115451702
10366,江苏,光伏,daily_peak,False,False,False,0.0011456276950841384,0.011133528116187714
10367,江苏,光伏,daily_peak,False,False,False,0.001083870594077263,0.01102884614846269
10369,江苏,光伏,daily_peak,False,False,False,0.0013548379340417869,0.013786057654731483
1037,广西,光伏,daily_peak,False,False,False,1.006640635621275,12.989867219405072
10374,山东,光伏,daily_peak,False,False,False,0.0020542247439033177,0.037897331482402555
10377,河北,光伏,daily_peak,False,False,False,0.001669788799876167,0.04015831540087033
1038,广西,光伏,daily_peak,False,False,False,1.030554869823805,17.86756658174015
10380,甘肃,光伏,daily_peak,False,False,False,1.0069775253525957,20.896048487277422
10382,甘肃,光伏,daily_peak,False,False,False,1.0186202763477221,19.198076158137518
10384,甘肃,光伏,daily_peak,False,False,False,1.0122854888981507,21.853640104934268
10385,河北,光伏,daily_peak,False,False,False,0.000890554069847981,0.02141776864709514
10386,山东,光伏,daily_peak,False,False,False,1.1016129150390626,3.677946102605118
10388,浙江,光伏,daily_peak,False,False,False,0.0,0.0
1039,广西,光伏,daily_peak,False,False,False,1.0232337490492873,16.38965957514454
10390,河南,光伏,daily_peak,False,False,False,0.00030702890107967636,0.004564980651668662
10391,云南,光伏,daily_peak,False,False,False,1.0123202810911025,12.329727184954775
10394,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10398,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10399,山西,光伏,daily_peak,False,False,False,1.31801806640625,4.827920869334132
104,甘肃,光伏,daily_peak,False,False,False,1.0177531471504409,26.756376592695794
10403,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10404,山东,光伏,daily_peak,False,False,False,0.0023148185678224065,0.042526713554970466
