ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,low_return_entry,conventional_6p5,strict_marginal,low_selected_capacity_mw,low_selected_h2_t_per_year,low_selected_npv_100m_cny,high_selected_capacity_mw,high_selected_h2_t_per_year
1,安徽,光伏,20.0,32.0001,117.0001,False,False,False,1.0462434458303942,5.036617989516177,-0.16881763482243028,1.0462434458303942,5.036617989516177
10,安徽,光伏,100.0,32.1447,116.785,False,False,False,1.0183497604210563,10.732019416340325,-0.12261725159699662,1.0183497604210563,10.732019416340325
1000,广东,光伏,80.0,22.6099,111.6157,False,False,False,1.0138810319202753,5.505328822107787,-0.1591338490917739,1.0138810319202753,5.505328822107787
10001,山东,光伏,5.7,37.6443,120.4709,False,False,False,0.0024299146628260614,0.04353039435708958,-0.0001687930102315841,0.0024299146628260614,0.04353039435708958
10005,山东,光伏,1.2,37.6443,120.4709,False,False,False,0.0005115609573456645,0.009164292894462021,-3.5535370224914485e-05,0.0005115609573456645,0.009164292894462021
1001,广东,光伏,40.0,23.386,114.733,False,False,False,1.1282569580078126,3.253248856034316,-0.1976742847381654,1.1282569580078126,3.253248856034316
10013,山东,光伏,1.0,37.6443,120.4709,False,False,False,0.0004263008049717546,0.007636910007842401,-2.9612814310888563e-05,0.0004263008049717546,0.007636910007842401
10015,辽宁,光伏,1.5,40.8738,120.624,False,False,False,0.0006923508674873607,0.012796478031002121,-4.560581987750772e-05,0.0006923508674873607,0.012796478031002121
1002,广西,光伏,150.0,22.4674,108.5769,False,False,False,1.0088002692751894,16.859157696993716,-0.07734471605797383,1.0088002692751894,16.859157696993716
10020,河北,光伏,6.0,37.3528,114.7739,False,False,False,1.2080496826171876,6.326947496324318,-0.19141268475131176,1.2080496826171876,6.326947496324318
10021,河北,光伏,5.9,37.3528,114.7739,False,False,False,1.18791552734375,6.221498124314742,-0.18822247630093444,1.18791552734375,6.221498124314742
10022,浙江,光伏,3.0,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
10023,浙江,光伏,2.2,27.7833,120.625,False,False,False,0.0,0.0,0.0,0.0,0.0
10025,浙江,光伏,1.8,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
10027,浙江,光伏,1.7,29.031,119.1674,False,False,False,0.0,0.0,0.0,0.0,0.0
1003,广西,光伏,150.0,22.4674,108.5769,False,False,False,1.0088002692751894,16.859157696993716,-0.07734471605797383,1.0088002692751894,16.859157696993716
10030,西藏,光伏,10.0,30.4749,91.0998,True,True,False,1.19827662674974,43.439577433667566,0.040094220380767306,1.0144891649677386,37.703090409613615
10031,西藏,光伏,10.0,28.9057,88.0203,True,True,False,1.9416578263835973,72.86001729111752,0.08010027878193823,1.243102256579194,49.82888897298875
10033,甘肃,光伏,10.0,39.0002,100.52,False,False,False,1.0189450246723393,20.508036586668176,-0.056637448941025695,1.0189450246723393,20.508036586668176
10034,湖南,光伏,2.6,27.6995,111.9891,False,False,False,0.0005567178305533386,0.0090384336052445,-4.442865205794239e-05,0.0005567178305533386,0.0090384336052445
10036,安徽,光伏,1.8,31.7383,116.5142,False,False,False,0.00039522183754300675,0.00542445669593104,-3.8588886618331965e-05,0.00039522183754300675,0.00542445669593104
10040,四川,光伏,5.6,31.45,100.7,False,False,False,0.00188908015470946,0.021825263794872263,-0.00021381391851952084,0.00188908015470946,0.021825263794872263
10041,安徽,光伏,3.9,31.2592,117.2828,False,False,False,0.0007997925718544771,0.011793318824770619,-7.227811571358962e-05,0.0007997925718544771,0.011793318824770619
10045,河南,光伏,12.0,33.6881,113.9131,False,False,False,1.13547021484375,3.0614914190004927,-0.20049342824256144,1.13547021484375,3.0614914190004927
10048,河南,光伏,2.0,33.6881,113.9131,False,False,False,0.000490723499245497,0.007014086651563361,-4.601327866044904e-05,0.000490723499245497,0.007014086651563361
10049,河南,光伏,15.0,34.374,111.495,False,False,False,1.0133314753616502,4.373645878321358,-0.16718002126459933,1.0133314753616502,4.373645878321358
1005,广西,光伏,290.0,23.9001,106.6061,False,False,False,1.0419113939933446,18.730185026053654,-0.07178437923395918,1.0419113939933446,18.730185026053654
10050,河南,光伏,5.5,34.3913,111.6451,False,False,False,0.0013294913271439744,0.019213094289979565,-0.00012316581699736842,0.0013294913271439744,0.019213094289979565
10051,河南,光伏,2.0,34.3913,111.6451,False,False,False,0.0004834514194898169,0.0069865823027068065,-4.478755696630217e-05,0.0004834514194898169,0.0069865823027068065
10052,宁夏,光伏,9.0,39.3414,106.7224,False,False,False,1.0000521444748018,13.69443682342972,-0.09807812709305615,1.0000521444748018,13.69443682342972
10053,山东,光伏,7.4,34.7116,117.5562,False,False,False,1.1326689453125,3.4854814805181933,-0.19692204060755866,1.1326689453125,3.4854814805181933
10054,湖北,光伏,5.9,30.9608,115.4683,False,False,False,0.0019330173270139064,0.036016432024728144,-0.00012532348340880796,0.0019330173270139064,0.036016432024728144
1006,广西,光伏,20.0,21.718,109.329,False,False,False,1.0098110371173465,10.852646551003819,-0.12012045780050297,1.0098110371173465,10.852646551003819
