source_id,local_file,title,provider,doi,url,retrieved,analytical_role,licence_note,file_size_bytes,sha256
Bi2026_transport,Bi_et_al_2026_transport_supplementary_data.xlsx,Hydrogen supply chains across Chinese provinces for production and transportation,Springer Nature / Communications Earth & Environment,10.1038/s43247-026-03869-2,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs43247-026-03869-2/MediaObjects/43247_2026_3869_MOESM2_ESM.xlsx,2026-08-25,province storage-and-transport netback and aggregate demand-overlap screen,Article states CC BY-NC-ND 4.0; derived numerical screen is cited and the source workbook is not redistributed in the submission package.,55046,7c16e793d7f3aaf22ee378be40bd9f6f7131cbb4dba1df986692647b68cbe7e1
Xie2026_water,Xie_et_al_2026_water_supplementary_data.xlsx,Addressing water resource constraints for electrolytic hydrogen demand in China,Springer Nature / Nature Sustainability,10.1038/s41893-026-01894-9,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41893-026-01894-9/MediaObjects/41893_2026_1894_MOESM3_ESM.xlsx,2026-08-25,province-weighted county water-constraint exposure screen,"Public source data are cited; county identity cannot be mapped to the project inventory, so only province-weighted exposure is reported.",10120091,21334b332d386fa7aecf3a8bc3753b289c5a0856aac38e5b9327153a037b4b2d
IEA2026_projects,IEA_hydrogen_projects_2026.json,Hydrogen Production and Infrastructure Projects Database,International Energy Agency,,https://api.iea.org/hydrogen/project?unknownYear=true,2026-08-25,external consistency of located China electrolysis project status,IEA data-product terms apply; status counts are not treated as causal validation of modeled FID.,689655,d216a0ef4d90a09e31c0a9f648c6e6a87ab9d25fc63631a03a2091ab44c7c109
