ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W7867,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.8075595379072641,-0.35804325806324055
W7868,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.016099698447565477,0.009573470186405286
W7869,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.2141059421112921,-0.07034471965245688
W7870,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.133029467674593,-0.08589725610324352
W7872,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.571880375840521,-0.18589195039012604
W7873,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.9994100238143012,-0.3880438256616856
W7875,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.37023925883279063,-0.13301042284910145
W7876,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1575693771704198,0.08758589708938243
W7877,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7878,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1484123876920721,-0.05762450756558204
W788,福建,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.34450016311840803,-0.13037129291602398
W7880,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7883,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.16478527836416187,0.08763174571623575
W7884,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7885,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.8157167227522323,-0.3616598667143834
W7886,天津,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.47157946070086165,-0.18591096393635895
W7887,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.05004938249298811,0.03440328314863567
W7888,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.20716221903146936,-0.09440251601879368
W7889,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.01677052491329151,0.009972368174859204
W7890,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.12120864831981731,0.06561472243931445
W7891,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.35643367476238264,-0.1323866007960906
W7893,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.09788600646105781,-0.043399183801257395
W7894,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.5012209339087794,0.26826290278698217
W7896,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W7897,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.2075931439390501,0.11519064029157182
W7898,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3856659025607962,-0.13855252890836864
W7899,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.0070820055073649345,0.004186384386474435
