ObjectId,merge_province_cn,power_type_cn,resource_branch,strict_marginal_vs_6p5,critical_terminal_price_colocated_6p5,right_censored_colocated_6p5_at_60,critical_terminal_price_independent_h2_8,right_censored_independent_h2_8_at_60
3785,内蒙古,光伏,full_output_upper_bound,False,19.87887606024742,False,21.450222730636597,False
3787,内蒙古,光伏,full_output_upper_bound,False,20.887454599142075,False,22.635691612958908,False
3788,内蒙古,光伏,full_output_upper_bound,False,21.499163657426834,False,23.364317938685417,False
3789,内蒙古,光伏,full_output_upper_bound,False,18.209998458623886,False,19.51740436255932,False
3790,内蒙古,光伏,full_output_upper_bound,False,18.178677409887314,False,19.449150636792183,False
3795,内蒙古,光伏,full_output_upper_bound,False,19.810043200850487,False,21.371263414621353,False
3797,内蒙古,光伏,full_output_upper_bound,False,21.195583194494247,False,22.99235589802265,False
3798,内蒙古,光伏,full_output_upper_bound,False,17.83384680747986,False,19.067954868078232,False
3799,内蒙古,光伏,full_output_upper_bound,False,21.75381325185299,False,23.670319989323616,False
3802,内蒙古,光伏,full_output_upper_bound,False,18.11904788017273,False,19.39571812748909,False
3803,内蒙古,光伏,full_output_upper_bound,False,21.64727210998535,False,23.54323647916317,False
3808,内蒙古,光伏,full_output_upper_bound,False,20.529043078422546,False,22.22055695950985,False
3810,内蒙古,光伏,full_output_upper_bound,False,17.55646012723446,False,18.73044289648533,False
3814,内蒙古,光伏,full_output_upper_bound,False,18.06894175708294,False,19.334687814116478,False
3819,内蒙古,光伏,full_output_upper_bound,False,17.78765134513378,False,19.0147402882576,False
3820,内蒙古,光伏,full_output_upper_bound,False,21.114035546779633,False,22.911546751856804,False
3822,内蒙古,光伏,full_output_upper_bound,False,18.067850545048714,False,19.32072915136814,False
3828,内蒙古,光伏,full_output_upper_bound,False,18.27374316751957,False,19.55299437046051,False
3829,内蒙古,光伏,full_output_upper_bound,False,17.78765134513378,False,19.0147402882576,False
3835,内蒙古,光伏,full_output_upper_bound,False,21.157168820500374,False,22.962712794542313,False
3836,内蒙古,光伏,full_output_upper_bound,False,17.78765134513378,False,19.0147402882576,False
3838,内蒙古,光伏,full_output_upper_bound,False,21.766498759388924,False,23.685246035456657,False
3840,内蒙古,光伏,full_output_upper_bound,False,17.715830951929092,False,18.917354866862297,False
3844,内蒙古,光伏,full_output_upper_bound,False,17.76046670973301,False,18.984050452709198,False
3845,内蒙古,光伏,full_output_upper_bound,False,20.37308357656002,False,22.03724004328251,False
3848,内蒙古,光伏,full_output_upper_bound,False,17.60261245071888,False,18.782709315419197,False
3853,内蒙古,光伏,full_output_upper_bound,False,19.317507594823837,False,20.785012990236282,False
3854,内蒙古,光伏,full_output_upper_bound,False,17.76046670973301,False,18.984050452709198,False
3856,内蒙古,光伏,full_output_upper_bound,False,21.185498535633087,False,22.995744422078133,False
3857,内蒙古,光伏,full_output_upper_bound,False,21.142289713025093,False,22.94443868100643,False
3859,内蒙古,光伏,full_output_upper_bound,False,17.571210488677025,False,18.74642327427864,False
3863,内蒙古,光伏,full_output_upper_bound,False,17.571210488677025,False,18.74642327427864,False
3864,内蒙古,光伏,full_output_upper_bound,False,19.75795067846775,False,21.30768947303295,False
3871,内蒙古,光伏,full_output_upper_bound,False,21.41569845378399,False,23.26348766684532,False
3872,内蒙古,光伏,full_output_upper_bound,False,17.695025503635406,False,18.904154151678085,False
3873,内蒙古,光伏,full_output_upper_bound,False,17.62923002243042,False,18.80751371383667,False
3874,内蒙古,光伏,full_output_upper_bound,False,21.114959344267845,False,22.90681891143322,False
