ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_price,initial_return_gap_100m_cny,learning_gain_flat_price_100m_cny,price_loss_no_learning_100m_cny,combined_change_100m_cny,final_npv_colocated_6p5_100m_cny,reaches_colocated_6p5
11041,西藏,光伏,curtailment_only,22.0,0.007939436555804464,0.0022756294266617063,-0.011934826283465825,-0.009904043374438395,-0.017843479930242857,False
11990,西藏,光伏,curtailment_only,22.0,0.0022794839634185443,0.0022378427015279467,-0.010730736010010452,-0.008745410947684358,-0.011024894911102904,False
175,甘肃,光伏,curtailment_only,22.0,0.04071112735464217,0.0,-0.016930171926635106,-0.016930171926635106,-0.05764129928127727,False
179,甘肃,光伏,curtailment_only,22.0,0.02286914801187946,0.0,-0.009321147848263923,-0.009321147848263923,-0.03219029586014338,False
1798,青海,光伏,curtailment_only,22.0,0.030048434753609417,0.003978789811222139,-0.03263880110998498,-0.028945537749073994,-0.05899397250268341,False
1800,青海,光伏,curtailment_only,22.0,0.13064537521518355,0.01729908612809183,-0.1419078306529385,-0.1258501638699586,-0.2564955390851421,False
181,甘肃,光伏,curtailment_only,22.0,0.03514799650101579,0.0,-0.016291412630109317,-0.016291412630109317,-0.05143940913112511,False
199,甘肃,光伏,curtailment_only,22.0,0.03926553767598107,0.0,-0.016512403270559417,-0.016512403270559417,-0.05577794094654049,False
4006,青海,光伏,curtailment_only,22.0,0.03723126067627066,0.003050243141418621,-0.02883555903623734,-0.025940354183932306,-0.06317161486020297,False
4126,青海,光伏,curtailment_only,22.0,0.021848492317304877,0.0012757812189717987,-0.012980473378115488,-0.011747287043819082,-0.033595779361123956,False
413,甘肃,光伏,curtailment_only,22.0,0.02474593659107326,0.0,-0.010085363777733124,-0.010085363777733124,-0.034831300368806384,False
4130,青海,光伏,curtailment_only,22.0,0.03633075857642281,0.0,-0.014786268140816218,-0.014786268140816218,-0.051117026717239035,False
4132,青海,光伏,curtailment_only,22.0,0.03633075857642281,0.0,-0.014786268140816218,-0.014786268140816218,-0.051117026717239035,False
4133,青海,光伏,curtailment_only,22.0,0.03633075857642281,0.0,-0.014786268140816218,-0.014786268140816218,-0.051117026717239035,False
4136,青海,光伏,curtailment_only,22.0,0.021848492317304877,0.0012757812189717987,-0.012980473378115488,-0.011747287043819082,-0.033595779361123956,False
4137,青海,光伏,curtailment_only,22.0,0.014425330963917765,0.0012209131762174028,-0.01156713418863349,-0.010408452604077533,-0.024833783567995298,False
4138,青海,光伏,curtailment_only,22.0,0.020758555386361163,0.0019012889471067885,-0.017420554141942244,-0.01562723362671901,-0.03638578901308017,False
4140,青海,光伏,curtailment_only,22.0,0.03896289978487709,0.002931416121368264,-0.028944313065418423,-0.026139331694049892,-0.06510223147892698,False
4143,青海,光伏,curtailment_only,22.0,0.019481450341520472,0.0014657080616001482,-0.014472156517164875,-0.013069665830467203,-0.03255111617198768,False
4146,青海,光伏,curtailment_only,22.0,0.021784533162136747,0.001302634655186527,-0.013075366560623641,-0.011819615087675223,-0.03360414824981197,False
4149,青海,光伏,curtailment_only,22.0,0.01803166221115627,0.0015261414738263399,-0.014458917850570662,-0.013010565867064956,-0.031042228078221226,False
4153,青海,光伏,curtailment_only,22.0,0.026129075371561606,0.0034598172132358188,-0.028381566016732338,-0.025170032671411314,-0.05129910804297292,False
4155,青海,光伏,curtailment_only,22.0,0.0522581484582056,0.0069196344142250996,-0.05676313199679089,-0.05034006531865417,-0.10259821377685976,False
4156,青海,光伏,curtailment_only,22.0,0.03919361081946528,0.005189725834089886,-0.042572349210117655,-0.037755049180138577,-0.07694865999960385,False
4157,青海,光伏,curtailment_only,22.0,0.0522581484582056,0.0069196344142250996,-0.05676313199679089,-0.05034006531865417,-0.10259821377685976,False
4159,青海,光伏,curtailment_only,22.0,0.13848409664305367,0.01833703136673432,-0.1504223011213481,-0.13340117426636555,-0.2718852709094192,False
4160,青海,光伏,curtailment_only,22.0,0.013827146571927552,0.0016729342632590537,-0.014213300612275532,-0.012651848691918858,-0.026478995263846408,False
4161,青海,光伏,curtailment_only,22.0,0.018517901247428612,0.0014204395470473613,-0.012812303883297316,-0.01147183485583707,-0.02998973610326568,False
4163,青海,光伏,curtailment_only,22.0,0.019329005043827407,0.001415096009449144,-0.012882095769076013,-0.011543694703382337,-0.030872699747209745,False
4165,青海,光伏,curtailment_only,22.0,0.012906804222917121,0.001727719602854813,-0.01408041472246695,-0.012478216269003197,-0.025385020491920318,False
4167,青海,光伏,curtailment_only,22.0,0.018517901247428612,0.0014204395470473613,-0.012812303883297316,-0.01147183485583707,-0.02998973610326568,False
4180,青海,光伏,curtailment_only,22.0,0.01918429001005357,0.0014210421575503727,-0.012844884571955383,-0.011502538742461975,-0.030686828752515546,False
4182,青海,光伏,curtailment_only,22.0,0.013827146571927552,0.0016729342632590537,-0.014213300612275532,-0.012651848691918858,-0.026478995263846408,False
4189,青海,光伏,curtailment_only,22.0,0.013827146571927552,0.0016729342632590537,-0.014213300612275532,-0.012651848691918858,-0.026478995263846408,False
4190,青海,光伏,curtailment_only,22.0,0.027654292963107587,0.0033458685243514833,-0.028426601211252105,-0.025303697372639874,-0.05295799033574746,False
4192,青海,光伏,curtailment_only,22.0,0.022128095826745277,0.0011105864724393608,-0.011728295561741488,-0.010647831239821017,-0.03277592706656629,False
4197,青海,光伏,curtailment_only,22.0,0.018194423611392486,0.0016547028706497978,-0.01451775141473262,-0.012961508202233683,-0.031155931813626168,False
4199,青海,光伏,curtailment_only,22.0,0.025769471363204084,0.0,-0.010534868841507556,-0.010534868841507556,-0.03630434020471164,False
4204,青海,光伏,curtailment_only,22.0,0.03566030892619115,0.0028549312815277094,-0.02797979622655037,-0.02525388238421442,-0.060914191310405576,False
4205,青海,光伏,curtailment_only,22.0,0.4098203711036897,0.0,-0.19410201457496606,-0.19410201457496606,-0.6039223856786557,False
4208,青海,光伏,curtailment_only,22.0,0.05575252493288536,0.006715489829909103,-0.05650169994626289,-0.05024187204507981,-0.10599439697796516,False
4225,青海,光伏,curtailment_only,22.0,0.4070559890141695,0.027914121554455905,-0.2782627012890758,-0.2514639457010021,-0.6585199347151716,False
4228,青海,光伏,curtailment_only,22.0,0.027654292963107587,0.0033458685243514833,-0.028426601211252105,-0.025303697372639874,-0.05295799033574746,False
4233,青海,光伏,curtailment_only,22.0,0.04070559831237149,0.0027914121381412073,-0.027826269980644937,-0.02514639443854766,-0.06585199275091916,False
4242,青海,光伏,curtailment_only,22.0,0.024843502213076542,0.0,-0.011406428651991296,-0.011406428651991296,-0.036249930865067836,False
4250,青海,光伏,curtailment_only,22.0,0.024843502213076542,0.0,-0.011406428651991296,-0.011406428651991296,-0.036249930865067836,False
4256,青海,光伏,curtailment_only,22.0,0.022427570714180844,0.001237137544755307,-0.012926370401046048,-0.011727972884184765,-0.034155543598365604,False
4263,青海,光伏,curtailment_only,22.0,0.02787626229016581,0.0033577449165331807,-0.028250849992243234,-0.025120936040273583,-0.05299719833043939,False
