ObjectId,merge_province_cn,power_type_cn,weather_year,required_15y_price_addition_cny_per_kg,public_cost_pv_100m_cny,annual_h2_t,right_censored
102,甘肃,光伏,2020,10.941950529813766,0.09613178374768251,80.9191090007814,False
103,甘肃,光伏,2020,10.855546295642853,0.04605564798053102,39.08136548951125,False
104,甘肃,光伏,2020,11.262304857373238,0.04878688684953147,39.89777705957794,False
105,甘肃,光伏,2020,13.015245348215103,0.054293687570298475,38.42849761559322,False
106,甘肃,光伏,2020,9.310864359140396,0.03562102500414237,35.42768539334859,False
107,甘肃,光伏,2020,10.192449688911438,0.042739289130281244,38.75048337952595,False
108,甘肃,光伏,2020,10.18223561346531,0.04269650087587272,38.75396609117411,False
109,甘肃,光伏,2020,12.99556016921997,0.05422917088408948,38.439917409286764,False
110,甘肃,光伏,2020,10.861319527029991,0.045885110732260176,38.915421689320524,False
111,甘肃,光伏,2020,10.796552002429962,0.04627065450721803,39.475102607567514,False
112,甘肃,光伏,2020,10.890910103917122,0.04646439765734606,39.30073059988175,False
113,甘肃,光伏,2020,12.032214626669884,0.040939647633923146,31.351799329852028,False
114,甘肃,光伏,2020,10.854707211256027,0.04644008363609813,39.40900675602653,False
115,甘肃,光伏,2020,10.831652730703354,0.046330845503896316,39.39998963791233,False
116,甘肃,光伏,2020,11.68784536421299,0.06635782521483671,52.29574575089792,False
117,甘肃,光伏,2020,11.740884929895401,0.06748419419669184,52.9482597113374,False
118,甘肃,光伏,2020,11.754504516720772,0.06757486608653046,52.95869712710562,False
119,甘肃,光伏,2020,11.650521755218506,0.132404453785961,104.67333394604837,False
121,甘肃,光伏,2020,11.598051935434341,0.05186837120621689,41.2096978674139,False
122,甘肃,光伏,2020,11.59899316728115,0.052760075813121324,41.91418356432041,False
12469,青海,光伏,2020,8.455554395914078,0.028473259436578722,31.493061197214985,False
125,甘肃,光伏,2020,12.007243484258652,0.05502810178351593,42.235426792744185,False
126,甘肃,光伏,2020,11.704392358660698,0.0554392149053574,43.64596421498792,False
12628,新疆,光伏,2020,11.498273089528084,0.03849321359072488,31.091702856881078,False
130,甘肃,光伏,2020,12.725431323051453,0.0784686632129932,56.8558136572494,False
131,甘肃,光伏,2020,11.093278750777245,0.05214595867269289,43.323179618990956,False
142,甘肃,光伏,2020,11.225801557302475,0.10213160446647532,83.80719594749472,False
146,甘肃,光伏,2020,11.23094156384468,0.05052573705603904,41.44430459166607,False
149,甘肃,光伏,2020,11.276263520121574,0.10178185625664624,83.15901723159052,False
151,甘肃,光伏,2020,11.15744948387146,0.09944105956733085,82.10266222693213,False
154,甘肃,光伏,2020,11.27592109143734,0.0503814233853197,41.164477068852456,False
155,甘肃,光伏,2020,11.926236972212791,0.05520826097431517,42.66680606702749,False
156,甘肃,光伏,2020,11.92623183131218,0.055208287668829834,42.66684508933634,False
157,甘肃,光伏,2020,11.872033551335335,0.037399616930316015,29.030851485231178,False
158,甘肃,光伏,2020,10.25073654949665,0.11869162328725112,106.88720248132508,False
159,甘肃,光伏,2020,11.25707097351551,0.09703757109906148,79.39394557709501,False
161,甘肃,光伏,2020,11.413510590791702,0.05163783193170838,41.67497343768745,False
163,甘肃,光伏,2020,11.395849138498306,0.05182264942434745,41.88895240916725,False
170,甘肃,光伏,2020,11.38045348227024,0.5057050776084239,409.3775543467734,False
171,甘肃,光伏,2020,10.471790805459023,0.09136301276150009,80.37109958583,False
172,甘肃,光伏,2020,11.317354515194893,0.29593123513121794,240.92393708557123,False
175,甘肃,光伏,2020,10.953364446759224,0.18778347785695676,157.92190972739746,False
176,甘肃,光伏,2020,10.389499962329865,0.04277454573381517,37.92427947466872,False
178,甘肃,光伏,2020,10.902334749698639,0.09640140228343717,81.43980231486037,False
179,甘肃,光伏,2020,11.213352978229523,0.21153564390128526,173.8009961119957,False
181,甘肃,光伏,2020,9.245825931429863,0.10193142760135028,102.09130632944598,False
183,甘肃,光伏,2020,12.709283083677292,0.053054260529782044,38.48596968603639,False
185,甘肃,光伏,2020,12.746904194355011,0.05279144392085572,38.183349000906986,False
187,甘肃,光伏,2020,9.70332495868206,0.17061916793314497,162.5366485886824,False
188,甘肃,光伏,2020,10.70697270333767,0.2758328039715034,237.29135949672548,False
189,甘肃,光伏,2020,11.717862635850906,0.41069035771014867,322.80848536964476,False
195,甘肃,光伏,2020,12.206696346402168,0.05023959340439695,37.934249257234534,False
199,甘肃,光伏,2020,11.42381563782692,0.37998604353869514,306.48023676336027,False
3107,内蒙古,光伏,2020,12.357328534126282,0.0562077899690198,41.93601070932369,False
3155,内蒙古,光伏,2020,13.078556656837463,0.0535874551897625,37.80335564854196,False
3164,内蒙古,光伏,2020,12.916449308395386,0.06428569006721743,45.91326407132737,False
3250,内蒙古,光伏,2020,13.053018450737,0.06945570492409571,49.09689613143162,False
3337,内蒙古,光伏,2020,13.01602117717266,0.04889637526668415,34.66214900113149,False
3340,内蒙古,光伏,2020,12.467427849769592,0.04118467444159265,30.47205694141377,False
3452,内蒙古,光伏,2020,12.48670108616352,0.2825896353600242,208.73319479317186,False
3463,内蒙古,光伏,2020,13.179463148117065,0.04711491999996984,32.98509989197392,False
3469,内蒙古,光伏,2020,13.053638711571693,0.05374435036193731,37.99219099031222,False
3523,陕西,光伏,2020,12.693140655755997,0.09039615718870264,65.70098620139805,False
3719,内蒙古,光伏,2020,12.965041548013687,0.06148091110375776,43.73945639934531,False
3785,内蒙古,光伏,2020,12.893882989883423,0.04428963760135716,31.68906420695068,False
3808,内蒙古,光伏,2020,12.586213052272797,0.06656656906894914,48.7829538565423,False
3835,内蒙古,光伏,2020,13.123754784464836,0.0396366343629979,27.871980540292107,False
3885,内蒙古,光伏,2020,12.576211988925934,0.3207982122087288,235.31471855592957,False
