ObjectId,power_type_cn,merge_province_cn,capacity_mw,latitude,longitude,weather_year,full_output_mwh,curtailed_mwh_2025util,curtailment_rate,curtailed_h2_t_55kwh
1,光伏,安徽,20.0,32.0001,117.0001,2020,22921.30810474712,343.81929375665635,0.0149999856982616,6.25125988648466
10,光伏,安徽,100.0,32.1447,116.785,2020,113854.17444100344,1707.8109874539375,0.0149999856908091,31.051108862798863
1000,光伏,广东,80.0,22.6099,111.6157,2020,102711.5032866934,410.8468459537029,0.0040000081082147,7.46994265370369
10001,光伏,山东,5.7,37.6443,120.4709,2020,7890.33020084207,244.60037943583728,0.0310000181500304,4.447279626106132
10005,光伏,山东,1.2,37.6443,120.4709,2020,1661.1221476978312,51.49481671785564,0.0310000181438932,0.9362693948701024
1001,光伏,广东,40.0,23.386,114.733,2020,52233.132957314105,208.93295521900055,0.0040000081057696,3.7987810039818286
10013,光伏,山东,1.0,37.6443,120.4709,2020,1384.2684456458512,42.91234684251249,0.0310000180799404,0.7802244880456816
10015,光伏,辽宁,1.5,40.8738,120.624,2020,2054.483721013901,71.9069841221571,0.0350000262288136,1.307399711311947
1002,光伏,广西,150.0,22.4674,108.5769,2020,174347.4855732936,6102.166561347962,0.0350000261906999,110.9484829335993
10020,光伏,河北,6.0,37.3528,114.7739,2020,8029.119276304601,457.6596500365138,0.0569999814783112,8.321084546118433
10021,光伏,河北,5.9,37.3528,114.7739,2020,7895.300660104993,450.0319912808836,0.0569999814642776,8.18239984147061
10022,光伏,浙江,3.0,29.031,119.1674,2020,3139.554745742487,0.0,0.0,0.0
10023,光伏,浙江,2.2,27.7833,120.625,2020,2314.0347518227136,0.0,0.0,0.0
10025,光伏,浙江,1.8,29.031,119.1674,2020,1883.7328501414916,0.0,0.0,0.0
10027,光伏,浙江,1.7,29.031,119.1674,2020,1779.0810217915964,0.0,0.0,0.0
1003,光伏,广西,150.0,22.4674,108.5769,2020,174347.4855732936,6102.166561347962,0.0350000261906999,110.9484829335993
10030,光伏,西藏,10.0,30.4749,91.0998,2020,17086.341671195896,5997.3060953677295,0.3510000098779466,109.041929006686
10031,光伏,西藏,10.0,28.9057,88.0203,2020,21374.51098339398,7502.453561558605,0.3510000096557679,136.4082465737928
10033,光伏,甘肃,10.0,39.0002,100.52,2020,15308.113093190026,1592.0433376626968,0.1039999723003701,28.946242502958125
10034,光伏,湖南,2.6,27.6995,111.9891,2020,2533.1068368540964,50.6620884404853,0.0199999809338493,0.9211288807360964
10036,光伏,安徽,1.8,31.7383,116.5142,2020,2021.9108946491167,30.328634453104808,0.0149999856736357,0.5514297173291783
10040,光伏,四川,5.6,31.45,100.7,2020,8692.924818665695,121.70093489861488,0.0139999985548356,2.212744270883907
10041,光伏,安徽,3.9,31.2592,117.2828,2020,4401.379147837622,66.02062419576198,0.0149999856813511,1.2003749853774903
10045,光伏,河南,12.0,33.6881,113.9131,2020,14716.571600459758,235.4647452185154,0.0159999727933345,4.281177185791189
10048,光伏,河南,2.0,33.6881,113.9131,2020,2452.7619255048708,39.24412408160046,0.0159999727953713,0.713529528756372
10049,光伏,河南,15.0,34.374,111.495,2020,18880.71116741627,302.0908650031388,0.0159999727936348,5.49256118187525
1005,光伏,广西,290.0,23.9001,106.6061,2020,322156.4998770187,11275.48593253088,0.0350000261886233,205.00883513692511
10050,光伏,河南,5.5,34.3913,111.6451,2020,6719.445690326499,107.51094851511716,0.015999972835541,1.954744518456676
10051,光伏,河南,2.0,34.3913,111.6451,2020,2443.4347929703767,39.09489024606347,0.0159999728081703,0.7108161862920631
10052,光伏,宁夏,9.0,39.3414,106.7224,2020,15174.681772318476,925.6554281675816,0.0609999894598221,16.830098693956028
10053,光伏,山东,7.4,34.7116,117.5562,2020,9194.704606629,285.0360093505383,0.0310000181131473,5.182472897282513
10054,光伏,湖北,5.9,30.9608,115.4683,2020,6749.004622822132,202.46994565874337,0.0299999713993497,3.68127173924988
1006,光伏,广西,20.0,21.718,109.329,2020,25265.810099028007,884.3040169138908,0.035000026258723,16.078254852979832
10062,光伏,河南,1.6,34.6197,112.4477,2020,1903.71988690903,30.45946645566821,0.0159999728243232,0.5538084810121493
10065,光伏,河南,3.0,33.7417,112.7269,2020,3607.770348390855,57.72422749947757,0.015999972815682,1.04953140908141
10066,光伏,河南,15.3,33.9748,110.9859,2020,19378.890492537237,310.0617211361528,0.015999972818648,5.637485838839141
10068,光伏,江苏,5.0,31.7991,121.4408,2020,5878.603739828436,35.271518698517234,0.0059999823528752,0.6413003399730407
10069,光伏,江西,1.2,29.6654,115.9475,2020,1313.708361675395,14.45076254407689,0.0109999775944545,0.2627411371650343
1007,光伏,广西,20.0,21.7204,109.1337,2020,25278.260006631543,884.7397620369494,0.0350000261807911,16.086177491580898
10070,光伏,河南,16.5,33.899,115.511,2020,20559.093567094864,328.9449375102222,0.0159999727826864,5.980817045640404
10071,光伏,河南,1.5,33.8908,115.3806,2020,1864.8833016323556,29.838082193568347,0.015999972849481,0.5425105853376063
10075,光伏,安徽,10.0,33.5305,117.8779,2020,12100.381304008251,181.5055463225245,0.0149999856832941,3.300100842227719
10076,光伏,宁夏,10.0,37.527,105.075,2020,14504.2852093293,884.7612466413007,0.0609999895804733,16.086568120750922
10077,光伏,西藏,12.0,29.769,91.889,2020,23223.610193707063,8151.48740963459,0.3510000099744789,148.20886199335618
10078,光伏,宁夏,8.0,37.835,106.879,2020,11856.5744046839,723.2509140574932,0.0609999894886819,13.15001661922715
10079,光伏,宁夏,6.0,37.8201,106.712,2020,9176.404185916605,559.7605591068715,0.0609999895128811,10.177464711034029
10080,光伏,宁夏,5.0,37.766,106.726,2020,7602.7424397337745,463.7672089540959,0.0609999894946244,8.432131071892652
10081,光伏,河北,15.0,41.265,114.621,2020,22245.818348782905,1268.0112298171225,0.0569999812970016,23.054749633038583
10082,光伏,甘肃,9.0,38.7536,103.1689,2020,13317.5940028049,1385.0294055452346,0.103999972161152,25.182352828095176
10083,光伏,山东,15.0,37.3538,120.4282,2020,19823.01576589753,614.5138484852463,0.0310000181477141,11.172979063368116
10084,光伏,黑龙江,10.0,44.677,130.509,2020,11123.061511204793,545.0302899282575,0.0490000248024541,9.909641635059227
10085,光伏,内蒙古,1.1,42.9594,120.8395,2020,1291.0201059467113,107.80021445642411,0.0835000275827414,1.9600038992077111
1010,光伏,广西,40.0,21.5195,109.3999,2020,52576.6770616723,1840.1850770717856,0.0350000262457297,33.45791049221429
10103,光伏,山东,5.0,36.7994,116.7439,2020,6636.286851752929,205.7250124760419,0.0310000180932054,3.7404547722916712
10105,光伏,浙江,3.0,29.108,119.6486,2020,3214.667170014363,0.0,0.0,0.0
10106,光伏,山东,13.0,36.0598,117.8054,2020,16553.872192522984,513.1703381224721,0.0310000181319667,9.330369784044947
1011,光伏,广西,20.0,21.659,109.433,2020,25493.89110436741,892.2868565008864,0.0350000261963944,16.223397390925207
10110,光伏,江西,1.9,28.6472,116.0348,2020,2094.054757187666,23.03455537344888,0.0109999775767012,0.4188100976990705
10111,光伏,浙江,1.1,29.8622,121.6204,2020,1193.3949015453325,0.0,0.0,0.0
10112,光伏,山东,2.0,36.215,117.6698,2020,2559.494810472407,79.34438553355635,0.0310000181320593,1.4426251915192063
10113,光伏,江苏,5.8,31.9828,120.8905,2020,6764.1219938469285,40.58461259738356,0.0059999823531127,0.7379020472251556
10119,光伏,辽宁,1.9,41.2374,122.9955,2020,2428.844279285676,85.00961337505281,0.0350000261853156,1.5456293340918692
10120,光伏,江苏,1.2,34.2665,117.181,2020,1494.3225383521012,8.965908888839186,0.0059999823724311,0.1630165252516215
10125,光伏,河南,4.2,33.7375,113.2981,2020,5023.578642040815,80.37712166413665,0.0159999728065337,1.4614022120752117
10128,光伏,河南,5.0,33.001,112.5293,2020,5684.710730065636,90.95521721887587,0.01599997282849,1.6537312221613798
10129,光伏,江西,1.0,29.6654,115.9475,2020,1094.756969209133,12.042302137408406,0.0109999775987796,0.2189509479528801
10132,光伏,山东,3.5,36.8618,120.5158,2020,4347.990852835192,134.7877953810105,0.0310000181562294,2.4506871887456456
10133,光伏,浙江,2.1,29.4798,121.8649,2020,2266.047388483283,0.0,0.0,0.0
10135,光伏,辽宁,1.5,41.2374,122.9955,2020,1917.508646893308,67.11285283507407,0.0350000261765746,1.2202336879104376
10137,光伏,江西,3.0,29.6654,115.9475,2020,3284.2709125722017,36.12690637221933,0.010999977570037,0.6568528431312605
1014,光伏,广西,100.0,23.173,108.9398,2020,109501.92721787433,3832.570327866554,0.0350000262574461,69.68309687030099
10140,光伏,山东,5.0,36.7843,119.9494,2020,6415.181379982534,198.8707388759479,0.0310000180971483,3.6158316159263255
10142,光伏,山东,5.9,36.9787,120.7069,2020,7355.7891962336735,228.02959802081435,0.0310000180725095,4.145992691287534
10143,光伏,浙江,1.2,29.4798,121.8649,2020,1294.884233564201,0.0,0.0,0.0
10144,光伏,河南,1.4,33.001,112.5293,2020,1591.7189983793166,25.46746063226461,0.0159999727704422,0.4630447387684475
10145,光伏,陕西,9.8,36.5794,110.0062,2020,14764.744688812192,1328.826634668231,0.0899999737669106,24.160484266695107
10148,光伏,山东,5.0,36.7843,119.9494,2020,6415.181379982534,198.8707388759479,0.0310000180971483,3.6158316159263255
10152,光伏,山东,2.1,36.2003,117.0809,2020,2757.9644797213905,85.49694864403456,0.0310000180468863,1.554489975346083
10153,光伏,江西,2.5,27.2846,116.9024,2020,2772.2366373346654,30.49454085355997,0.01099997757871,0.554446197337454
10159,光伏,河北,5.9,37.4658,114.3404,2020,8309.392958091834,473.6352437699735,0.0569999813655146,8.61154988672679
1016,光伏,广西,60.0,23.2628,109.1664,2020,67389.0543880543,2358.6186687369345,0.0350000261934975,42.883975795217
10160,光伏,河北,12.3,37.4658,114.3404,2020,17322.971793568715,987.409069391966,0.056999981363391,17.952892170763015
10163,光伏,安徽,10.0,33.5429,117.553,2020,12033.68793111159,180.5051467604637,0.0149999856896563,3.2819117592811584
10164,光伏,辽宁,2.5,41.2374,122.9955,2020,3195.8477402473504,111.85475462639332,0.0350000261957836,2.0337228113889694
10165,光伏,河北,10.0,38.5207,114.2042,2020,13481.268717027977,768.4320650259853,0.0569999813189237,13.971492091381547
10166,光伏,江西,16.0,27.3855,115.8368,2020,18138.14657884321,199.51920579796283,0.010999977584848,3.627621923599325
10167,光伏,浙江,9.1,28.85,121.1167,2020,9748.983021995438,0.0,0.0,0.0
1017,光伏,广西,60.0,23.2725,109.1798,2020,67389.0543867305,2358.6186703608632,0.0350000262182829,42.88397582474297
10171,光伏,吉林,12.0,43.729,126.1997,2020,13200.992748289033,448.83348219102623,0.0339999794522422,8.160608767109567
10173,光伏,陕西,19.5,38.2769,109.7155,2020,30937.16370475738,2784.3439193983672,0.0899999736876397,50.62443489815213
10174,光伏,山东,3.2,34.9137,118.6343,2020,3900.274409694525,120.90857740837336,0.0310000181289405,2.198337771061333
10175,光伏,甘肃,18.0,35.4466,103.9799,2020,25306.38818776344,2631.863674783081,0.1039999724676507,47.85206681423784
10176,光伏,山东,4.9,35.1032,118.3507,2020,5962.522566485425,184.8383075431585,0.0310000181101386,3.3606965007847007
10180,光伏,山东,7.0,37.1767,116.8508,2020,9444.787861258405,292.7885944703072,0.0310000180810092,5.323428990369222
10186,光伏,山东,1.1,35.1032,118.3507,2020,1338.5254815353014,41.49431419807672,0.0310000181322527,0.7544420763286678
10188,光伏,山东,2.0,35.1032,118.3507,2020,2433.682691804513,75.4442075471282,0.0310000181211743,1.37171286449324
10189,光伏,山东,1.0,35.5178,117.6097,2020,1246.9031636508676,38.65402067649365,0.0310000181275638,0.7028003759362481
10190,光伏,山东,6.0,35.1032,118.3507,2020,7301.048083398478,226.33262277543545,0.031000018105631,4.115138595917008
102,光伏,甘肃,100.0,38.096,102.838,2020,149233.0289730488,15520.23089233446,0.1039999723863903,282.18601622426297
