ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
10369,江苏,光伏,0,0,0
1037,广西,光伏,0,0,0
10374,山东,光伏,0,0,0
10377,河北,光伏,0,0,0
1038,广西,光伏,0,0,0
10380,甘肃,光伏,0,0,0
10382,甘肃,光伏,0,0,0
10384,甘肃,光伏,0,0,0
10385,河北,光伏,0,0,0
10386,山东,光伏,0,0,0
10388,浙江,光伏,0,0,0
1039,广西,光伏,0,0,0
10390,河南,光伏,0,0,0
10391,云南,光伏,0,0,0
10394,浙江,光伏,0,0,0
10398,浙江,光伏,0,0,0
10399,山西,光伏,0,0,0
104,甘肃,光伏,6,6,0
10403,浙江,光伏,0,0,0
10404,山东,光伏,0,0,0
10408,河北,光伏,0,0,0
1041,广西,光伏,0,0,0
10414,安徽,光伏,0,0,0
10417,浙江,光伏,0,0,0
10419,河南,光伏,0,0,0
1042,广西,光伏,0,0,0
10420,四川,光伏,0,0,0
10427,河南,光伏,0,0,0
1043,广西,光伏,0,0,0
10436,福建,光伏,0,0,0
10437,山东,光伏,0,0,0
10441,河南,光伏,0,0,0
10444,山东,光伏,0,0,0
10446,山东,光伏,0,0,0
10448,山东,光伏,0,0,0
1045,广西,光伏,0,0,0
10451,山东,光伏,0,0,0
10452,河南,光伏,0,0,0
10454,山东,光伏,0,0,0
10459,河南,光伏,0,0,0
1046,广西,光伏,0,0,0
10466,河南,光伏,0,0,0
10470,陕西,光伏,0,0,0
10472,浙江,光伏,0,0,0
10476,山东,光伏,0,0,0
1048,广西,光伏,0,0,0
105,甘肃,光伏,6,6,0
1050,广西,光伏,0,0,0
10501,江苏,光伏,0,0,0
10506,浙江,光伏,0,0,0
10509,浙江,光伏,0,0,0
10514,江苏,光伏,0,0,0
1053,广西,光伏,0,0,0
10533,山东,光伏,0,0,0
10539,福建,光伏,0,0,0
1054,贵州,光伏,0,0,0
10546,福建,光伏,0,0,0
10547,黑龙江,光伏,0,0,0
10553,黑龙江,光伏,0,0,0
10559,辽宁,光伏,0,0,0
1056,广西,光伏,0,0,0
10562,山东,光伏,0,0,0
10566,山西,光伏,0,0,0
10575,甘肃,光伏,0,0,0
10578,山东,光伏,0,0,0
1058,广西,光伏,0,0,0
10580,江西,光伏,0,0,0
10581,宁夏,光伏,0,0,0
10582,浙江,光伏,0,0,0
10587,安徽,光伏,0,0,0
10588,河南,光伏,0,0,0
10589,河北,光伏,0,0,0
1059,广西,光伏,0,0,0
10593,湖南,光伏,0,0,0
10597,江苏,光伏,0,0,0
10599,江苏,光伏,0,0,0
106,甘肃,光伏,6,6,0
1060,广西,光伏,0,0,0
10602,浙江,光伏,0,0,0
10604,江苏,光伏,0,0,0
10606,河北,光伏,0,0,0
10607,山东,光伏,0,0,0
1061,广西,光伏,0,0,0
10616,江西,光伏,0,0,0
1062,江苏,光伏,0,0,0
10623,山东,光伏,0,0,0
10625,江西,光伏,0,0,0
10626,浙江,光伏,0,0,0
1063,广西,光伏,0,0,0
10633,江西,光伏,0,0,0
1064,广西,光伏,0,0,0
10641,江西,光伏,0,0,0
10643,江西,光伏,0,0,0
10648,江西,光伏,0,0,0
10649,江西,光伏,0,0,0
1065,广西,光伏,0,0,0
10650,山东,光伏,0,0,0
10651,山东,光伏,0,0,0
10655,江西,光伏,0,0,0
10658,山东,光伏,0,0,0
1066,广西,光伏,0,0,0
10664,山东,光伏,0,0,0
10665,河北,光伏,0,0,0
10666,山东,光伏,0,0,0
10667,河南,光伏,0,0,0
10668,江苏,光伏,0,0,0
10671,山西,光伏,0,0,0
10676,北京,光伏,0,0,0
10679,西藏,光伏,6,0,6
10683,云南,光伏,0,0,0
10685,江苏,光伏,0,0,0
10686,福建,光伏,0,0,0
10687,青海,光伏,0,0,0
10688,河南,光伏,0,0,0
10691,江苏,光伏,0,0,0
10693,青海,光伏,0,0,0
10694,江苏,光伏,0,0,0
10695,福建,光伏,0,0,0
10697,湖北,光伏,0,0,0
107,甘肃,光伏,6,6,0
10702,河南,光伏,0,0,0
10703,浙江,光伏,0,0,0
10704,湖南,光伏,0,0,0
10706,青海,光伏,0,0,0
10708,山东,光伏,0,0,0
10709,浙江,光伏,0,0,0
10710,湖南,光伏,0,0,0
10711,甘肃,光伏,0,0,0
10714,青海,光伏,0,0,0
10718,湖南,光伏,0,0,0
1072,广西,光伏,0,0,0
10720,浙江,光伏,0,0,0
10722,青海,光伏,0,0,0
10725,浙江,光伏,0,0,0
10726,江西,光伏,0,0,0
10728,江苏,光伏,0,0,0
10729,新疆,光伏,0,0,0
10732,江西,光伏,0,0,0
10733,江苏,光伏,0,0,0
10734,内蒙古,光伏,0,0,0
1074,广西,光伏,0,0,0
10740,江苏,光伏,0,0,0
1075,广西,光伏,0,0,0
10755,福建,光伏,0,0,0
10757,山东,光伏,0,0,0
10761,陕西,光伏,0,0,0
10762,福建,光伏,0,0,0
10767,安徽,光伏,0,0,0
10768,河北,光伏,0,0,0
10772,天津,光伏,0,0,0
10778,新疆,光伏,0,0,0
10779,浙江,光伏,0,0,0
1078,广西,光伏,0,0,0
10781,江苏,光伏,0,0,0
10782,河南,光伏,0,0,0
10783,重庆,光伏,0,0,0
10796,江苏,光伏,0,0,0
10799,宁夏,光伏,0,0,0
108,甘肃,光伏,6,6,0
10802,浙江,光伏,0,0,0
10805,江苏,光伏,0,0,0
10806,山东,光伏,0,0,0
10807,河南,光伏,0,0,0
10808,河北,光伏,0,0,0
10811,安徽,光伏,0,0,0
10813,江苏,光伏,0,0,0
10818,安徽,光伏,0,0,0
1082,广西,光伏,0,0,0
10821,内蒙古,光伏,0,0,0
10826,江苏,光伏,0,0,0
10829,山东,光伏,0,0,0
10835,吉林,光伏,0,0,0
10841,江苏,光伏,0,0,0
10844,山东,光伏,0,0,0
10846,吉林,光伏,0,0,0
10849,山西,光伏,0,0,0
10852,内蒙古,光伏,0,0,0
10854,西藏,光伏,6,0,6
10859,吉林,光伏,0,0,0
1086,广西,光伏,0,0,0
10862,辽宁,光伏,0,0,0
10866,江苏,光伏,0,0,0
10867,河北,光伏,0,0,0
10868,辽宁,光伏,0,0,0
10871,河北,光伏,0,0,0
10873,安徽,光伏,0,0,0
10880,江苏,光伏,0,0,0
10882,河北,光伏,0,0,0
10885,河南,光伏,0,0,0
10892,海南,光伏,0,0,0
10894,浙江,光伏,0,0,0
10895,山东,光伏,0,0,0
10896,海南,光伏,0,0,0
10897,江苏,光伏,0,0,0
10898,辽宁,光伏,0,0,0
109,甘肃,光伏,6,6,0
10900,海南,光伏,0,0,0
10907,黑龙江,光伏,0,0,0
10911,河北,光伏,0,0,0
10914,江苏,光伏,0,0,0
10916,山东,光伏,0,0,0
10917,辽宁,光伏,0,0,0
10919,江西,光伏,0,0,0
10921,安徽,光伏,0,0,0
10923,山东,光伏,0,0,0
10924,山东,光伏,0,0,0
10925,辽宁,光伏,0,0,0
10930,江西,光伏,0,0,0
10931,江苏,光伏,0,0,0
10934,江苏,光伏,0,0,0
10939,江苏,光伏,0,0,0
10940,江西,光伏,0,0,0
10941,河南,光伏,0,0,0
10944,辽宁,光伏,0,0,0
10945,江苏,光伏,0,0,0
1095,广西,光伏,0,0,0
10956,西藏,光伏,6,0,6
1096,广西,光伏,0,0,0
10966,安徽,光伏,0,0,0
1097,广西,光伏,0,0,0
10974,辽宁,光伏,0,0,0
10975,安徽,光伏,0,0,0
10980,辽宁,光伏,0,0,0
10987,山东,光伏,0,0,0
1099,广西,光伏,0,0,0
10990,江苏,光伏,0,0,0
10992,辽宁,光伏,0,0,0
10994,辽宁,光伏,0,0,0
10995,江苏,光伏,0,0,0
110,甘肃,光伏,6,6,0
1100,广西,光伏,0,0,0
11000,辽宁,光伏,0,0,0
11001,宁夏,光伏,0,0,0
11003,江苏,光伏,0,0,0
11008,西藏,光伏,6,0,6
11009,辽宁,光伏,0,0,0
1101,广西,光伏,0,0,0
