weather_year,spearman_vs_2020,top_decile_jaccard_vs_2020,top_decile_overlap_count
2020,1.0,1.0,1022
2021,0.9966971863716623,0.8615664845173042,946
2022,0.9983681470591028,0.9301227573182247,985
2023,0.997888013387245,0.88909426987061,962
2024,0.9983273735706923,0.8856088560885609,960
2025,0.9962996707472528,0.864963503649635,948
