ObjectId,merge_province_cn,power_type_cn,weather_year,critical_terminal_price_for_6p5,critical_price_right_censored_at_60,critical_operational_learning_multiple,learning_multiple_right_censored_at_20,not_flipped_within_multiple_8
4161,青海,光伏,2020,31.288944482803345,False,20.0,True,True
4163,青海,光伏,2020,31.34552925825119,False,20.0,True,True
4165,青海,光伏,2020,31.189793944358826,False,20.0,True,True
4167,青海,光伏,2020,31.332406103610992,False,20.0,True,True
4173,青海,光伏,2020,32.44858592748642,False,20.0,True,True
4176,青海,光伏,2020,31.2309131026268,False,20.0,True,True
4179,青海,光伏,2020,31.340620815753937,False,20.0,True,True
418,甘肃,光伏,2020,40.06174564361572,False,20.0,True,True
4180,青海,光伏,2020,31.340620815753937,False,20.0,True,True
4182,青海,光伏,2020,31.340620815753937,False,20.0,True,True
4189,青海,光伏,2020,31.340620815753937,False,20.0,True,True
4191,青海,光伏,2020,34.9305322766304,False,20.0,True,True
4192,青海,光伏,2020,29.694474935531616,False,2.8,False,False
4193,青海,光伏,2020,32.20853626728058,False,20.0,True,True
4195,青海,光伏,2020,29.39857453107834,False,2.4,False,False
4197,青海,光伏,2020,32.63572186231613,False,20.0,True,True
4199,青海,光伏,2020,29.516380727291107,False,2.6,False,False
420,甘肃,光伏,2020,40.070233047008514,False,20.0,True,True
421,甘肃,光伏,2020,42.609073519706726,False,20.0,True,True
422,甘肃,光伏,2020,40.25565594434738,False,20.0,True,True
4242,青海,光伏,2020,29.732828736305237,False,2.8,False,False
4250,青海,光伏,2020,29.732828736305237,False,2.8,False,False
4256,青海,光伏,2020,29.906954169273376,False,3.1,False,False
428,甘肃,光伏,2020,35.75876176357269,False,20.0,True,True
4298,青海,光伏,2020,29.96557742357254,False,3.2,False,False
430,甘肃,光伏,2020,35.731438994407654,False,20.0,True,True
4309,青海,光伏,2020,31.24529868364334,False,20.0,True,True
4326,青海,光伏,2020,31.333433389663696,False,20.0,True,True
433,甘肃,光伏,2020,36.27851575613022,False,20.0,True,True
435,甘肃,光伏,2020,41.275259256362915,False,20.0,True,True
4364,陕西,光伏,2020,42.15761125087738,False,20.0,True,True
4369,陕西,光伏,2020,40.76183617115021,False,20.0,True,True
437,甘肃,光伏,2020,40.22661477327347,False,20.0,True,True
438,甘肃,光伏,2020,37.96135514974594,False,20.0,True,True
4394,陕西,光伏,2020,42.97973692417145,False,20.0,True,True
440,甘肃,光伏,2020,36.16883844137192,False,20.0,True,True
4420,青海,光伏,2020,29.732828736305237,False,2.8,False,False
443,甘肃,光伏,2020,35.76471000909805,False,20.0,True,True
4456,青海,光伏,2020,29.053398370742798,False,2.0,False,False
447,甘肃,光伏,2020,39.33355450630188,False,20.0,True,True
4479,青海,光伏,2020,30.26276260614395,False,3.3,False,False
4535,青海,光伏,2020,31.333433389663696,False,20.0,True,True
454,甘肃,光伏,2020,42.02082395553589,False,20.0,True,True
4541,青海,光伏,2020,31.263458132743835,False,20.0,True,True
457,甘肃,光伏,2020,41.82106018066406,False,20.0,True,True
459,甘肃,光伏,2020,41.45904690027237,False,20.0,True,True
4603,青海,光伏,2020,31.342806816101074,False,20.0,True,True
4609,青海,光伏,2020,30.8154559135437,False,4.4,False,False
461,甘肃,光伏,2020,41.594058573246,False,20.0,True,True
4615,青海,光伏,2020,31.333433389663696,False,20.0,True,True
463,甘肃,光伏,2020,41.46271526813507,False,20.0,True,True
464,甘肃,光伏,2020,41.4627143740654,False,20.0,True,True
4642,青海,光伏,2020,30.81545501947403,False,4.4,False,False
465,甘肃,光伏,2020,41.55162692070007,False,20.0,True,True
466,甘肃,光伏,2020,41.46153777837753,False,20.0,True,True
467,甘肃,光伏,2020,41.46271616220474,False,20.0,True,True
4670,青海,光伏,2020,30.8154559135437,False,4.4,False,False
4677,青海,光伏,2020,32.92694449424744,False,20.0,True,True
468,甘肃,光伏,2020,41.46162539720535,False,20.0,True,True
4687,青海,光伏,2020,32.926269471645355,False,20.0,True,True
4690,青海,光伏,2020,30.81545501947403,False,4.4,False,False
4693,青海,光伏,2020,32.72996038198471,False,20.0,True,True
470,甘肃,光伏,2020,41.53380185365677,False,20.0,True,True
4709,青海,光伏,2020,31.157064735889435,False,20.0,True,True
4710,青海,光伏,2020,32.274270951747894,False,20.0,True,True
4712,青海,光伏,2020,29.785069227218628,False,2.8,False,False
4716,青海,光伏,2020,32.681647539138794,False,20.0,True,True
4718,青海,光伏,2020,32.83045917749405,False,20.0,True,True
4724,青海,光伏,2020,32.83045917749405,False,20.0,True,True
4726,青海,光伏,2020,32.99448519945145,False,20.0,True,True
474,甘肃,光伏,2020,41.51453822851181,False,20.0,True,True
4746,青海,光伏,2020,29.792766273021698,False,2.8,False,False
475,甘肃,光伏,2020,42.436603009700775,False,20.0,True,True
4752,青海,光伏,2020,29.792766273021698,False,2.8,False,False
4756,青海,光伏,2020,32.729875445365906,False,20.0,True,True
4766,青海,光伏,2020,31.06213688850403,False,20.0,True,True
4773,青海,光伏,2020,36.16755723953247,False,20.0,True,True
4785,青海,光伏,2020,33.00671875476837,False,20.0,True,True
4795,青海,光伏,2020,30.178816616535187,False,3.2,False,False
4802,青海,光伏,2020,30.245155692100525,False,3.3,False,False
4804,青海,光伏,2020,33.29962223768234,False,20.0,True,True
4809,青海,光伏,2020,30.245155692100525,False,3.3,False,False
4824,青海,光伏,2020,30.262365639209747,False,3.3,False,False
483,甘肃,光伏,2020,40.97474545240402,False,20.0,True,True
4831,青海,光伏,2020,30.262365639209747,False,3.3,False,False
4838,青海,光伏,2020,30.25949478149414,False,3.3,False,False
4843,青海,光伏,2020,30.24255931377411,False,3.3,False,False
485,甘肃,光伏,2020,39.08264994621277,False,20.0,True,True
4850,青海,光伏,2020,29.82072025537491,False,3.0,False,False
4857,青海,光伏,2020,29.82072025537491,False,3.0,False,False
486,甘肃,光伏,2020,38.909076154232025,False,20.0,True,True
4863,青海,光伏,2020,29.82072025537491,False,3.0,False,False
4868,青海,光伏,2020,29.82072025537491,False,3.0,False,False
4874,青海,光伏,2020,29.82072025537491,False,3.0,False,False
4879,青海,光伏,2020,29.870683550834656,False,3.1,False,False
4882,青海,光伏,2020,31.36130154132843,False,20.0,True,True
4889,青海,光伏,2020,31.325429677963257,False,20.0,True,True
4897,青海,光伏,2020,30.732653439044952,False,4.3,False,False
4903,青海,光伏,2020,31.257548332214355,False,20.0,True,True
491,甘肃,光伏,2020,39.051493406295776,False,20.0,True,True
4911,青海,光伏,2020,29.958940744400024,False,3.2,False,False
4928,青海,光伏,2020,29.87259954214096,False,3.1,False,False
4933,青海,光伏,2020,29.87259954214096,False,3.1,False,False
495,甘肃,光伏,2020,41.20366394519806,False,20.0,True,True
4957,青海,光伏,2020,29.92860496044159,False,3.1,False,False
4960,青海,光伏,2020,32.63242542743683,False,20.0,True,True
4980,青海,光伏,2020,30.262731313705444,False,3.3,False,False
4981,青海,光伏,2020,30.509245991706848,False,3.7,False,False
4983,青海,光伏,2020,30.31933218240738,False,3.4,False,False
4986,青海,光伏,2020,30.509245991706848,False,3.7,False,False
4987,青海,光伏,2020,30.265268683433533,False,3.3,False,False
499,甘肃,光伏,2020,43.30291002988815,False,20.0,True,True
4997,青海,光伏,2020,32.44350045919418,False,20.0,True,True
4998,青海,光伏,2020,29.97615873813629,False,3.2,False,False
501,甘肃,光伏,2020,43.30291002988815,False,20.0,True,True
518,甘肃,光伏,2020,39.93618607521057,False,20.0,True,True
521,甘肃,光伏,2020,40.3462278842926,False,20.0,True,True
525,甘肃,光伏,2020,41.16110622882843,False,20.0,True,True
527,甘肃,光伏,2020,40.442097187042236,False,20.0,True,True
528,甘肃,光伏,2020,40.681049823760986,False,20.0,True,True
533,甘肃,光伏,2020,39.714049100875854,False,20.0,True,True
539,甘肃,光伏,2020,42.47107654809952,False,20.0,True,True
540,甘肃,光伏,2020,39.71404820680618,False,20.0,True,True
541,甘肃,光伏,2020,39.64778333902359,False,20.0,True,True
542,甘肃,光伏,2020,40.4165580868721,False,20.0,True,True
544,甘肃,光伏,2020,40.139068365097046,False,20.0,True,True
545,甘肃,光伏,2020,40.465061366558075,False,20.0,True,True
548,甘肃,光伏,2020,42.27849930524826,False,20.0,True,True
5526,陕西,光伏,2020,43.25036734342575,False,20.0,True,True
555,甘肃,光伏,2020,40.63277631998062,False,20.0,True,True
556,甘肃,光伏,2020,42.814199924468994,False,20.0,True,True
5966,陕西,光伏,2020,41.85541659593582,False,20.0,True,True
6001,新疆,光伏,2020,36.61877006292343,False,20.0,True,True
6004,新疆,光伏,2020,36.47394508123398,False,20.0,True,True
6005,新疆,光伏,2020,36.6224804520607,False,20.0,True,True
6006,新疆,光伏,2020,37.75371462106705,False,20.0,True,True
6007,新疆,光伏,2020,37.205877006053925,False,20.0,True,True
6014,新疆,光伏,2020,35.962393283843994,False,20.0,True,True
6016,新疆,光伏,2020,35.75151443481445,False,20.0,True,True
6017,新疆,光伏,2020,33.2479602098465,False,20.0,True,True
6020,新疆,光伏,2020,36.02413684129715,False,20.0,True,True
6021,新疆,光伏,2020,35.959909558296204,False,20.0,True,True
6022,新疆,光伏,2020,35.978659093379974,False,20.0,True,True
6024,新疆,光伏,2020,36.0034704208374,False,20.0,True,True
6025,新疆,光伏,2020,35.75151443481445,False,20.0,True,True
6026,新疆,光伏,2020,36.62516176700592,False,20.0,True,True
6027,新疆,光伏,2020,35.75151443481445,False,20.0,True,True
6030,新疆,光伏,2020,33.402781784534454,False,20.0,True,True
6031,新疆,光伏,2020,34.226312935352325,False,20.0,True,True
6032,新疆,光伏,2020,34.226312935352325,False,20.0,True,True
6035,新疆,光伏,2020,36.61524832248688,False,20.0,True,True
6036,新疆,光伏,2020,34.44092899560928,False,20.0,True,True
6037,新疆,光伏,2020,35.26886969804764,False,20.0,True,True
6047,新疆,光伏,2020,36.70263469219208,False,20.0,True,True
6056,新疆,光伏,2020,37.71617978811264,False,20.0,True,True
6057,新疆,光伏,2020,34.07720625400543,False,20.0,True,True
6059,新疆,光伏,2020,34.24045264720917,False,20.0,True,True
6060,新疆,光伏,2020,32.53385603427887,False,20.0,True,True
6061,新疆,光伏,2020,35.19489258527756,False,20.0,True,True
6063,新疆,光伏,2020,34.221625328063965,False,20.0,True,True
6065,新疆,光伏,2020,40.050980150699615,False,20.0,True,True
6066,新疆,光伏,2020,34.545371532440186,False,20.0,True,True
6067,新疆,光伏,2020,32.27484315633774,False,20.0,True,True
6068,新疆,光伏,2020,34.4505250453949,False,20.0,True,True
6069,新疆,光伏,2020,32.241953015327454,False,20.0,True,True
6070,新疆,光伏,2020,32.24194407463074,False,20.0,True,True
6071,新疆,光伏,2020,39.80884104967117,False,20.0,True,True
6076,新疆,光伏,2020,34.14979934692383,False,20.0,True,True
6078,新疆,光伏,2020,37.22851753234863,False,20.0,True,True
6079,新疆,光伏,2020,39.41693186759949,False,20.0,True,True
6081,新疆,光伏,2020,36.799602806568146,False,20.0,True,True
6082,新疆,光伏,2020,34.25831884145737,False,20.0,True,True
6083,新疆,光伏,2020,32.28769093751907,False,20.0,True,True
6085,新疆,光伏,2020,36.280635595321655,False,20.0,True,True
6086,新疆,光伏,2020,33.316201865673065,False,20.0,True,True
6089,新疆,光伏,2020,33.316201865673065,False,20.0,True,True
6091,新疆,光伏,2020,38.75068098306656,False,20.0,True,True
6096,新疆,光伏,2020,37.75371462106705,False,20.0,True,True
6097,新疆,光伏,2020,35.23016810417175,False,20.0,True,True
6098,新疆,光伏,2020,35.35255551338196,False,20.0,True,True
6099,新疆,光伏,2020,37.267831563949585,False,20.0,True,True
6100,新疆,光伏,2020,35.78434199094772,False,20.0,True,True
6101,新疆,光伏,2020,33.97267788648605,False,20.0,True,True
6102,新疆,光伏,2020,33.54510694742203,False,20.0,True,True
6103,新疆,光伏,2020,37.53090977668762,False,20.0,True,True
6104,新疆,光伏,2020,37.92986869812012,False,20.0,True,True
6105,新疆,光伏,2020,39.222750663757324,False,20.0,True,True
6106,新疆,光伏,2020,35.94958037137985,False,20.0,True,True
6108,新疆,光伏,2020,38.994915783405304,False,20.0,True,True
6110,新疆,光伏,2020,38.57775807380676,False,20.0,True,True
6111,新疆,光伏,2020,32.20339626073837,False,20.0,True,True
6112,新疆,光伏,2020,32.31257289648056,False,20.0,True,True
6114,新疆,光伏,2020,31.754317581653595,False,20.0,True,True
6117,甘肃,光伏,2020,40.634746849536896,False,20.0,True,True
6120,新疆,光伏,2020,34.00052100419998,False,20.0,True,True
6123,新疆,光伏,2020,36.482194662094116,False,20.0,True,True
6124,新疆,光伏,2020,31.754317581653595,False,20.0,True,True
6125,新疆,光伏,2020,37.15605586767197,False,20.0,True,True
6129,新疆,光伏,2020,32.44123488664627,False,20.0,True,True
6133,新疆,光伏,2020,32.522747218608856,False,20.0,True,True
6140,新疆,光伏,2020,34.00839239358902,False,20.0,True,True
6142,新疆,光伏,2020,36.82316064834595,False,20.0,True,True
6143,新疆,光伏,2020,31.62179857492447,False,20.0,True,True
6149,新疆,光伏,2020,34.43112105131149,False,20.0,True,True
6151,新疆,光伏,2020,37.23954766988754,False,20.0,True,True
6154,新疆,光伏,2020,39.70202028751373,False,20.0,True,True
6158,新疆,光伏,2020,37.87556380033493,False,20.0,True,True
6165,新疆,光伏,2020,34.50504541397095,False,20.0,True,True
6167,新疆,光伏,2020,37.80311107635498,False,20.0,True,True
6169,新疆,光伏,2020,36.740854382514954,False,20.0,True,True
6172,新疆,光伏,2020,37.490562200546265,False,20.0,True,True
6175,新疆,光伏,2020,34.98935133218765,False,20.0,True,True
6176,新疆,光伏,2020,37.38018482923508,False,20.0,True,True
6178,新疆,光伏,2020,31.620848178863525,False,20.0,True,True
6183,新疆,光伏,2020,33.99313420057297,False,20.0,True,True
6186,新疆,光伏,2020,34.98935133218765,False,20.0,True,True
6189,新疆,光伏,2020,31.708705723285675,False,20.0,True,True
6190,新疆,光伏,2020,33.8527849316597,False,20.0,True,True
6191,新疆,光伏,2020,34.65398222208023,False,20.0,True,True
6197,新疆,光伏,2020,31.620849072933197,False,20.0,True,True
6205,新疆,光伏,2020,36.81080996990204,False,20.0,True,True
6212,新疆,光伏,2020,37.83973574638367,False,20.0,True,True
6214,新疆,光伏,2020,34.50956404209137,False,20.0,True,True
6215,新疆,光伏,2020,31.000203788280487,False,20.0,True,True
