weather_year,scope,station_count,electrolyzer_capacity_gw,gross_capex_100m_cny,h2_mt_per_year
2020,low_return_entry,2315,11.164145877739037,803.8185031972106,0.411408103022697
2020,colocated_6p5,1235,5.972724859355149,430.0361898735708,0.25064482606174127
2020,strict_marginal,1080,2.451006074645988,176.47243737451114,0.07420614206582599
2021,low_return_entry,2682,12.642241579189681,910.2413937016572,0.47990169768061475
2021,colocated_6p5,1375,7.046211690329301,507.32724170370966,0.30661641925757915
2021,strict_marginal,1307,2.6657867371248356,191.9366450729882,0.0806614032510591
2022,low_return_entry,2366,11.364040492586529,818.2109154662301,0.4189257142000632
2022,colocated_6p5,1280,6.043781127070222,435.152241149056,0.25422634147901957
2022,strict_marginal,1086,2.2451200584167914,161.64864420600895,0.06781519070374588
2023,low_return_entry,2668,12.401034125366063,892.8744570263565,0.4597452267733825
2023,colocated_6p5,1347,6.646165163227782,478.52389175240035,0.28190128328428904
2023,strict_marginal,1321,2.6605159271763568,191.5571467566977,0.08004756808341955
2024,low_return_entry,2402,10.969443708524336,789.7999470137521,0.3963342866902058
2024,colocated_6p5,1235,5.5044086628502535,396.3174237252183,0.22667204964310242
2024,strict_marginal,1167,2.511855491491011,180.85359538735284,0.07605458963863275
2025,low_return_entry,2639,12.430104156120718,894.9674992406917,0.46814846787107606
2025,colocated_6p5,1360,6.797873096334254,489.4468629360663,0.2937753030896033
2025,strict_marginal,1279,2.5383329441166245,182.7599719763969,0.07675671293813459
