ObjectId,power_type_cn,target_equivalent_hours_2020,calibration_target_equivalent_hours_2020,maximum_feasible_equivalent_hours_2020,target_capped_by_physical_curve,effective_peak_ratio,scale,achieved_equivalent_hours_2020,requested_target_shortfall_hours,relative_error_to_requested_target,relative_error_to_calibration_target,merge_province_cn,capacity_mw
W197,风电,511.2951507640492,422.999999577,423.0,True,1.0,104587.01557846396,422.999999577,88.29515118704916,-0.1726892012472758,0.0,重庆,110.0
W3684,风电,53.28827573822021,0.7161152336588849,0.716115234375,True,0.3580576171875,125815.89779118984,0.7161152336588852,52.57216050456133,-0.986561486110438,4.651023909738533e-16,湖南,50.0
W7067,风电,233.1023582395935,194.999999805,195.0,True,1.0,88649.47124273528,194.999999805,38.1023584345935,-0.1634576274660855,0.0,四川,50.0
W7075,风电,635.7236039363561,180.999999819,181.0,True,1.0,17603.20781970065,180.999999819,454.7236041173561,-0.7152850724776292,0.0,四川,89.0
W7150,风电,107.12149996916452,12.628968167709573,12.62896818033854,True,0.6646825358072916,4269.992120160385,12.628968167709573,94.49253180145496,-0.8821061302227388,0.0,四川,48.0
W7218,风电,244.3416428767904,73.999999926,74.0,True,1.0,133905.97638957793,73.999999926,170.34164295079034,-0.6971453614915954,0.0,四川,150.0
W7226,风电,244.34164313180105,57.999999942,58.0,True,1.0,22238.636853742773,57.999999942,186.34164318980103,-0.76262744574115,0.0,四川,168.0
W7232,风电,244.3416389065552,47.999999952,48.0,True,1.0,7961.415274920041,47.999999952,196.3416389545552,-0.8035537448025513,0.0,四川,50.0
W7261,风电,525.4527519841004,472.999999527,473.0,True,1.0,142964.65092753264,472.999999527,52.45275245710036,-0.0998239180574079,0.0,四川,100.0
W7684,风电,635.7236070869445,528.999999471,529.0,True,1.0,291919.2792584966,528.999999471,106.7236076159445,-0.1678773706469397,0.0,四川,50.0
W7714,风电,635.7236125531197,331.999999668,332.0,True,1.0,42116.34405908549,331.999999668,303.7236128851197,-0.4777604715126752,0.0,四川,48.0
W7870,风电,1107.8631397747802,627.0000483573749,627.000048984375,True,1.000000078125,96131.65754506992,627.0000483573749,480.86309141740526,-0.4340455730977392,0.0,新疆,50.0
W8004,风电,1091.903213127454,795.999999204,796.0,True,1.0,110963.43909672288,795.999999204,295.90321392345413,-0.2709976583692994,0.0,云南,48.0
W8065,风电,1148.3094592733382,816.999999183,817.0,True,1.0,288799.5915804033,816.999999183,331.30946009033823,-0.2885193162999756,0.0,云南,48.0
