ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,weather_year,low_return_entry,colocated_6p5_independent_optimized,strict_marginal_vs_6p5,optimized_capture_target,optimized_electrolyzer_mw,optimized_h2_t_per_year,gross_capex_100m_cny,npv_low_100m_cny,npv_colocated_6p5_100m_cny,optimized_6p5_capture_target,optimized_6p5_electrolyzer_mw,optimized_6p5_h2_t_per_year,optimized_6p5_gross_capex_100m_cny,low_configuration_index,colocated_configuration_index
1,安徽,光伏,20.0,32.0001,117.0001,2020,False,False,False,0.99,1.0378690989035881,5.372091514331349,0.07472657512105835,-0.17967108373234722,-0.1084726139752085,0.99,1.0378690989035881,5.372091514331349,0.07472657512105835,14,14
10,安徽,光伏,100.0,32.1447,116.785,2020,False,False,False,0.4,1.05402319279603,12.038996513582733,0.07588966988131415,-0.12679679572427063,-0.08453777561053641,0.4,1.05402319279603,12.038996513582733,0.07588966988131415,7,7
1000,广东,光伏,80.0,22.6099,111.6157,2020,False,False,False,0.9,1.1060466383791572,6.386734921723821,0.07963535796329932,-0.18586265092603282,-0.11303864506511418,0.9,1.1060466383791572,6.386734921723821,0.07963535796329932,12,12
10001,山东,光伏,5.7,37.6443,120.4709,2020,False,False,False,0.01,0.002235668820217525,0.04331840635807821,0.0001609681550556618,-0.00012832476371198224,-0.0001128614157286839,0.01,0.002235668820217525,0.04331840635807821,0.0001609681550556618,0,0
10005,山东,光伏,1.2,37.6443,120.4709,2020,False,False,False,0.01,0.0004706671721924219,0.009119665063780242,3.388803639785438e-05,-2.701574590787451e-05,-2.3760302238159287e-05,0.01,0.0004706671721924219,0.009119665063780242,3.388803639785438e-05,0,0
1001,广东,光伏,40.0,23.386,114.733,2020,False,False,False,0.01,0.004201871719664984,0.037510950393214754,0.00030253476381587885,-0.0005939721059183835,-0.00037790986021606223,0.01,0.004201871719664984,0.037510950393214754,0.00030253476381587885,0,0
10013,山东,光伏,1.0,37.6443,120.4709,2020,False,False,False,0.01,0.00039222262623368493,0.007599720991834776,2.8240029088825313e-05,-2.2513117436829385e-05,-1.9800249447768126e-05,0.01,0.00039222262623368493,0.007599720991834776,2.8240029088825313e-05,0,0
10015,辽宁,光伏,1.5,40.8738,120.624,2020,False,False,False,0.01,0.0006214409535885272,0.01271547311808166,4.474374865837395e-05,-3.076142845448368e-05,-2.894918000413601e-05,0.01,0.0006214409535885272,0.01271547311808166,4.474374865837395e-05,0,0
1002,广西,光伏,150.0,22.4674,108.5769,2020,False,False,False,0.2,1.2847156137015605,21.516848927753994,0.09249952418651235,-0.0974905084172241,-0.07654393156359729,0.2,1.2847156137015605,21.516848927753994,0.09249952418651235,5,5
10020,河北,光伏,6.0,37.3528,114.7739,2020,False,False,False,0.01,0.0033320786203214,0.08045892435070459,0.00023990966066314082,-7.790482973579966e-05,-0.00011218138611142995,0.01,0.0033320786203214,0.08045892435070459,0.00023990966066314082,0,0
10021,河北,光伏,5.9,37.3528,114.7739,2020,False,False,False,0.01,0.003276543823610324,0.07911794223127071,0.00023591115529994331,-7.660638613677753e-05,-0.00011031167835779005,0.01,0.003276543823610324,0.07911794223127071,0.00023591115529994331,0,0
10022,浙江,光伏,3.0,29.031,119.1674,2020,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,0
10023,浙江,光伏,2.2,27.7833,120.625,2020,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,0
