weather_year,province,low_return_entry_count,strict_marginal_count,strict_marginal_capacity_gw,strict_marginal_h2_mt_per_year,low_entry_min,low_entry_median,low_entry_max,strict_min,strict_median,strict_max,strict_capacity_gw_min,strict_capacity_gw_max,strict_h2_mt_min,strict_h2_mt_max
2021,安徽,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,山东,109,104,0.13173796357521586,0.0037841914457322906,15,98.0,162,15,91.0,151,0.02116873369259747,0.20718643201747564,0.0006649320978099052,0.005986880857772836
2021,山西,167,93,0.18657540364472466,0.005696704868552102,50,95.5,167,48,74.0,93,0.08048941924348048,0.19077834750586273,0.002369287827252001,0.0057121635809281755
2021,广东,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,广西,0,0,0.0,0.0,0,0.0,3,0,0.0,3,0.0,0.00473611997996419,0.0,0.00013294836354445783
2021,新疆,573,476,1.1609201793118413,0.03584020855474751,550,560.5,573,443,460.0,478,1.0377505846890343,1.179811033415984,0.032056471733686746,0.03638716045563033
2021,江苏,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,江西,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,河北,255,44,0.09625685741705992,0.0029196753524431732,231,241.5,255,27,37.0,44,0.05533624385145575,0.09625685741705992,0.0016796772912919175,0.0029196753524431732
2021,河南,19,18,0.024741256816101592,0.0006968645342109532,1,9.5,19,0,8.5,18,0.0,0.024741256816101592,0.0,0.0006968645342109532
2021,浙江,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,海南,1,1,0.0011292773853816065,3.12665829130778e-05,1,1.5,2,1,1.5,2,0.001070005411943451,0.002428487717051305,3.0280794887645968e-05,7.640353572599015e-05
2021,湖北,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,湖南,0,0,0.0,0.0,0,0.0,2,0,0.0,2,0.0,0.0024779096823910243,0.0,6.83018794817893e-05
2021,甘肃,248,222,0.5461115859704867,0.015715986493674776,239,253.0,263,216,226.0,237,0.4868529117015945,0.6131063233046181,0.013986178993089994,0.017592323892039165
2021,福建,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
