technology,station_count,modeled_capacity_gw,potential_twh,curtailed_twh,sample_weighted_utilization,physical_h2_mt_at_55_kwh_per_kg
wind,4149,292.72280000000006,648.1901803805569,40.83419909555842,0.9370027496072458,0.7424399835556076
solar,6065,336.4565,461.1792131479529,29.94765978776151,0.9350628585721753,0.5445029052320274
