filename,bytes,rows,hours,dtype,storage_order,sha256,download_url,source_lineage
curtailment_profile_2025.float32,358879104,10214,8784,float32,C row-major,bc4a452c067d8ed59261d7516bf6c8ba96cfbb597f8799c86d3197c45d671ae6,https://github.com/1223044298-ship-it/curtailment-traps-early-green-hydrogen-assets-beyond-the-reach-of-learning/releases/download/hourly-inputs-v1.0.0/curtailment_profile_2025.float32,"Deterministic analysis-ready derivative of the 2020 monthly research-group model outputs documented by Li and Zhang (2026), DOI 10.1016/j.ynexs.2026.100149"
full_potential_profile_2020.float32,358879104,10214,8784,float32,C row-major,a4736d46d166dab91cfd4507aeca27921b5fea4e44c3bf12f4f50d14c628c960,https://github.com/1223044298-ship-it/curtailment-traps-early-green-hydrogen-assets-beyond-the-reach-of-learning/releases/download/hourly-inputs-v1.0.0/full_potential_profile_2020.float32,"Deterministic analysis-ready derivative of the 2020 monthly research-group model outputs documented by Li and Zhang (2026), DOI 10.1016/j.ynexs.2026.100149"
