ObjectId,2020,2021,2022,2023,2024,2025,mean_mwh,sd_mwh,cv
1,343.81929375665635,353.3428987956047,375.8298009802997,363.8847233915329,363.7921250128746,369.2174654160738,361.64771789217366,10.447152412501472,0.02888764921120371
10,1707.8109874539375,1749.8277932581902,1868.052914326668,1809.7750664253235,1809.4337654094693,1823.357697407484,1794.7097040468454,51.97670953719237,0.028961067865176972
1000,410.8468459537029,418.14434782731536,395.3012093098164,394.87859260749815,385.4871066918373,411.76932008726897,402.73790374623985,11.54226392293957,0.028659492477798185
10001,244.60037943583728,237.49254111678152,245.6438802284524,250.5732500716448,250.4579546429813,247.94581532740597,246.11897013718385,4.452562284961388,0.018091097498415427
10005,51.49481671785564,49.99842958509177,51.71450100474246,52.75226327976584,52.72799047086016,52.19911887976527,51.814519989680186,0.9373815873079594,0.018091098547176665
1001,208.93295521900055,214.78829529441148,199.054500404954,196.8013990787268,193.2297055517435,202.95712808895112,202.62733060629793,7.334628833587987,0.03619762848200901
10013,42.91234684251249,41.6653578686323,43.09541717387084,43.96021895107627,43.93999159839749,43.49926542326808,43.17876630962625,0.7811512202191675,0.01809109631844711
10015,71.9069841221571,69.00781456781924,72.27206654496491,73.28493839223869,70.69542705073953,71.89857385934516,71.51096742287744,1.3518008460230155,0.01890340593533285
1002,6102.166561347962,6372.144834588051,6162.746271023989,5990.504116153755,5929.292906683445,6194.701532333374,6125.259370355096,143.918394283114,0.02349588573826723
10020,457.6596500365138,445.714978095144,453.9518767948449,460.6304153502584,456.3566018355219,456.1520171942562,455.07758988442316,4.640705772024486,0.01019761437429405
10021,450.0319912808836,438.2863958543837,446.38601332734527,452.9532428126633,448.7506596190059,448.5494846637994,447.49296459301354,4.563360882064835,0.010197614807676643
10022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,6102.166561347962,6372.144834588051,6162.746271023989,5990.504116153755,5929.292906683445,6194.701532333374,6125.259370355096,143.918394283114,0.02349588573826723
