fid_design_weather_year,realized_weather_year,capacity_adjustability,original_admitted_cohort_count,stations_with_value_improving_redesign,cancelled_record_count,at_risk_record_count,retain_low_return_count,reach_colocated_6p5_count,installed_capacity_gw,avoided_oversizing_gw,avoided_capex_100m_cny,at_risk_capacity_gw,at_risk_capex_100m_cny,annual_h2_mt,cohort_npv_low_100m_cny
2025,2020,0.0,2639,1747,0,518,2121,952,12.430104156120718,0.0,0.0,1.2129510466034639,87.3324753554494,0.441658470761533,611.6189051072869
2025,2020,0.25,2639,1747,210,272,2157,954,11.91329029269876,0.6237719646031388,44.911581451426,0.6255070574149706,45.03650813387789,0.4301430469197676,630.9456156416207
2025,2020,0.5,2639,1747,333,119,2187,950,11.535253672981431,1.1087666855016463,79.83120135611851,0.25428851132622216,18.30877281548799,0.4212519542780729,642.2312735136162
2025,2020,0.75,2639,1747,395,32,2212,946,11.259993624633783,1.4909848350304742,107.35090812219414,0.06793867800983484,4.891584816708109,0.4142524141111548,647.8872865342004
2025,2020,1.0,2639,1747,406,0,2233,958,11.065623908953537,1.7923126518918966,129.04651093621658,0.0,0.0,0.4087808048486172,648.7688934937602
2025,2021,0.0,2639,1611,0,88,2551,1133,12.430104156120718,0.0,0.0,0.15029841668154065,10.821486001070928,0.4727515133911314,818.0998089596626
2025,2021,0.25,2639,1611,34,36,2569,1124,12.409747310583997,0.14662859798799077,10.557259055135336,0.07881100392501413,5.6743922826010165,0.4729529816238833,823.2127166100814
2025,2021,0.5,2639,1611,52,17,2570,1115,12.41378274838302,0.2688649126402343,19.35827371009687,0.030693163255738853,2.209907754413197,0.47356190391096364,826.8673816235623
2025,2021,0.75,2639,1611,55,8,2576,1112,12.437202236210144,0.3717171772643816,26.763636763035475,0.015169888707012205,1.0922319869048789,0.4744414350346843,828.8078757389084
2025,2021,1.0,2639,1611,55,0,2584,1107,12.46419421853684,0.47099694738895576,33.91178021200481,0.0,0.0,0.4751452858112706,828.7904552560843
2025,2022,0.0,2639,1740,0,437,2202,962,12.430104156120718,0.0,0.0,1.0625483556578135,76.50348160736257,0.44481784182019,632.3343998526315
2025,2022,0.25,2639,1740,169,223,2247,960,12.006746514445807,0.5186137555899908,37.34019040247934,0.5236696617692626,37.70421564738691,0.43506923168758194,646.4058343078005
2025,2022,0.5,2639,1740,260,105,2274,944,11.70258877649945,0.9180276074514301,66.09798773650297,0.2203947381155217,15.86842114431756,0.4278747538459286,655.3123785072232
2025,2022,0.75,2639,1740,315,27,2297,955,11.46797289005097,1.2478996078149929,89.84877176267948,0.05823852513228004,4.193173809524162,0.4219486790789602,660.0302608132059
2025,2022,1.0,2639,1740,329,0,2310,953,11.307651116680034,1.5034774951010075,108.25037964727252,0.0,0.0,0.41751860914267264,660.8217639742428
2025,2023,0.0,2639,1563,0,149,2490,1060,12.430104156120718,0.0,0.0,0.27159359652456594,19.554738949768748,0.4595466643159154,729.0758018562656
2025,2023,0.25,2639,1563,55,66,2518,1063,12.334870809854266,0.2033800212344185,14.643361528878131,0.11886944165749322,8.558599799339511,0.4576102526183146,734.3575611213913
2025,2023,0.5,2639,1563,81,31,2527,1052,12.28122737434941,0.3651701317072431,26.292249482921505,0.049748951308070714,3.581924494181092,0.4565418186629497,737.6894855964385
2025,2023,0.75,2639,1563,90,26,2523,1041,12.252934460249907,0.5016097207747154,36.115899895779506,0.04507919482587043,3.245702027462671,0.45587408374326527,739.1835062961258
2025,2023,1.0,2639,1563,90,0,2549,1028,12.236443188006678,0.6262476679859104,45.08983209498554,0.0,0.0,0.4552625004187669,739.2663229543924
2025,2024,0.0,2639,1839,0,396,2243,847,12.430104156120718,0.0,0.0,0.9785227883417866,70.45364076060864,0.4322467902861677,550.0075924345398
2025,2024,0.25,2639,1839,141,229,2269,842,11.918994936236986,0.5680892346858439,40.90242489738076,0.5768109632929417,41.530389357091806,0.42048376296402623,566.417104511268
2025,2024,0.5,2639,1839,232,121,2286,848,11.495817464875865,1.0482467208490733,75.47376390113327,0.2674006124634202,19.252844097366253,0.41029206236405596,577.3348021019109
2025,2024,0.75,2639,1839,290,36,2313,868,11.140959853258254,1.4600843472687968,105.12607300335335,0.08956278386840365,6.44852043852506,0.40115326991077604,582.9661537227593
2025,2024,1.0,2639,1839,306,0,2333,882,10.865402278793564,1.7926219365355949,129.06877943056284,0.0,0.0,0.393448817727704,583.7457081460229
2025,2025,0.0,2639,0,0,0,2639,995,12.430104156120718,0.0,0.0,0.0,0.0,0.4681484678710761,788.0281479089023
2025,2025,0.25,2639,0,0,0,2639,995,12.430104156120718,0.0,0.0,0.0,0.0,0.4681484678710761,788.0281479089023
2025,2025,0.5,2639,0,0,0,2639,995,12.430104156120718,0.0,0.0,0.0,0.0,0.4681484678710761,788.0281479089023
2025,2025,0.75,2639,0,0,0,2639,995,12.430104156120718,0.0,0.0,0.0,0.0,0.4681484678710761,788.0281479089023
2025,2025,1.0,2639,0,0,0,2639,995,12.430104156120718,0.0,0.0,0.0,0.0,0.4681484678710761,788.0281479089023
