method,low_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,conventional_6p5_record_count,conventional_6p5_capacity_gw,conventional_6p5_capex_100m_cny,conventional_6p5_h2_mt_per_year,strict_record_count,strict_capacity_gw,strict_capex_100m_cny,strict_h2_mt_per_year,r1_capacity_at_90pct_gw,r1_h2_at_90pct_mt_per_year,median_positive_hours,median_top10_energy_share,strict_retain_low_P22,strict_reach_6p5_P22,strict_retain_low_P18,strict_reach_6p5_P18,r4_locked_durable_6p5_P18,r4_locked_at_risk_capex_100m_cny_P18,strict_retain_low_P15,strict_reach_6p5_P15,strict_retain_low_P12,strict_reach_6p5_P12,r4_forward_P18_record_count,r4_forward_P18_capacity_gw,r4_forward_P18_capex_100m_cny,r4_forward_P18_h2_mt_per_year,r4_forward_strict_marginal_count_P18,jaccard_vs_daily_low_return_entry,jaccard_vs_daily_strict_marginal
daily_peak,2093,9.81727022826413,706.8434564350174,0.35823319323816133,1181,5.190576579127029,373.7215136971461,0.21636231656047583,912,2.091895001312402,150.61644009449293,0.062058541089362027,64.27422011811267,1.0788800001502674,1298.5,0.9120973281961076,94,0,0,0,280,516.6763385799566,0,0,0,0,832,2.830841673620832,203.82060050069984,0.13216904608661167,0,1.0,1.0
annual_peak,653,4.532425665504265,326.334647916307,0.14454813221200566,220,0.9390516956534957,67.6117220870517,0.03494975171473319,433,2.1610070239417354,155.59250572380492,0.06410371923599065,118.14014459295778,1.1068426512241343,460.0,1.0,3,0,0,0,2,324.78703150615075,0,0,0,0,29,0.09596289356162623,6.909328336437091,0.004135345115036407,0,0.3119923554706163,0.0014892032762472078
proportional,5679,15.179712888253565,1092.9393279542567,0.8370166309870527,5243,12.885112887439686,927.7281278956574,0.7696309714417331,436,0.436,31.392,0.013812214592528977,22.927153839938455,1.0150420462100826,5182.0,0.43482204588337264,265,0,21,0,4823,61.638229439404334,0,0,0,0,4825,10.88819746647408,783.9502175861337,0.7274910820673542,0,0.3685508011973939,0.002976190476190476
