learning_multiple,records_reaching_6p5,share_reaching_6p5
0.0,0,0.0
0.1,0,0.0
0.2,0,0.0
0.3,0,0.0
0.4,0,0.0
0.5,0,0.0
0.6,0,0.0
0.7,0,0.0
0.8,0,0.0
0.9,1,0.0014084507042253522
1.0,3,0.004225352112676056
1.1,4,0.005633802816901409
1.2,4,0.005633802816901409
1.3,4,0.005633802816901409
1.4,4,0.005633802816901409
1.5,4,0.005633802816901409
1.6,4,0.005633802816901409
1.7,4,0.005633802816901409
1.8,4,0.005633802816901409
1.9,4,0.005633802816901409
2.0,4,0.005633802816901409
2.1,4,0.005633802816901409
2.2,4,0.005633802816901409
2.3,4,0.005633802816901409
2.4,4,0.005633802816901409
2.5,4,0.005633802816901409
2.6,4,0.005633802816901409
2.7,4,0.005633802816901409
2.8,4,0.005633802816901409
2.9,5,0.007042253521126761
3.0,5,0.007042253521126761
3.1,5,0.007042253521126761
3.2,5,0.007042253521126761
3.3,5,0.007042253521126761
3.4,5,0.007042253521126761
3.5,5,0.007042253521126761
3.6,5,0.007042253521126761
3.7,5,0.007042253521126761
3.8,5,0.007042253521126761
3.9,5,0.007042253521126761
4.0,5,0.007042253521126761
4.1,5,0.007042253521126761
4.2,5,0.007042253521126761
4.3,6,0.008450704225352112
4.4,6,0.008450704225352112
4.5,6,0.008450704225352112
4.6,6,0.008450704225352112
4.7,6,0.008450704225352112
4.8,6,0.008450704225352112
4.9,6,0.008450704225352112
5.0,6,0.008450704225352112
5.1,6,0.008450704225352112
5.2,6,0.008450704225352112
5.3,6,0.008450704225352112
5.4,6,0.008450704225352112
5.5,6,0.008450704225352112
5.6,6,0.008450704225352112
5.7,6,0.008450704225352112
5.8,6,0.008450704225352112
5.9,6,0.008450704225352112
6.0,6,0.008450704225352112
6.1,6,0.008450704225352112
6.2,6,0.008450704225352112
6.3,6,0.008450704225352112
6.4,6,0.008450704225352112
6.5,6,0.008450704225352112
6.6,6,0.008450704225352112
6.7,6,0.008450704225352112
6.8,6,0.008450704225352112
6.9,6,0.008450704225352112
7.0,6,0.008450704225352112
7.1,6,0.008450704225352112
7.2,6,0.008450704225352112
7.3,6,0.008450704225352112
7.4,6,0.008450704225352112
7.5,6,0.008450704225352112
7.6,6,0.008450704225352112
7.7,6,0.008450704225352112
7.8,6,0.008450704225352112
7.9,6,0.008450704225352112
8.0,6,0.008450704225352112
8.1,6,0.008450704225352112
8.2,6,0.008450704225352112
