ObjectId,critical_nonstack_learning_transfer_share_flat_price,right_censored_at_full_transfer
W4517,,True
W4522,,True
W4533,,True
W4534,0.0,False
W4539,,True
W4548,,True
W4551,,True
W4588,,True
W4603,,True
W4611,,True
W4626,,True
W4690,,True
W4736,,True
W4753,,True
W4783,,True
W4791,,True
W4807,,True
W4808,,True
W4814,,True
W4815,,True
W4832,,True
W4837,,True
W4852,,True
W4875,,True
W4888,,True
W4964,,True
W4968,,True
W4991,,True
W5005,,True
W5007,,True
W5009,,True
W5010,,True
W5014,,True
W5019,,True
W5021,,True
W5022,,True
W5025,,True
W5112,0.3,False
W5243,,True
W5305,,True
W5342,0.0,False
W5379,0.0,False
W5423,,True
W5501,,True
W5754,,True
W5824,0.99,False
W583,,True
W584,,True
W585,,True
W5940,,True
W5948,,True
W5967,,True
W6268,,True
W6270,,True
W6271,,True
W629,,True
W6339,,True
W6352,,True
W6360,,True
W6375,,True
W6384,,True
W6386,,True
W6452,,True
W6550,,True
W6723,,True
W6866,,True
W6906,,True
W6910,,True
W6915,,True
W6918,,True
W6931,,True
W6937,,True
W6954,,True
W6956,,True
W7010,,True
W7013,,True
W7016,,True
W7019,,True
W7029,,True
W7080,,True
W7124,,True
W7125,,True
W7127,,True
W7177,,True
W7183,,True
W7194,,True
W7196,,True
W7213,,True
W7224,,True
W7233,,True
W7243,,True
W7248,,True
W7253,,True
W7256,,True
W7258,,True
W7260,,True
W7268,,True
W7269,,True
W7273,,True
W7276,,True
W7277,,True
W7281,,True
W7285,,True
W7371,,True
W7380,,True
W7382,,True
W7383,,True
W7399,,True
W7408,,True
W7410,,True
W7421,,True
W7424,,True
W7431,,True
W7439,,True
W7447,,True
W7460,,True
W7468,,True
W7470,,True
W7474,,True
W7477,,True
W7479,,True
W7480,,True
W7487,,True
W7492,,True
W7495,,True
W7508,,True
W7514,,True
W7515,,True
W7516,,True
W7520,,True
W7521,,True
W7522,,True
W7535,,True
W7545,,True
W7546,,True
W7559,,True
W7560,,True
W7568,,True
W7578,,True
W7592,,True
W7600,,True
W7603,,True
W7606,,True
W7611,,True
W7626,,True
W7639,,True
W7661,,True
W7664,,True
W7683,,True
W7693,,True
W7695,,True
W7700,,True
W7725,,True
W7727,,True
W7729,,True
W7735,,True
W7754,,True
W7757,,True
W7776,,True
W7784,,True
W7787,,True
W7788,,True
W7789,,True
W7793,,True
W7794,,True
W7799,,True
W7804,,True
W7806,,True
W7812,,True
W7816,,True
W7819,,True
W7828,,True
W7829,,True
W7830,,True
W7838,,True
W7840,,True
W7844,,True
W7850,,True
W7851,,True
W7852,,True
W7865,,True
W7876,,True
W7877,,True
W7883,,True
W7884,,True
W7890,,True
W7897,,True
W7904,,True
W7911,,True
W7914,,True
W7921,,True
W7927,,True
W7935,,True
W7941,,True
W7948,,True
W7953,,True
W7958,,True
W7978,,True
W8000,,True
W8045,,True
W8050,,True
W8096,,True
W8098,,True
W8111,,True
W8153,,True
W8162,,True
W8214,,True
W89,,True
W912,,True
W922,,True
W925,,True
W97,,True
W985,,True
W994,,True
