ObjectId,province,technology,capacity_mw,latitude,longitude,low_return_entry,conventional_6p5,strict_marginal,low_selected_capacity_mw,low_selected_h2_t_per_year,low_selected_npv_100m_cny,high_selected_capacity_mw,high_selected_h2_t_per_year
1007,Guangxi,solar PV,20.0,21.7204,109.1337,False,False,False,1.0,10.725002297663933,-0.1191088025708279,1.0,10.725002297663933
10070,Henan,solar PV,16.5,33.899,115.511,False,False,False,1.0,4.877103219556256,-0.1609670662593249,1.0,4.877103219556256
10071,Henan,solar PV,1.5,33.8908,115.3806,False,False,False,0.0003716778501049,0.005332377241524,-3.4709852950564334e-05,0.0003716778501049,0.005332377241524
10075,Anhui,solar PV,10.0,33.5305,117.8779,False,False,False,1.0,2.272183407027013,-0.1795798405505735,1.0,2.272183407027013
10076,Ningxia,solar PV,10.0,37.527,105.075,False,False,False,1.0,13.132317419526334,-0.1020655198598668,1.0,13.132317419526334
10077,Tibet,solar PV,12.0,29.769,91.889,True,True,False,1.8270620626400216,67.02822375096875,0.0661619176916442,1.0403896574923184,40.846530059502655
10078,Ningxia,solar PV,8.0,37.835,106.879,False,False,False,1.0,11.197131438974344,-0.1158527872173218,1.0,11.197131438974344
10079,Ningxia,solar PV,6.0,37.8201,106.712,False,False,False,1.0,8.591679643951077,-0.134441173341159,1.0,8.591679643951077
10080,Ningxia,solar PV,5.0,37.766,106.726,False,False,False,1.0,6.715366626445452,-0.1478348825577368,1.0,6.715366626445452
10081,Hebei,solar PV,15.0,41.265,114.621,False,False,False,1.0,14.118274615490442,-0.0951673430317482,1.0,14.118274615490442
10082,Gansu,solar PV,9.0,38.7536,103.1689,False,False,False,1.0,19.59080729308369,-0.0589273235419974,1.0,19.59080729308369
10083,Shandong,solar PV,15.0,37.3538,120.4282,False,False,False,1.0,9.044030920436136,-0.1312403181255986,1.0,9.044030920436136
10084,Heilongjiang,solar PV,10.0,44.677,130.509,False,False,False,1.0,7.841225598953614,-0.1398156455606407,1.0,7.841225598953614
10085,Inner Mongolia,solar PV,1.1,42.9594,120.8395,False,False,False,0.0006841076700619,0.0189773483177406,-5.982373147455061e-06,0.0006841076700619,0.0189773483177406
1010,Guangxi,solar PV,40.0,21.5195,109.3999,False,False,False,1.0,14.04737288325785,-0.0954195858751403,1.0,14.04737288325785
10103,Shandong,solar PV,5.0,36.7994,116.7439,False,False,False,1.0,1.9244008527199423,-0.1821035318827216,1.0,1.9244008527199423
10105,Zhejiang,solar PV,3.0,29.108,119.6486,False,False,False,0.0,0.0,0.0,0.0,0.0
10106,Shandong,solar PV,13.0,36.0598,117.8054,False,False,False,1.0,7.810992280509385,-0.140044596444447,1.0,7.810992280509385
1011,Guangxi,solar PV,20.0,21.659,109.433,False,False,False,1.0,10.802928125107655,-0.1185540304547757,1.0,10.802928125107655
10110,Jiangxi,solar PV,1.9,28.6472,116.0348,False,False,False,0.0003174996354217,0.0041220803647752,-3.2679793497566126e-05,0.0003174996354217,0.0041220803647752
10111,Zhejiang,solar PV,1.1,29.8622,121.6204,False,False,False,0.0,0.0,0.0,0.0,0.0
10112,Shandong,solar PV,2.0,36.215,117.6698,False,False,False,1.0,0.0054954378527598,-0.1958540417692569,1.0,0.0054954378527598
10113,Jiangsu,solar PV,5.8,31.9828,120.8905,False,False,False,0.0007231917176921,0.0072907492058127,-8.942844010630188e-05,0.0007231917176921,0.0072907492058127
10119,Liaoning,solar PV,1.9,41.2374,122.9955,False,False,False,1.0,0.0064356359232581,-0.1958472503732757,1.0,0.0064356359232581
10120,Jiangsu,solar PV,1.2,34.2665,117.181,False,False,False,0.0001605231888382,0.0016113372306217,-1.989973152436663e-05,0.0001605231888382,0.0016113372306217
10125,Henan,solar PV,4.2,33.7375,113.2981,False,False,False,1.0,0.0427281758303143,-0.195586769582987,1.0,0.0427281758303143
10128,Henan,solar PV,5.0,33.001,112.5293,False,False,False,1.0,0.2254074074345182,-0.1942757404248234,1.0,0.2254074074345182
10129,Jiangxi,solar PV,1.0,29.6654,115.9475,False,False,False,0.0001708049163674,0.0021570935253567,-1.8011832098658752e-05,0.0001708049163674,0.0021570935253567
10132,Shandong,solar PV,3.5,36.8618,120.5158,False,False,False,1.0,0.4089153503971344,-0.1929599256362545,1.0,0.4089153503971344
10133,Zhejiang,solar PV,2.1,29.4798,121.8649,False,False,False,0.0,0.0,0.0,0.0,0.0
10135,Liaoning,solar PV,1.5,41.2374,122.9955,False,False,False,0.0005896271367515,0.0119204007835014,-3.250545429753404e-05,0.0005896271367515,0.0119204007835014
10137,Jiangxi,solar PV,3.0,29.6654,115.9475,False,False,False,0.0005124142947253,0.0064712774539636,-5.403542964504099e-05,0.0005124142947253,0.0064712774539636
1014,Guangxi,solar PV,100.0,23.173,108.9398,False,False,False,1.0,15.666476378173073,-0.0838900080251782,1.0,15.666476378173073
10140,Shandong,solar PV,5.0,36.7843,119.9494,False,False,False,1.0,1.7201732285788227,-0.183565199731334,1.0,1.7201732285788227
10142,Shandong,solar PV,5.9,36.9787,120.7069,False,False,False,1.0,2.5142538284606406,-0.1778831353932063,1.0,2.5142538284606406
10143,Zhejiang,solar PV,1.2,29.4798,121.8649,False,False,False,0.0,0.0,0.0,0.0,0.0
10144,Henan,solar PV,1.4,33.001,112.5293,False,False,False,0.000322375298765,0.0045538836040959,-3.061106797998135e-05,0.000322375298765,0.0045538836040959
10145,Shaanxi,solar PV,9.8,36.5794,110.0062,False,False,False,1.0,16.662876167930172,-0.0771881339779948,1.0,16.662876167930172
10148,Shandong,solar PV,5.0,36.7843,119.9494,False,False,False,1.0,1.7201732285788227,-0.183565199731334,1.0,1.7201732285788227
10152,Shandong,solar PV,2.1,36.2003,117.0809,False,False,False,1.0,0.0113362186178915,-0.195812125870699,1.0,0.0113362186178915
10153,Jiangxi,solar PV,2.5,27.2846,116.9024,False,False,False,0.0004559509108522,0.0054669794187557,-5.0158614732649424e-05,0.0004559509108522,0.0054669794187557
10159,Hebei,solar PV,5.9,37.4658,114.3404,False,False,False,1.0,7.216561921746758,-0.1443255644949657,1.0,7.216561921746758
1016,Guangxi,solar PV,60.0,23.2628,109.1664,False,False,False,1.0,13.95255913140166,-0.0961075335095399,1.0,13.95255913140166
10160,Hebei,solar PV,12.3,37.4658,114.3404,False,False,False,1.0,13.123957581085518,-0.102223351363767,1.0,13.123957581085518
10163,Anhui,solar PV,10.0,33.5429,117.553,False,False,False,1.0,2.2299990694438185,-0.179882060911634,1.0,2.2299990694438185
10164,Liaoning,solar PV,2.5,41.2374,122.9955,False,False,False,1.0,0.0999825318075424,-0.1951753332640964,1.0,0.0999825318075424
10165,Hebei,solar PV,10.0,38.5207,114.2042,False,False,False,1.0,11.334662185412911,-0.1149721606277096,1.0,11.334662185412911
10166,Jiangxi,solar PV,16.0,27.3855,115.8368,False,False,False,1.0,2.7361960628185837,-0.1762473947083569,1.0,2.7361960628185837
10167,Zhejiang,solar PV,9.1,28.85,121.1167,False,False,False,0.0,0.0,0.0,0.0,0.0
1017,Guangxi,solar PV,60.0,23.2725,109.1798,False,False,False,1.0,13.95255913140166,-0.0961075335095399,1.0,13.95255913140166
10171,Jilin,solar PV,12.0,43.729,126.1997,False,False,False,1.0,6.353409730424534,-0.1504315861269322,1.0,6.353409730424534
