nominal_equity_return_hurdle,nominal_equity_return_hurdle_pct,qualified_record_count,qualified_capacity_gw,qualified_h2_mt_per_year,interpretation
0.01447315,1.447315,1809,8.435457194134798,0.3184211035539429,observed_enterprise_screen_tied_to_five_year_government_bond_yield_not_WACC
0.049,4.9,1255,5.468643258615285,0.2257331027049176,IEA_2021_China_utility_solar_nominal_cost_of_capital_context_not_green_hydrogen_WACC
0.065,6.5,1099,4.59033394088411,0.1951264425560603,observed_enterprise_hydrogen_capital_return_comparator
0.08,8.0,1036,3.90011214629071,0.169747626590606,independent_hydrogen_robustness_comparator
0.1,10.0,874,2.92992618304094,0.1321211840980391,higher_risk_capital_robustness_comparator
