resource_branch,capture_target,electrolyzer_capacity_gw,absorbed_electricity_twh,h2_mt_at_55_kwh_per_kg,median_active_hours_positive_sites
curtailment_only,0.01,0.3985531897622087,0.7075815743011488,0.01286511953274816,1335.0
curtailment_only,0.02,0.8000742696576476,1.4146785880915318,0.025721428874391484,1332.0
curtailment_only,0.03,1.2045645338912077,2.121351679688858,0.03857003053979742,1330.0
curtailment_only,0.05,2.0226170281914686,3.5333120222942314,0.06424203676898603,1323.0
curtailment_only,0.1,4.12318386665103,7.054816525862967,0.1282693913793267,1301.0
curtailment_only,0.2,8.59365344792499,14.05710045034412,0.2555836445517113,1256.0
curtailment_only,0.3,13.499372604229835,20.994062587004105,0.3817102288546201,1223.0
curtailment_only,0.4,18.91788239640085,27.847631067349962,0.5063205648609084,1182.0
curtailment_only,0.5,24.92003526020083,34.59123294167003,0.6289315080303641,1135.0
curtailment_only,0.6,31.648169967040815,41.20365256056908,0.7491573192830743,1085.0
curtailment_only,0.7,39.4420279454082,47.64063205838922,0.8661933101525313,1024.0
curtailment_only,0.8,49.287407334189325,53.82134503701796,0.9785699097639629,953.0
curtailment_only,0.9,64.27422011811267,59.338400008264706,1.0788800001502674,864.0
curtailment_only,0.95,77.60815364029551,61.27238625755208,1.1140433865009467,794.0
curtailment_only,0.99,103.41438638035972,60.47786703645965,1.0995975824810846,647.0
curtailment_only,1.0,163.18765925447462,42.70778219467474,0.776505130812268,381.0
full_output_upper_bound,0.01,1.7744424745262513,11.089977326811233,0.20163595139656787,5156.0
full_output_upper_bound,0.02,3.57935418813628,22.155460121385623,0.4028265476615568,5127.0
full_output_upper_bound,0.03,5.418240243734163,33.203537989003294,0.6037006907091508,5095.0
full_output_upper_bound,0.05,9.206517129005393,55.247853614021274,1.0045064293458412,5031.0
full_output_upper_bound,0.1,19.315237716190342,109.91264167827362,1.9984116668777023,4838.5
full_output_upper_bound,0.2,41.965739971790626,217.5230758274705,3.9549650150449187,4477.5
full_output_upper_bound,0.3,67.91301383506055,322.9693567207122,5.872170122194768,4181.0
full_output_upper_bound,0.4,98.52351705670505,426.6278846012084,7.75687062911288,3920.0
full_output_upper_bound,0.5,134.40784191816766,527.6964290417782,9.594480528032332,3703.0
full_output_upper_bound,0.6,175.93374259246193,624.1136351733386,11.347520639515247,3505.0
full_output_upper_bound,0.7,225.44819457295935,713.1575350359891,12.966500637017985,3286.0
full_output_upper_bound,0.8,288.11311092544065,793.5115781242621,14.427483238622948,3013.0
full_output_upper_bound,0.9,377.2691414760586,863.5928502748085,15.7016881868147,2684.0
full_output_upper_bound,0.95,445.7685721031347,889.5217210404523,16.1731222007355,2462.0
full_output_upper_bound,0.99,542.3622929283804,892.239735665975,16.222540648472272,2219.0
full_output_upper_bound,1.0,631.4404753701173,867.9713174246522,15.781296680448223,1973.0
