operating_years,low_record_count,low_capacity_gw,low_capex_100m_cny,low_h2_mt_per_year,conventional_6p5_record_count,conventional_6p5_capacity_gw,conventional_6p5_capex_100m_cny,conventional_6p5_h2_mt_per_year,strict_record_count,strict_capacity_gw,strict_capex_100m_cny,strict_h2_mt_per_year,strict_retain_low_P22,strict_reach_6p5_P22,strict_retain_low_P18,strict_reach_6p5_P18
15,791,2.6384445614936527,189.968008427543,0.12109396464930079,545,1.6832427158606496,121.19347554196676,0.08056271665067276,246,0.27115834662488003,19.52340095699136,0.011475717540108744,40,0,0,0
20,1165,5.055044596893208,363.963210976311,0.21151943892480624,910,3.1706407142659323,228.28613142714715,0.14134419949157334,255,0.34533592228048077,24.864186404194612,0.01282715509225428,97,0,0,0
25,1442,6.86234857748439,494.089097578876,0.27011940792400185,1061,4.111860588100279,296.05396234322006,0.17680636695321364,381,0.6217787370389765,44.768069066806305,0.020669334467350326,82,0,0,0
30,1809,8.435457194134798,607.3529179777055,0.31842110355394293,1099,4.59033394088411,330.5040437436559,0.19512644255606032,710,1.5323743358677253,110.33095218247621,0.047617217651852346,45,0,0,0
35,2093,9.81727022826413,706.8434564350174,0.35823319323816133,1181,5.190576579127029,373.7215136971461,0.21636231656047583,912,2.091895001312402,150.61644009449293,0.062058541089362027,94,0,0,0
