information_structure,instrument,budget_100m_cny,support_level,spent_100m_cny,durable_project_count,durable_h2_mt_per_year
uniform,uniform_15y_price_contract,50.0,7.75,49.89183287440916,82,0.004689658144656177
uniform,uniform_15y_price_contract,100.0,15.5,99.78366574881832,741,0.059668066712041556
uniform,uniform_15y_price_contract,250.0,20.0,128.75311709524945,741,0.059668066712041556
uniform,uniform_15y_price_contract,500.0,20.0,128.75311709524945,741,0.059668066712041556
uniform,uniform_capex_grant,50.0,0.34,48.870957216510455,23,0.0010718328295640225
uniform,uniform_capex_grant,100.0,0.5,71.86905473016245,372,0.03195261573739833
uniform,uniform_capex_grant,250.0,0.5,71.86905473016245,372,0.03195261573739833
uniform,uniform_capex_grant,500.0,0.5,71.86905473016245,372,0.03195261573739833
