resource_branch,merge_province_cn,candidate_station_count,low_return_entry_count,colocated_6p5_independent_optimized_count,strict_marginal_count,strict_share_of_low_entry,low_return_capacity_gw,low_return_h2_mt_per_year,strict_capacity_gw,strict_h2_mt_per_year,strict_capex_100m_cny
curtailment_only,上海,27,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,云南,412,10,0,10,1.0,0.020800735085932873,0.0006053180988413227,0.020800735085932873,0.0006053180988413227,1.497652926187167
curtailment_only,内蒙古,812,485,442,43,0.088659793814433,3.851388088479126,0.15090791362711445,0.07242768632415043,0.0022577350917247063,5.214793415338831
curtailment_only,北京,14,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,吉林,209,122,120,2,0.01639344262295082,0.7219516780670726,0.026343699224787052,0.0022440021952289985,7.28680864643285e-05,0.1615681580564879
curtailment_only,四川,170,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,天津,80,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,宁夏,389,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,安徽,377,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,山东,706,12,0,12,1.0,0.015128040711129295,0.0004938965968701035,0.015128040711129295,0.0004938965968701035,1.0892189312013092
curtailment_only,山西,642,59,1,58,0.9830508474576272,0.08412404465640336,0.002518170874376369,0.08143228356960873,0.002427661628148462,5.863124417011829
curtailment_only,广东,240,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,广西,208,8,0,8,1.0,0.009259321190026615,0.00028097481582675275,0.009259321190026615,0.00028097481582675275,0.6666711256819162
curtailment_only,新疆,732,378,78,300,0.7936507936507936,1.3443261819905086,0.04182054848676948,0.9726678843692168,0.028341393186773624,70.03208767458362
curtailment_only,江苏,482,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,江西,303,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,河北,682,245,205,40,0.16326530612244897,1.4322519881533702,0.05527337278915792,0.06048016998394805,0.001821580988193242,4.354572238844259
curtailment_only,河南,508,1,1,0,0.0,0.005965034348454853,0.0002233671424729705,0.0,0.0,0.0
curtailment_only,浙江,362,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,海南,47,2,0,2,1.0,0.0026789067068700104,8.800005490057657e-05,0.0026789067068700104,8.800005490057657e-05,0.19288128289464074
curtailment_only,湖北,384,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,湖南,231,7,0,7,1.0,0.010478636818400212,0.00032277814788822154,0.010478636818400212,0.00032277814788822154,0.7544618509248152
curtailment_only,甘肃,483,81,21,60,0.7407407407407407,0.2750648726985734,0.008606872654089971,0.10926548881221017,0.003141146881945144,7.8671151944791315
curtailment_only,福建,139,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,西藏,83,81,79,2,0.024691358024691357,0.41426229972831824,0.01513337704211724,0.0022013217758923595,7.291531261231391e-05,0.15849516786424986
curtailment_only,贵州,286,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,辽宁,286,171,165,6,0.03508771929824561,0.7049806106043947,0.02673989639254824,0.007181251524425284,0.0002223989102501222,0.5170501097586205
curtailment_only,重庆,29,0,0,0,,0.0,0.0,0.0,0.0,0.0
curtailment_only,陕西,376,1,0,1,1.0,0.001058972866816586,2.9563382162906147e-05,0.001058972866816586,2.9563382162906147e-05,0.07624604641079419
curtailment_only,青海,295,129,0,129,1.0,0.5325897171609038,0.016187259811764557,0.5325897171609038,0.016187259811764557,38.34645963558507
curtailment_only,黑龙江,220,97,36,61,0.6288659793814433,0.1972061190349903,0.00642816923287104,0.09646821229864067,0.003062725250790839,6.945711285502127
full_output_upper_bound,上海,27,0,0,0,,0.0,0.0,0.0,0.0,0.0
full_output_upper_bound,云南,412,393,387,6,0.015267175572519083,5.29033184021285,0.3632862605206691,0.006900174412583159,0.0003535133369828841,0.49681255770598737
full_output_upper_bound,内蒙古,812,811,809,2,0.002466091245376079,27.53195828580623,2.2311791267435446,0.0021700259249853734,0.00011451764887657927,0.15624186659894687
full_output_upper_bound,北京,14,5,5,0,0.0,0.023295827698282742,0.0021111430699210327,0.0,0.0,0.0
full_output_upper_bound,吉林,209,188,168,20,0.10638297872340426,2.9246386375329627,0.2773948168131713,0.02635057642697168,0.0016587411485462376,1.8972415027419611
full_output_upper_bound,四川,170,125,87,38,0.304,0.5485010585553616,0.039703974730834944,0.05489980072446251,0.0037900612682357855,3.952785652161301
full_output_upper_bound,天津,80,39,18,21,0.5384615384615384,0.07791542106880392,0.00792471901545657,0.047308508345877354,0.0043775964608732945,3.40621260090317
full_output_upper_bound,宁夏,389,388,386,2,0.005154639175257732,9.888379125365754,0.5421733134863237,0.002380383010616118,8.971775962636082e-05,0.1713875767643605
full_output_upper_bound,安徽,377,17,0,17,1.0,0.02179855051595903,0.0026593646089743375,0.02179855051595903,0.0026593646089743375,1.5694956371490498
full_output_upper_bound,山东,706,481,364,117,0.24324324324324326,2.0573475442168987,0.189360010078602,0.16478451035163402,0.0115386418617276,11.86448474531765
full_output_upper_bound,山西,642,635,629,6,0.009448818897637795,9.775080459890804,0.5932540904731081,0.006974075589345423,0.0003116577124497448,0.5021334424328705
full_output_upper_bound,广东,240,32,1,31,0.96875,0.04217208551279641,0.005463428393486087,0.04060708615867562,0.005255201248669251,2.923710203424645
full_output_upper_bound,广西,208,206,142,64,0.3106796116504854,1.0046672668804586,0.10118876884952839,0.09244881508372293,0.007023589980227893,6.656314686028051
full_output_upper_bound,新疆,732,725,724,1,0.001379310344827586,13.624939171287398,0.8195787418739416,0.001045484044722645,3.721925393717727e-05,0.07527485122003044
full_output_upper_bound,江苏,482,100,99,1,0.01,0.6788162850808372,0.07224708433084688,0.0014259034929629056,0.000140439567570807,0.1026650514933292
full_output_upper_bound,江西,303,24,0,24,1.0,0.03279496470432926,0.003946337753923841,0.03279496470432926,0.003946337753923841,2.3612374587117064
full_output_upper_bound,河北,682,587,518,69,0.11754684838160136,6.057734891127795,0.5802657689213985,0.10165743539481124,0.006950101785374651,7.319335348426409
full_output_upper_bound,河南,508,394,335,59,0.14974619289340102,1.3295478389340383,0.11868364680834695,0.0768710782486685,0.005470654007106549,5.5347176339041315
full_output_upper_bound,浙江,362,0,0,0,,0.0,0.0,0.0,0.0,0.0
full_output_upper_bound,海南,47,6,5,1,0.16666666666666666,0.009834518299422753,0.0011585772452146889,0.0013400119496300657,0.0001426174841266111,0.09648086037336474
full_output_upper_bound,湖北,384,281,189,92,0.3274021352313167,0.6435916425389477,0.05528513259017585,0.13537222217114306,0.011787303285305754,9.746799996322299
full_output_upper_bound,湖南,231,140,117,23,0.16428571428571428,0.41478840468013906,0.042653093704875134,0.02772581344706639,0.002400762152037231,1.99625856818878
full_output_upper_bound,甘肃,483,474,473,1,0.002109704641350211,7.713853492848326,0.5207418279180944,0.001108759825540276,5.0989873335657396e-05,0.07983070743889986
full_output_upper_bound,福建,139,10,0,10,1.0,0.018075928376794254,0.00241165704888255,0.018075928376794254,0.00241165704888255,1.301466843129186
full_output_upper_bound,西藏,83,82,82,0,0.0,0.696558324071737,0.039897150709654265,0.0,0.0,0.0
full_output_upper_bound,贵州,286,214,77,137,0.6401869158878505,0.3471430177923812,0.033732848480579586,0.1886058956395061,0.016501572750330772,13.579624486044441
full_output_upper_bound,辽宁,286,189,179,10,0.05291005291005291,3.200762033964996,0.31212205161570683,0.02208008084120942,0.0017095666155937832,1.5897658205670784
full_output_upper_bound,重庆,29,1,0,1,1.0,0.001503438180118547,0.00018289785572646748,0.001503438180118547,0.00018289785572646748,0.10824754896853538
full_output_upper_bound,陕西,376,350,343,7,0.02,2.8073173460221414,0.21122398523722696,0.008828240675207311,0.0005096475645170074,0.6356333286149264
full_output_upper_bound,青海,295,290,290,0,0.0,4.840829356742362,0.2995258167292953,0.0,0.0,0.0
full_output_upper_bound,黑龙江,220,198,198,0,0.0,1.9630597908066039,0.1842876132451633,0.0,0.0,0.0
