scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main
C060,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.045,False
C061,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.025,False
C062,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.035,False
C063,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.045,False
C064,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.025,False
C065,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.035,False
C066,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.045,False
C067,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.025,False
C068,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.035,False
C069,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.045,False
C070,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.025,False
C071,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.035,False
C072,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.045,False
C073,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.025,False
C074,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.035,False
C075,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.045,False
C076,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.025,False
C077,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.035,False
C078,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.045,False
C079,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.025,False
C080,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.035,False
C081,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.045,False
C082,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.5,0.025,False
C083,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.5,0.035,False
C084,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.5,0.045,False
C085,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.7,0.025,False
C086,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False
C087,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False
C088,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False
C089,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False
C090,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False
C091,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False
C092,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.035,False
C093,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.045,False
C094,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.025,False
C095,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.035,False
C096,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.045,False
C097,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.025,False
C098,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.035,False
C099,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.045,False
C100,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.025,False
C101,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.035,False
C102,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.045,False
C103,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.025,False
C104,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.035,False
C105,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.045,False
C106,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.025,False
C107,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.035,False
C108,curtailment_only,3600.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.045,False
C109,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.025,False
C110,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.035,False
C111,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.045,False
C112,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.025,False
C113,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.035,False
C114,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.045,False
C115,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.025,False
C116,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.035,False
C117,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.045,False
C118,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.025,False
C119,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.035,False
C120,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.045,False
C121,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.025,False
C122,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.035,False
C123,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.045,False
C124,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.8,0.025,False
C125,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.8,0.035,False
C126,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.8,0.045,False
C127,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.5,0.025,False
C128,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.5,0.035,False
C129,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.5,0.045,False
C130,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.7,0.025,False
C131,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.7,0.035,False
C132,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.7,0.045,False
C133,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.8,0.025,False
C134,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.8,0.035,False
C135,curtailment_only,3600.0,0.05,WB_allin_3pct,0.03,0.0,1.0,0.8,0.045,False
C136,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.025,False
C137,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.035,False
C138,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.045,False
C139,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.025,False
C140,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.035,False
C141,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.045,False
C142,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.025,False
C143,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.035,False
C144,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.045,False
C145,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.025,False
C146,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.035,False
C147,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.045,False
C148,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.025,False
C149,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.035,False
C150,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.045,False
C151,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.025,False
C152,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.035,False
C153,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.045,False
C154,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.025,False
C155,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.035,False
C156,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.045,False
C157,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.025,False
C158,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.035,False
C159,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.045,False
C160,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.025,False
C161,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.035,False
C162,curtailment_only,3600.0,0.05,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.045,False
C163,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.5,0.025,False
C164,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.5,0.035,False
C165,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.5,0.045,False
C166,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.7,0.025,False
C167,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False
