information_structure,instrument,budget_100m_cny,durable_project_count,durable_h2_mt_per_year,spent_100m_cny,median_support_level
full_information_cost_per_h2_ranking,targeted_15y_price_contract,50.0,562,0.048731992499175744,49.892148002799956,9.262600466609001
full_information_cost_per_h2_ranking,targeted_15y_price_contract,100.0,741,0.05966806671204149,64.48584199352413,10.169286355376244
full_information_cost_per_h2_ranking,targeted_15y_price_contract,250.0,741,0.05966806671204149,64.48584199352413,10.169286355376244
full_information_cost_per_h2_ranking,targeted_15y_price_contract,500.0,741,0.05966806671204149,64.48584199352413,10.169286355376244
full_information_cost_per_h2_ranking,targeted_capex_grant,50.0,547,0.04522808816750417,49.88089477130094,0.46338487043976784
full_information_cost_per_h2_ranking,targeted_capex_grant,100.0,741,0.05966806671204149,70.80395366638572,0.4996900223195553
full_information_cost_per_h2_ranking,targeted_capex_grant,250.0,741,0.05966806671204149,70.80395366638572,0.4996900223195553
full_information_cost_per_h2_ranking,targeted_capex_grant,500.0,741,0.05966806671204149,70.80395366638572,0.4996900223195553
