resource_branch,project_operating_years,project_end_year,inflation_rate,inflation_interpretation,low_return_entry_record_count,colocated_6p5_record_count,strict_marginal_record_count,low_return_parent_name_group_count,strict_marginal_parent_name_group_count,low_return_capacity_gw,strict_marginal_capacity_gw,low_return_capex_100m_cny,strict_marginal_capex_100m_cny,low_return_h2_mt_per_year,strict_marginal_h2_mt_per_year
curtailment_only,15,2040,0.0,deterministic nominal-cashflow sensitivity,466,326,140,384,121,1.4811394625376983,0.18916226492201418,106.64204130271429,13.619683074385023,0.07154144893354857,0.008624447558609628
curtailment_only,15,2040,0.01,deterministic nominal-cashflow sensitivity,610,418,192,490,152,2.0328771085326633,0.2580707855920739,146.36715181435176,18.58109656262932,0.09557391936173333,0.011308570009183084
curtailment_only,15,2040,0.02,2026 national CPI target anchor,736,519,217,587,172,2.6009532657229895,0.27273702048165555,187.2686351320552,19.637065474679204,0.11937901096776452,0.01156351935554051
curtailment_only,15,2040,0.03,deterministic nominal-cashflow sensitivity,872,651,221,702,183,3.194632319370626,0.28428963538198054,230.01352699468507,20.4688537475026,0.1433078344850641,0.0115889301834266
curtailment_only,20,2045,0.0,deterministic nominal-cashflow sensitivity,904,556,348,732,294,3.47412287777275,0.5211505474340667,250.136847199638,37.522839415252804,0.152804349898726,0.02115428976843656
curtailment_only,20,2045,0.01,deterministic nominal-cashflow sensitivity,1047,710,337,856,298,4.245492224475556,0.49479286668319755,305.67544016224,35.625086401190224,0.18197569333434074,0.019200126804836543
curtailment_only,20,2045,0.02,2026 national CPI target anchor,1125,856,269,925,245,5.043187402471464,0.42600191772358287,363.1094929779454,30.67213807609797,0.2107168454831776,0.015854518980281174
curtailment_only,20,2045,0.03,deterministic nominal-cashflow sensitivity,1225,975,250,1010,230,5.774298144366527,0.4021902905074844,415.74946639438997,28.957700916538876,0.23576228442329888,0.014235334449125052
curtailment_only,25,2050,0.0,deterministic nominal-cashflow sensitivity,1096,716,380,898,335,4.8497104480130435,0.6594561841150723,349.17915225693923,47.48084525628522,0.20283557966155585,0.02489785947366934
curtailment_only,25,2050,0.01,deterministic nominal-cashflow sensitivity,1224,888,336,1009,306,5.9474073379461885,0.6022173448969574,428.2133283321256,43.35964883258094,0.2399993787834217,0.021479927440947462
curtailment_only,25,2050,0.02,2026 national CPI target anchor,1361,1026,335,1140,316,6.822321448723486,0.6105659630677623,491.20714430809096,43.960749340878884,0.2682097461448416,0.020428618042196933
curtailment_only,25,2050,0.03,deterministic nominal-cashflow sensitivity,1585,1097,488,1337,446,8.100754944227223,1.1291037835794604,583.25435598436,81.29547241772116,0.30722443279306555,0.03570603281065248
curtailment_only,30,2055,0.0,deterministic nominal-cashflow sensitivity,1202,820,382,990,347,5.531453908132179,0.6755637429288978,398.2646813855169,48.64058949088063,0.227472800038414,0.024500796420961937
curtailment_only,30,2055,0.01,deterministic nominal-cashflow sensitivity,1400,969,431,1177,403,6.6733658608987625,0.8776311713613766,480.48234198471084,63.1894443380191,0.26453613447725804,0.029209945531772537
curtailment_only,30,2055,0.02,2026 national CPI target anchor,1677,1066,611,1414,554,8.28324552639813,1.5771579801565547,596.3936779006652,113.55537457127194,0.3131378482817589,0.048938305889262075
curtailment_only,30,2055,0.03,deterministic nominal-cashflow sensitivity,2011,1190,821,1699,728,9.80895109126,1.9225381075312775,706.2444785707202,138.42274374225198,0.35677619832608476,0.056946309042252806
curtailment_only,35,2060,0.0,deterministic nominal-cashflow sensitivity,1292,891,401,1075,369,6.504316667210568,0.8248391149651512,468.31080003916094,59.38841627749088,0.25959539336148224,0.028736283223093358
curtailment_only,35,2060,0.01,deterministic nominal-cashflow sensitivity,1512,1047,465,1275,432,7.824773492543406,1.0470750691449466,563.3836914631252,75.38940497843615,0.3003419325351842,0.033579379174925414
curtailment_only,35,2060,0.02,2026 national CPI target anchor,1889,1148,741,1608,672,9.62351524830129,1.996362631393401,692.893097877693,143.7381094603249,0.3520031783745592,0.05942821624515723
curtailment_only,35,2060,0.03,deterministic nominal-cashflow sensitivity,2435,1254,1181,2066,1036,11.788601203509138,2.9756544190811782,848.7792866526579,214.24711817384483,0.40983107280732733,0.08306764915515094
