resource_branch,terminal_h2_price,merge_province_cn,strict_marginal_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,npv_low_100m_cny,npv_colocated_6p5_100m_cny,retain_low_return_share,reach_colocated_6p5_share
curtailment_only,22.0,广西,8,2,0,0,-0.0840825838455309,-0.2037230350851183,0.25,0.0
curtailment_only,22.0,新疆,300,2,0,0,-15.37983076002768,-24.885765114224476,0.006666666666666667,0.0
curtailment_only,22.0,河北,40,4,0,0,-0.7026932675673372,-1.3958590372646338,0.1,0.0
curtailment_only,22.0,海南,2,2,0,0,0.0207997789617859,-0.0381466034838306,1.0,0.0
curtailment_only,22.0,湖南,7,2,0,0,-0.0681152169041923,-0.2176371238848132,0.2857142857142857,0.0
curtailment_only,22.0,甘肃,60,1,0,0,-1.8698047110535616,-2.899660626444496,0.016666666666666666,0.0
curtailment_only,22.0,西藏,2,2,0,0,0.024461223769270797,-0.0289029460668057,1.0,0.0
curtailment_only,22.0,辽宁,6,2,0,0,-0.034400454652850604,-0.1457571701036397,0.3333333333333333,0.0
curtailment_only,22.0,陕西,1,0,0,0,-0.0233157088958611,-0.0309230304943831,0.0,0.0
curtailment_only,22.0,青海,129,0,0,0,-5.027197911267445,-11.670029962362712,0.0,0.0
curtailment_only,22.0,黑龙江,61,35,0,0,0.003018083504421506,-1.7156097612593761,0.5737704918032787,0.0
full_output_upper_bound,12.0,云南,6,0,0,0,-0.7274617476498334,-0.37592174676516166,0.0,0.0
full_output_upper_bound,12.0,内蒙古,2,0,0,0,-0.1917592962061498,-0.1000416204009528,0.0,0.0
full_output_upper_bound,12.0,吉林,20,0,0,0,-3.4794294605679634,-1.6289790639831268,0.0,0.0
full_output_upper_bound,12.0,四川,38,0,0,0,-8.00981311936535,-3.5854885106359795,0.0,0.0
full_output_upper_bound,12.0,天津,21,0,0,0,-10.619619452454504,-4.4026102881957065,0.0,0.0
full_output_upper_bound,12.0,宁夏,2,0,0,0,-0.18562574406378168,-0.11133879960626611,0.0,0.0
full_output_upper_bound,12.0,安徽,17,0,0,0,-6.59448230750435,-2.5687575218273384,0.0,0.0
full_output_upper_bound,12.0,山东,117,0,0,0,-24.939361886336215,-11.10509943222556,0.0,0.0
full_output_upper_bound,12.0,山西,6,0,0,0,-0.5952012929877163,-0.3320689146763059,0.0,0.0
full_output_upper_bound,12.0,广东,31,0,0,0,-12.550848063422924,-4.81754048985195,0.0,0.0
full_output_upper_bound,12.0,广西,64,0,0,0,-15.59137757873042,-6.800782964312257,0.0,0.0
full_output_upper_bound,12.0,新疆,1,0,0,0,-0.0729671091327272,-0.0457510511501153,0.0,0.0
full_output_upper_bound,12.0,江苏,1,0,0,0,-0.283045532719652,-0.1133598158214968,0.0,0.0
full_output_upper_bound,12.0,江西,24,0,0,0,-9.513973782565053,-3.695954697562319,0.0,0.0
full_output_upper_bound,12.0,河北,69,0,0,0,-13.457253115715185,-6.034985894844107,0.0,0.0
full_output_upper_bound,12.0,河南,59,0,0,0,-11.896286211224599,-5.2766189025285914,0.0,0.0
full_output_upper_bound,12.0,海南,1,0,0,0,-0.3403404726174271,-0.1344215454190092,0.0,0.0
full_output_upper_bound,12.0,湖北,92,0,0,0,-26.49640127744789,-11.101162997465623,0.0,0.0
full_output_upper_bound,12.0,湖南,23,0,0,0,-5.646632964604194,-2.3874755446970384,0.0,0.0
full_output_upper_bound,12.0,甘肃,1,0,0,0,-0.0894004931412225,-0.0500578082586646,0.0,0.0
full_output_upper_bound,12.0,福建,10,0,0,0,-6.085136907664575,-2.347154142502358,0.0,0.0
full_output_upper_bound,12.0,贵州,137,0,0,0,-36.840252992300734,-15.425472226286862,0.0,0.0
full_output_upper_bound,12.0,辽宁,10,0,0,0,-3.818119815275043,-1.6568032563063597,0.0,0.0
full_output_upper_bound,12.0,重庆,1,0,0,0,-0.4228708087202435,-0.1627960365515585,0.0,0.0
full_output_upper_bound,12.0,陕西,7,0,0,0,-0.9555322913570921,-0.4698898498930882,0.0,0.0
full_output_upper_bound,15.0,云南,6,0,0,0,-0.5125866089840893,-0.3054002987236374,0.0,0.0
full_output_upper_bound,15.0,内蒙古,2,0,0,0,-0.12426113069464689,-0.0779735315096499,0.0,0.0
full_output_upper_bound,15.0,吉林,20,0,0,0,-2.483480740030619,-1.300546005638231,0.0,0.0
full_output_upper_bound,15.0,四川,38,0,0,0,-5.706432465108497,-2.8274141966320414,0.0,0.0
full_output_upper_bound,15.0,天津,21,0,0,0,-7.895600679959318,-3.5053309783173328,0.0,0.0
full_output_upper_bound,15.0,宁夏,2,0,0,0,-0.1320077425067002,-0.0939101767827067,0.0,0.0
full_output_upper_bound,15.0,安徽,17,0,0,0,-4.9352238034428275,-2.0217253120954335,0.0,0.0
full_output_upper_bound,15.0,山东,117,0,0,0,-17.88287029723382,-8.779557939004908,0.0,0.0
full_output_upper_bound,15.0,山西,6,0,0,0,-0.40821696621213543,-0.2710816802848061,0.0,0.0
full_output_upper_bound,15.0,广东,31,0,0,0,-9.269962805720303,-3.7362501521109763,0.0,0.0
full_output_upper_bound,15.0,广西,64,0,0,0,-11.249539651890084,-5.372222518379383,0.0,0.0
full_output_upper_bound,15.0,新疆,1,0,0,0,-0.0511034317721003,-0.0386568593496099,0.0,0.0
full_output_upper_bound,15.0,江苏,1,0,0,0,-0.1962817856495131,-0.0846601643230845,0.0,0.0
full_output_upper_bound,15.0,江西,24,0,0,0,-7.053111116946513,-2.8845056398369437,0.0,0.0
full_output_upper_bound,15.0,河北,69,0,0,0,-9.276211020356689,-4.661463318227037,0.0,0.0
full_output_upper_bound,15.0,河南,59,0,0,0,-8.53515294783004,-4.169004220884062,0.0,0.0
full_output_upper_bound,15.0,海南,1,0,0,0,-0.2522448892023012,-0.105257276929646,0.0,0.0
full_output_upper_bound,15.0,湖北,92,0,0,0,-19.216463770518313,-8.696693520326741,0.0,0.0
full_output_upper_bound,15.0,湖南,23,0,0,0,-4.152812986447457,-1.8955866559755608,0.0,0.0
full_output_upper_bound,15.0,甘肃,1,0,0,0,-0.0591592339033464,-0.0402015149389544,0.0,0.0
full_output_upper_bound,15.0,福建,10,0,0,0,-4.580161064087095,-1.8509389200491724,0.0,0.0
full_output_upper_bound,15.0,贵州,137,0,0,0,-26.566769471592924,-12.043958769185213,0.0,0.0
full_output_upper_bound,15.0,辽宁,10,0,0,0,-2.758786360958559,-1.3080978522889297,0.0,0.0
full_output_upper_bound,15.0,重庆,1,0,0,0,-0.308713663404691,-0.1251684600554024,0.0,0.0
full_output_upper_bound,15.0,陕西,7,0,0,0,-0.6524135845013335,-0.3703799367435031,0.0,0.0
full_output_upper_bound,18.0,云南,6,0,0,0,-0.3078426993243929,-0.2385648390894777,0.0,0.0
full_output_upper_bound,18.0,内蒙古,2,0,0,0,-0.0599843515781162,-0.0569112400480265,0.0,0.0
full_output_upper_bound,18.0,吉林,20,0,0,0,-1.518576566832539,-0.9841559138894989,0.0,0.0
full_output_upper_bound,18.0,四川,38,0,0,0,-3.4639859904983785,-2.093801314798843,0.0,0.0
full_output_upper_bound,18.0,天津,21,0,0,0,-5.173585076517859,-2.6089216493594756,0.0,0.0
full_output_upper_bound,18.0,宁夏,2,0,0,0,-0.082463649191771,-0.07774735035795591,0.0,0.0
full_output_upper_bound,18.0,安徽,17,0,0,0,-3.2759652993813044,-1.4746931023635286,0.0,0.0
full_output_upper_bound,18.0,山东,117,0,0,0,-11.048872322273361,-6.5475184048306945,0.0,0.0
full_output_upper_bound,18.0,山西,6,0,0,0,-0.2340397477133287,-0.2142140041492471,0.0,0.0
full_output_upper_bound,18.0,广东,31,0,0,0,-5.989077548017678,-2.6549598143700024,0.0,0.0
full_output_upper_bound,18.0,广西,64,0,0,0,-6.991233247057615,-3.9793301273622,0.0,0.0
full_output_upper_bound,18.0,新疆,1,0,0,0,-0.0312015939829518,-0.0321075392262337,0.0,0.0
full_output_upper_bound,18.0,江苏,1,0,0,0,-0.1100605256606078,-0.0562058935487183,0.0,0.0
full_output_upper_bound,18.0,江西,24,0,0,0,-4.592248451327973,-2.0730565821115676,0.0,0.0
full_output_upper_bound,18.0,河北,69,0,0,0,-5.217192762279276,-3.334394118612901,0.0,0.0
full_output_upper_bound,18.0,河南,59,0,0,0,-5.2808513345909365,-3.106696298686216,0.0,0.0
full_output_upper_bound,18.0,海南,1,0,0,0,-0.1641493057871753,-0.0760930084402829,0.0,0.0
full_output_upper_bound,18.0,湖北,92,0,0,0,-12.02743157454231,-6.331642200103187,0.0,0.0
full_output_upper_bound,18.0,湖南,23,0,0,0,-2.663948383306498,-1.4059086061101267,0.0,0.0
