merge_province_cn,station_count,modeled_capacity_gw,potential_twh,curtailed_twh,sample_weighted_utilization,physical_h2_mt_at_55_kwh_per_kg
上海,27,0.6703,1.1778050337974701,0.0,1.0,0.0
云南,412,33.9007,50.4758956272165,2.718549060777367,0.9461416379640913,0.049428164741406676
内蒙古,812,75.0852,212.17349306862377,16.551462061956396,0.9219909055434973,0.30093567385375264
北京,14,0.31880000000000003,0.534666467550269,0.03241764292443547,0.9393684756910857,0.0005894116895351903
吉林,209,12.5699,34.6493129644546,2.677310172250623,0.92273121908659,0.04867836676819314
四川,170,11.759099999999998,12.338150428901741,0.17931017115975234,0.9854670136992556,0.003260184930177315
天津,80,5.5549,8.666432399271585,0.24807638068929472,0.9713750284707527,0.004510479648896268
宁夏,389,32.2251,53.36225412200058,2.892603397485444,0.9457930808006692,0.05259278904518989
安徽,377,15.5959,20.008163920372592,0.26139315168789357,0.9869356752209663,0.004752602757961701
山东,706,32.6929,53.655931064149335,1.9980617725349912,0.9627615860370371,0.03632839586427257
山西,642,42.3651,69.83201054307732,2.668062866157501,0.9617931254533814,0.048510233930136384
广东,240,19.41,25.967030469489163,0.16819105517026478,0.9935228999184991,0.0030580191849139053
广西,208,16.8861,23.725907103795127,0.8673941511970742,0.9634410542280877,0.015770802749037714
新疆,732,56.4791,88.7724337900588,10.109739797040117,0.8861162258888946,0.18381345085527484
江苏,482,15.184899999999997,23.821704586706737,0.29843911720845,0.9874719663270869,0.005426165767426364
江西,303,13.3047,14.607456171667044,0.12741692904238947,0.9912772677497722,0.002316671437134354
河北,682,41.857899999999994,95.1503936339439,6.980177906847704,0.9266405777184552,0.12691232557904916
河南,508,18.512,27.251519852548984,1.0673697074912758,0.9608326539852992,0.019406721954386832
浙江,362,7.801900000000001,8.56721403519313,0.008681370518551184,0.9989866751918548,0.00015784310033729426
海南,47,2.6574,4.167487697232879,0.12170688736057092,0.9707961015838436,0.002212852497464926
湖北,384,24.2375,26.905914961324104,0.7271617972699115,0.9729739056146142,0.013221123586725664
湖南,231,10.6908,12.966959509546946,0.671929499976242,0.9481814145034129,0.012216899999568036
甘肃,483,38.559,65.07333332941646,5.314742043716387,0.9183268818148301,0.09663167352211613
福建,139,4.0942,4.739536325306984,0.0,1.0,0.0
西藏,83,2.3393,4.461456407974355,1.545685275684288,0.6535469285497112,0.02810336864880524
贵州,286,19.9227,25.232352246102774,0.7115157793473453,0.9718014486954049,0.012936650533588097
辽宁,286,13.8775,40.0456073551835,2.6409905346540423,0.9340504312687821,0.048018009720982587
重庆,29,1.8492,1.4688039736909146,0.0,1.0,0.0
陕西,376,22.7534,37.45003797591434,2.6428811491166706,0.9294291463518297,0.04805238452939401
青海,295,22.6722,36.13219624988236,4.999980514842603,0.8616198007930702,0.09090873663350188
黑龙江,220,13.351600000000001,25.987932214115567,1.5506086892123419,0.9403335103217594,0.028192885258406214
