resource_branch,resource_realization,capacity_adjustability,original_admitted_cohort_count,retain_low_return_count,reach_colocated_6p5_count,installed_capacity_gw,avoided_oversizing_gw,avoided_capex_100m_cny,at_risk_capacity_gw,at_risk_capex_100m_cny,annual_h2_mt,cohort_npv_low_100m_cny
curtailment_only,0.5,0.0,1889,456,0,9.62351524830129,0.0,0.0,7.863614568366595,566.1802489223948,0.2548275299116246,-130.9057289781478
curtailment_only,0.5,0.25,1889,1010,0,8.503876624394037,1.1250436749347337,81.00314459530081,3.795181658451259,273.2530794084907,0.24450619198976306,23.7007814113497
curtailment_only,0.5,0.5,1889,1415,111,7.384238000486783,2.2500873498694673,162.00628919060162,0.8871291882463277,63.87330155373558,0.230298338894945,148.48039320963613
curtailment_only,0.5,0.75,1889,1457,500,6.264599376579528,3.375131024804201,243.00943378590247,0.6130468788215995,44.13937527515515,0.21075089656448645,230.857885486946
curtailment_only,0.5,1.0,1889,1508,904,5.144960752672273,4.500174699738935,324.01257838120324,0.45557708362957694,32.80155002132954,0.1838464232111515,261.87970273348753
curtailment_only,0.625,0.0,1889,1462,55,9.62351524830129,0.0,0.0,1.2206489009229031,87.88672086644901,0.2921373951901819,136.19187188691703
curtailment_only,0.625,0.25,1889,1522,147,8.778272850905074,0.8541285860843205,61.49725819807108,0.7773784586012235,55.97124901928808,0.27988114764309513,218.10225470299133
curtailment_only,0.625,0.5,1889,1554,356,7.933030453508859,1.7082571721686413,122.99451639614216,0.5398174580719304,38.86685698117898,0.26509738385381715,279.75222051285476
curtailment_only,0.625,0.75,1889,1595,702,7.087788056112641,2.5623857582529617,184.49177459421327,0.36470429978037777,26.2587095841872,0.24714967734838544,319.0621674896758
curtailment_only,0.625,1.0,1889,1602,924,6.242545658716424,3.4165143443372816,245.98903279228432,0.3587477982266937,25.82984147232195,0.2255112758719225,333.5575711970369
curtailment_only,0.75,0.0,1889,1617,291,9.62351524830129,0.0,0.0,0.5348854068214127,38.51174929114172,0.3195625443829037,325.2777641026406
curtailment_only,0.75,0.25,1889,1653,514,9.05445839753529,0.5793896625080494,41.71605570057956,0.4276711930829383,30.79232590197156,0.30843880297846016,358.3202058431239
curtailment_only,0.75,0.5,1889,1661,680,8.485401546769289,1.158779325016099,83.43211140115912,0.27980132274471725,20.145695237619645,0.2960940977018737,383.0113714087567
curtailment_only,0.75,0.75,1889,1678,835,7.916344696003289,1.7381689875241486,125.14816710173871,0.25788780683781437,18.567922092322636,0.2823662955620719,398.52997751559235
curtailment_only,0.75,1.0,1889,1708,935,7.347287845237288,2.317558650032198,166.86422280231824,0.2214924488245228,15.947456315365644,0.2672018645154594,404.3827331052743
curtailment_only,0.875,0.0,1889,1753,715,9.62351524830129,0.0,0.0,0.17453646616030574,12.566625563542013,0.3389187067475675,455.2282313517006
curtailment_only,0.875,0.25,1889,1742,778,9.341637077814088,0.29541297039293746,21.269733868291496,0.1865141581858039,13.42901938937788,0.3321155374066238,462.8624326452466
curtailment_only,0.875,0.5,1889,1754,874,9.059758907326882,0.590825940785875,42.539467736583,0.17147783486198562,12.346404110062961,0.3250089441470989,468.5447091200206
curtailment_only,0.875,0.75,1889,1755,914,8.777880736839677,0.8862389111788125,63.809201604874495,0.17479645251922282,12.585344581384039,0.3175684979525272,471.96610924985976
curtailment_only,0.875,1.0,1889,1780,942,8.496002566352471,1.18165188157175,85.078935473166,0.14868672242031336,10.705444014262563,0.3098586675239435,473.57205808040266
curtailment_only,1.0,0.0,1889,1889,950,9.62351524830129,0.0,0.0,0.0,0.0,0.3520031783745592,543.0405094807953
curtailment_only,1.0,0.25,1889,1889,950,9.62351524830129,0.0,0.0,0.0,0.0,0.3520031783745592,543.0405094807953
curtailment_only,1.0,0.5,1889,1889,950,9.62351524830129,0.0,0.0,0.0,0.0,0.3520031783745592,543.0405094807953
curtailment_only,1.0,0.75,1889,1889,950,9.62351524830129,0.0,0.0,0.0,0.0,0.3520031783745592,543.0405094807953
curtailment_only,1.0,1.0,1889,1889,950,9.62351524830129,0.0,0.0,0.0,0.0,0.3520031783745592,543.0405094807953
